สถานะการประกอบกิจการ,ปล่องทั้งหมด,ที่มา,_id,ปี,ชื่อโรงงาน,หมายเหตุ,อำเภอ,เลขทะเบียนโรงงานใหม่,เลขทะเบียนโรงงานเดิม,รายการข้อมูล,จังหวัด
แจ้งประกอบแล้ว,2,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,1,2569,บริษัท กัลฟ์ เอ็นอาร์วี 1 จำกัด (โรงไฟฟ้าหนองระเวียง1),,เมือง,40300004125593,3-88(2)-41/59นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,2,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,2,2569,บริษัท กัลฟ์ เอ็นอาร์วี 2 จำกัด (โรงไฟฟ้าหนองระเวียง 2),,เมือง,40300004225591,3-88(2)-42/59นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3,2569,บริษัท เคบีเอส เพาเวอร์ จำกัด,,สีคิ้ว,40300252225624,3-88(2)-13/62นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,4,2569,บริษัท ตงเป่าสตีลอินเตอร์กรุ๊ป จำกัด,,ครบุรี,10300200625566,3-59-6/56นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,5,2569,บริษัท บัวใหญ่ ไบโอ เพาเวอร์ จำกัด,,บัวใหญ่,10300000725475,3-88(2)-7/47นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,6,2569,บริษัท บัวใหญ่ ไบโอ เพาเวอร์ จำกัด,,บัวใหญ่,40300000825600,3-88(2)-8/60นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,7,2569,บริษัท ผลิตไฟฟ้าครบุรี จำกัด,ได้รับอนุญาตขยายระยะเวลาติดตั้งจากกรมโรงงานอุตสาหกรรมถึงวันที่ 31 ธค.70,ครบุรี,40300004525560,3-88(2)-45/56นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,8,2569,บริษัท ยูนิ พาวเวอร์ เทค จำกัด,,สีคิ้ว,40300002625586,3-88(2)-26/58นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,9,2569,บริษัท เยนเนรัล สตาร์ช จำกัด,,ครบุรี,10300200125369,3-9(2)-1/36นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,10,2569,บริษัท ราชสีมา ผลิตเหล็ก จำกัด,,เมือง,10300900125404,3-59-1/40นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,4,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,11,2569,บริษัท อาร์ อี เอ็น โคราช เอนเนอร์ยี่ จำกัด,,สูงเนิน,40300061325672,3-88(2)-3/67นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,4,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,12,2569,บริษัท อุตสาหกรรมโคราช จำกัด,,พิมาย,10300000125353,3-11(3)-1/35นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,13,2569,บริษัท อุตสาหกรรมโคราช จำกัด (โรงไฟฟ้าชีวมวลโครงการ 3),,พิมาย,40300072825652,3-88(2)-5/65นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,14,2569,บริษัท แอ๊ดวานซ์ อะโกร เพาเวอร์ แพลนท์ จำกัด,,โชคชัย,10300006525549,3-88(2)-65/54นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,15,2569,บริษัท แอ๊ดวานซ์ เอเชีย เอ็นเนอร์จี้ จำกัด,,เมือง,10300009025547,3-88(2)-90/54นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,16,2569,บริษัท แอ๊ดวานซ์ เอเซียไฟเบอร์ จำกัด,,โชคชัย,10300100125550,3-34(3)-1/55นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,2,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,17,2569,"โรงงานน้ำตาลราชสีมา
(อุตสาหกรรมอ่างเวียน)",,พิมาย,10300300125368,3-11(3)-1/36นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
แจ้งประกอบแล้ว,4,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,18,2569,บริษัท ผลิตไฟฟ้าครบุรี จำกัด,ได้รับอนุญาตขยายระยะเวลาติดตั้งจากกรมโรงงานอุตสาหกรรมถึงวันที่ 31 ธค.70,ครบุรี,40300016925568,3-88(2)-169/56นม,โรงงานขนาดใหญ่ที่มีปล่องการปล่อยมลพิษ,นครราชสีมา
