เนื้อที่เพาะปลูก (ไร่),_id,อำเภอ,ที่
3885,1,เมืองตาก,1.0
2651,2,บ้านตาก,2.0
7778,3,สามเงา,3.0
33,4,แม่ระมาด,4.0
22,5,ท่าสองยาง,5.0
90,6,แม่สอด,6.0
123,7, พบพระ,7.0
36,8,อุ้มผาง,8.0
15285,9,วังเจ้า,9.0
29903,10,,รวม
