VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR,LAVEL_EDUCATIONAL
1459.98,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563,ประถมศึกษา
1306.81,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,2,ชาย,พันคน,ภาคกลาง,2563,ประถมศึกษา
538.52,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,3,ชาย,พันคน,ภาคใต้,2563,มัธยมศึกษาตอนต้น
0.23,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,4,ชาย,พันคน,ภาคเหนือ,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
833.59,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,กรุงเทพมหานคร,2563,อุดมศึกษา สายวิชาการ
74.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,6,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563,อุดมศึกษา สายวิชาการศึกษา
108.77,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,ภาคกลาง,2564,การศึกษาอื่น ๆ
17.75,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,ชาย,พันคน,ภาคใต้,2564,ไม่ทราบ
539.53,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,9,หญิง,พันคน,ภาคเหนือ,2564,ประถมศึกษา
393.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,กรุงเทพมหานคร,2564,ประถมศึกษา
646.93,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,11,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายสามัญ
0.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,12,หญิง,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
1151.86,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,13,หญิง,พันคน,ภาคกลาง,2564,อุดมศึกษา สายวิชาการ
278.86,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,ภาคกลาง,2564,อุดมศึกษา สายวิชาชีพ
135.88,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,15,หญิง,พันคน,ภาคกลาง,2564,อุดมศึกษา สายวิชาการศึกษา
65.47,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,ภาคกลาง,2564,การศึกษาอื่น ๆ
51.94,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,17,หญิง,พันคน,ภาคกลาง,2564,ไม่ทราบ
155.5,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,18,ชาย,พันคน,ภาคเหนือ,2564,ไม่มีการศึกษา
736.85,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,ภาคเหนือ,2564,ต่ำกว่าประถมศึกษา
685.6,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,20,ชาย,พันคน,ภาคเหนือ,2564,ประถมศึกษา
583.7,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,21,ชาย,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนต้น
475.09,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,22,ชาย,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนปลาย สายสามัญ
124.7,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,23,ชาย,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,24,ชาย,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
307.2,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,25,ชาย,พันคน,ภาคเหนือ,2564,อุดมศึกษา สายวิชาการ
187.06,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,26,ชาย,พันคน,ภาคเหนือ,2564,อุดมศึกษา สายวิชาชีพ
44.63,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,27,ชาย,พันคน,ภาคเหนือ,2564,อุดมศึกษา สายวิชาการศึกษา
4.09,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,28,ชาย,พันคน,ภาคเหนือ,2564,การศึกษาอื่น ๆ
2.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,29,ชาย,พันคน,ภาคเหนือ,2564,ไม่ทราบ
201.69,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,30,หญิง,พันคน,ภาคเหนือ,2564,ไม่มีการศึกษา
664.41,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,31,หญิง,พันคน,ภาคเหนือ,2564,ต่ำกว่าประถมศึกษา
504.39,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,32,หญิง,พันคน,ภาคเหนือ,2564,ประถมศึกษา
361.65,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,33,หญิง,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนต้น
341.26,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,34,หญิง,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนปลาย สายสามัญ
69.32,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,35,หญิง,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.23,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,36,หญิง,พันคน,ภาคเหนือ,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
447.55,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,37,หญิง,พันคน,ภาคเหนือ,2564,อุดมศึกษา สายวิชาการ
100.93,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,38,หญิง,พันคน,ภาคเหนือ,2564,อุดมศึกษา สายวิชาชีพ
93.3,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,39,หญิง,พันคน,ภาคเหนือ,2564,อุดมศึกษา สายวิชาการศึกษา
2.33,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,40,หญิง,พันคน,ภาคเหนือ,2564,การศึกษาอื่น ๆ
1.15,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,41,หญิง,พันคน,ภาคเหนือ,2564,ไม่ทราบ
24.16,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,42,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ไม่มีการศึกษา
1194.62,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,43,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ต่ำกว่าประถมศึกษา
1481.05,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,44,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ประถมศึกษา
977.75,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,45,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนต้น
753.79,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,46,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายสามัญ
118.22,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,47,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1.25,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,48,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
310.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,49,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาการ
217.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,50,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาชีพ
60.95,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,51,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาการศึกษา
0.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,52,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,การศึกษาอื่น ๆ
1.26,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,53,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ไม่ทราบ
28.27,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,54,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ไม่มีการศึกษา
1017.25,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,55,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ต่ำกว่าประถมศึกษา
1205.58,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,56,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ประถมศึกษา
582.79,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,57,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนต้น
641.16,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,58,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายสามัญ
75.1,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,59,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.34,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,60,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
433.39,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,61,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาการ
180.45,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,62,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาชีพ
152.1,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,63,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาการศึกษา
0.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,การศึกษาอื่น ๆ
1.38,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,65,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ไม่ทราบ
76.03,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,66,ชาย,พันคน,ภาคใต้,2564,ไม่มีการศึกษา
371.55,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,67,ชาย,พันคน,ภาคใต้,2564,ต่ำกว่าประถมศึกษา
776.01,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,68,ชาย,พันคน,ภาคใต้,2564,ประถมศึกษา
532.49,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,69,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนต้น
447.48,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,70,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายสามัญ
121.14,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,71,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.86,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,72,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
78.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,73,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.31,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,74,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
438.83,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,75,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาการ
