เนื้อที่,_id,ปี,อำเภอ,จังหวัด,หน่วย
,1,2563,เมืองลำปาง,ลำปาง,ไร่
,2,2563,แม่เมาะ,ลำปาง,ไร่
,3,2563,เกาะคา,ลำปาง,ไร่
,4,2563,เสริมงาม,ลำปาง,ไร่
,5,2563,งาว,ลำปาง,ไร่
93,6,2563,แจ้ห่ม,ลำปาง,ไร่
126,7,2563,วังเหนือ,ลำปาง,ไร่
,8,2563,เถิน,ลำปาง,ไร่
,9,2563,แม่พริก,ลำปาง,ไร่
,10,2563,แม่ทะ,ลำปาง,ไร่
,11,2563,สบปราบ,ลำปาง,ไร่
,12,2563,ห้างฉัตร,ลำปาง,ไร่
197,13,2563,เมืองปาน,ลำปาง,ไร่
,14,2564,เมืองลำปาง,ลำปาง,ไร่
,15,2564,แม่เมาะ,ลำปาง,ไร่
,16,2564,เกาะคา,ลำปาง,ไร่
,17,2564,เสริมงาม,ลำปาง,ไร่
,18,2564,งาว,ลำปาง,ไร่
,19,2564,แจ้ห่ม,ลำปาง,ไร่
,20,2564,วังเหนือ,ลำปาง,ไร่
20,21,2564,เถิน,ลำปาง,ไร่
42,22,2564,แม่พริก,ลำปาง,ไร่
,23,2564,แม่ทะ,ลำปาง,ไร่
10,24,2564,สบปราบ,ลำปาง,ไร่
,25,2564,ห้างฉัตร,ลำปาง,ไร่
,26,2564,เมืองปาน,ลำปาง,ไร่
1,27,2565,เมืองลำปาง,ลำปาง,ไร่
,28,2565,แม่เมาะ,ลำปาง,ไร่
,29,2565,เกาะคา,ลำปาง,ไร่
,30,2565,เสริมงาม,ลำปาง,ไร่
,31,2565,งาว,ลำปาง,ไร่
88,32,2565,แจ้ห่ม,ลำปาง,ไร่
1,33,2565,วังเหนือ,ลำปาง,ไร่
168,34,2565,เถิน,ลำปาง,ไร่
1644,35,2565,แม่พริก,ลำปาง,ไร่
,36,2565,แม่ทะ,ลำปาง,ไร่
39,37,2565,สบปราบ,ลำปาง,ไร่
,38,2565,ห้างฉัตร,ลำปาง,ไร่
,39,2565,เมืองปาน,ลำปาง,ไร่
,40,2566,เมืองลำปาง,ลำปาง,ไร่
3,41,2566,แม่เมาะ,ลำปาง,ไร่
4,42,2566,เกาะคา,ลำปาง,ไร่
19,43,2566,เสริมงาม,ลำปาง,ไร่
4,44,2566,งาว,ลำปาง,ไร่
9,45,2566,แจ้ห่ม,ลำปาง,ไร่
,46,2566,วังเหนือ,ลำปาง,ไร่
846,47,2566,เถิน,ลำปาง,ไร่
2188,48,2566,แม่พริก,ลำปาง,ไร่
1,49,2566,แม่ทะ,ลำปาง,ไร่
48,50,2566,สบปราบ,ลำปาง,ไร่
,51,2566,ห้างฉัตร,ลำปาง,ไร่
17,52,2566,เมืองปาน,ลำปาง,ไร่
517,53,2567,เมืองลำปาง,ลำปาง,ไร่
41,54,2567,แม่เมาะ,ลำปาง,ไร่
872,55,2567,เกาะคา,ลำปาง,ไร่
48,56,2567,เสริมงาม,ลำปาง,ไร่
201,57,2567,งาว,ลำปาง,ไร่
128,58,2567,แจ้ห่ม,ลำปาง,ไร่
142,59,2567,วังเหนือ,ลำปาง,ไร่
2791,60,2567,เถิน,ลำปาง,ไร่
3496,61,2567,แม่พริก,ลำปาง,ไร่
34,62,2567,แม่ทะ,ลำปาง,ไร่
220,63,2567,สบปราบ,ลำปาง,ไร่
90,64,2567,ห้างฉัตร,ลำปาง,ไร่
140,65,2567,เมืองปาน,ลำปาง,ไร่
,66,2568,เมืองลำปาง,ลำปาง,ไร่
1,67,2568,แม่เมาะ,ลำปาง,ไร่
31,68,2568,เกาะคา,ลำปาง,ไร่
,69,2568,เสริมงาม,ลำปาง,ไร่
36,70,2568,งาว,ลำปาง,ไร่
,71,2568,แจ้ห่ม,ลำปาง,ไร่
45,72,2568,วังเหนือ,ลำปาง,ไร่
132,73,2568,เถิน,ลำปาง,ไร่
132,74,2568,แม่พริก,ลำปาง,ไร่
7,75,2568,แม่ทะ,ลำปาง,ไร่
14,76,2568,สบปราบ,ลำปาง,ไร่
34,77,2568,ห้างฉัตร,ลำปาง,ไร่
26,78,2568,เมืองปาน,ลำปาง,ไร่
