﻿year,sex,quarter,_id,region,value,unit,age_group,source
2567,1. ชาย,ไตรมาส 1,1,2) ภาคกลาง,0.13,พันคน,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,2,2) ภาคกลาง,1.36,พันคน,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,3,2) ภาคกลาง,1.22,พันคน,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,4,2) ภาคกลาง,0.51,พันคน,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,5,2) ภาคกลาง,0.0,พันคน,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,6,2) ภาคกลาง,0.0,พันคน,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,7,2) ภาคกลาง,0.0,พันคน,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,8,2) ภาคกลาง,0.0,พันคน,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,9,2) ภาคกลาง,0.34,พันคน,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,10,2) ภาคกลาง,0.37,พันคน,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 1,11,2) ภาคกลาง,0.68,พันคน,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,12,3) ภาคเหนือ,1.25,พันคน,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,13,3) ภาคเหนือ,0.45,พันคน,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,14,3) ภาคเหนือ,1.46,พันคน,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 1,15,3) ภาคเหนือ,1.53,พันคน,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
