ปี 2563,_id,ปี 2564,รายการข้อมูล,ปี 2567,ปี 2562
8,1,8,บางกระทุ่ม,6,8
7,2,7,บางระกำ,9,7
8,3,8,พรหมพิราม,17,8
10,4,10,เมืองพิษณุโลก,8,10
10,5,10,วังทอง,2,10
3,6,3,วัดโบสถ์,2,3
0,7,0,เนินมะปราง,0,0
1,8,1,นครไทย,0,1
0,9,0,ชาติตระการ,0,0
