ผลิตภาพแรงงาน,_id,ปี
14.79,1,2558
13.7,2,2559
15.4,3,2560
14.03,4,2561
14.7,5,2562
15.29,6,2563
14.4,7,2564
16.8,8,2565
15.1,9,2566
