VALUE,SOURCE,_id,UNIT,YEAR
11.64,สำนักงานสถิติแห่งชาติ,1,ร้อยละ,2563
11.99,สำนักงานสถิติแห่งชาติ,2,ร้อยละ,2564
12.67,สำนักงานสถิติแห่งชาติ,3,ร้อยละ,2565
12.74,สำนักงานสถิติแห่งชาติ,4,ร้อยละ,2566
12.64,สำนักงานสถิติแห่งชาติ,5,ร้อยละ,2567
12.43,สำนักงานสถิติแห่งชาติ,6,ร้อยละ,2568
