เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
สิงหาคม,41433,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
สิงหาคม,1658,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
สิงหาคม,9717,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
สิงหาคม,10,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
สิงหาคม,358,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
สิงหาคม,66,6,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
สิงหาคม,19,7,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
สิงหาคม,31,8,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
สิงหาคม,150383,9,2567,รย. 12 รถจักรยานยนต์,รถยนต์
สิงหาคม,4306,10,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
สิงหาคม,59,11,2567,รย. 14 รถบดถนน,รถยนต์
สิงหาคม,35,12,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
สิงหาคม,72,13,2567,รย. 16 รถพ่วง,รถยนต์
สิงหาคม,92,14,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
สิงหาคม,92,15,2567,รถโดยสารประจำทาง,รถขนส่ง
สิงหาคม,390,16,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
สิงหาคม,68,17,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
สิงหาคม,2337,18,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
สิงหาคม,2626,19,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
