WORK_STATUS,QUARTER,VALUE,SOURCE,_id,SEX,UNIT,REGION,YEAR
นายจ้าง,ไตรมาสที่ 1,26.27,สำนักงานสถิติแห่งชาติ,1,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 1,499.19,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 1,852.14,สำนักงานสถิติแห่งชาติ,3,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 1,1587.51,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,1175.38,สำนักงานสถิติแห่งชาติ,5,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 1,5.35,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
นายจ้าง,ไตรมาสที่ 1,162.45,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,ภาคใต้,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 1,245.77,สำนักงานสถิติแห่งชาติ,8,ชาย,พันคน,ภาคใต้,2566
ลูกจ้างเอกชน,ไตรมาสที่ 1,1137.16,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,ภาคใต้,2566
ทำงานส่วนตัว,ไตรมาสที่ 1,1054.82,สำนักงานสถิติแห่งชาติ,10,ชาย,พันคน,ภาคใต้,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,336.72,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,ภาคใต้,2566
การรวมกลุ่ม,ไตรมาสที่ 1,7.81,สำนักงานสถิติแห่งชาติ,12,ชาย,พันคน,ภาคใต้,2566
นายจ้าง,ไตรมาสที่ 1,68.74,สำนักงานสถิติแห่งชาติ,13,หญิง,พันคน,ภาคใต้,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 1,267.07,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,ภาคใต้,2566
ลูกจ้างเอกชน,ไตรมาสที่ 1,843.29,สำนักงานสถิติแห่งชาติ,15,หญิง,พันคน,ภาคใต้,2566
ทำงานส่วนตัว,ไตรมาสที่ 1,808.17,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,ภาคใต้,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,468.4,สำนักงานสถิติแห่งชาติ,17,หญิง,พันคน,ภาคใต้,2566
การรวมกลุ่ม,ไตรมาสที่ 1,0.51,สำนักงานสถิติแห่งชาติ,18,หญิง,พันคน,ภาคใต้,2566
นายจ้าง,ไตรมาสที่ 2,124.47,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,283.81,สำนักงานสถิติแห่งชาติ,20,ชาย,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,1723.21,สำนักงานสถิติแห่งชาติ,21,ชาย,พันคน,กรุงเทพมหานคร,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,733.08,สำนักงานสถิติแห่งชาติ,22,ชาย,พันคน,กรุงเทพมหานคร,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,98.71,สำนักงานสถิติแห่งชาติ,23,ชาย,พันคน,กรุงเทพมหานคร,2566
การรวมกลุ่ม,ไตรมาสที่ 2,0.0,สำนักงานสถิติแห่งชาติ,24,ชาย,พันคน,กรุงเทพมหานคร,2566
นายจ้าง,ไตรมาสที่ 2,56.11,สำนักงานสถิติแห่งชาติ,25,หญิง,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,267.08,สำนักงานสถิติแห่งชาติ,26,หญิง,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,1744.06,สำนักงานสถิติแห่งชาติ,27,หญิง,พันคน,กรุงเทพมหานคร,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,511.74,สำนักงานสถิติแห่งชาติ,28,หญิง,พันคน,กรุงเทพมหานคร,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,195.24,สำนักงานสถิติแห่งชาติ,29,หญิง,พันคน,กรุงเทพมหานคร,2566
การรวมกลุ่ม,ไตรมาสที่ 2,0.0,สำนักงานสถิติแห่งชาติ,30,หญิง,พันคน,กรุงเทพมหานคร,2566
นายจ้าง,ไตรมาสที่ 2,259.91,สำนักงานสถิติแห่งชาติ,31,ชาย,พันคน,ภาคกลาง,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,503.6,สำนักงานสถิติแห่งชาติ,32,ชาย,พันคน,ภาคกลาง,2566
