จำนวน,_id,ปี,อำเภอ
62,1,2564,เมืองตาก
21,2,2564,บ้านตาก
16,3,2564,สามเงา
15,4,2564,แม่ระมาด
14,5,2564,ท่าสองยาง
299,6,2564,แม่สอด
15,7,2564,พบพระ
14,8,2564,อุ้มผาง
20,9,2564,วังเจ้า
62,10,2565,เมืองตาก
21,11,2565,บ้านตาก
16,12,2565,สามเงา
15,13,2565,แม่ระมาด
14,14,2565,ท่าสองยาง
301,15,2565,แม่สอด
15,16,2565,พบพระ
14,17,2565,อุ้มผาง
20,18,2565,วังเจ้า
62,19,2566,เมืองตาก
21,20,2566,บ้านตาก
16,21,2566,สามเงา
15,22,2566,แม่ระมาด
14,23,2566,ท่าสองยาง
306,24,2566,แม่สอด
15,25,2566,พบพระ
14,26,2566,อุ้มผาง
20,27,2566,วังเจ้า
71,28,2567,เมืองตาก
24,29,2567,บ้านตาก
16,30,2567,สามเงา
16,31,2567,แม่ระมาด
16,32,2567,ท่าสองยาง
286,33,2567,แม่สอด
15,34,2567,พบพระ
15,35,2567,อุ้มผาง
20,36,2567,วังเจ้า
