ค่าข้อมูล,_id,ปี,พื้นที่,หน่วย
" 45,729 ",1,2566,อำเภอเมืองราชบุรี,ไร่
" 24,741 ",2,2566,อำเภอจอมบึง,ไร่
 380 ,3,2566,อำเภอสวนผึ้ง,ไร่
 20 ,4,2566,อำเภอดำเนินสะดวก,ไร่
" 45,906 ",5,2566,อำเภอบ้านโป่ง,ไร่
" 3,143 ",6,2566,อำเภอบางแพ,ไร่
" 43,439 ",7,2566,อำเภอโพธาราม,ไร่
" 55,036 ",8,2566,อำเภอปากท่อ,ไร่
" 5,122 ",9,2566,อำเภอวัดเพลง,ไร่
 28 ,10,2566,อำเภอบ้านคา,ไร่
46737,11,2565,อำเภอเมืองราชบุรี,ไร่
28919,12,2565,อำเภอจอมบึง,ไร่
416,13,2565,อำเภอสวนผึ้ง,ไร่
89,14,2565,อำเภอดำเนินสะดวก,ไร่
46755,15,2565,อำเภอบ้านโป่ง,ไร่
3371,16,2565,อำเภอบางแพ,ไร่
44273,17,2565,อำเภอโพธาราม,ไร่
56587,18,2565,อำเภอปากท่อ,ไร่
5555,19,2565,อำเภอวัดเพลง,ไร่
15,20,2565,อำเภอบ้านคา,ไร่
46737,21,2564,อำเภอเมืองราชบุรี,ไร่
29084,22,2564,อำเภอจอมบึง,ไร่
416,23,2564,อำเภอสวนผึ้ง,ไร่
89,24,2564,อำเภอดำเนินสะดวก,ไร่
47009,25,2564,อำเภอบ้านโป่ง,ไร่
3475,26,2564,อำเภอบางแพ,ไร่
44694,27,2564,อำเภอโพธาราม,ไร่
56768,28,2564,อำเภอปากท่อ,ไร่
5561,29,2564,อำเภอวัดเพลง,ไร่
15,30,2564,อำเภอบ้านคา,ไร่
48011,31,2563,อำเภอเมืองราชบุรี,ไร่
28943,32,2563,อำเภอจอมบึง,ไร่
340,33,2563,อำเภอสวนผึ้ง,ไร่
162,34,2563,อำเภอดำเนินสะดวก,ไร่
47906,35,2563,อำเภอบ้านโป่ง,ไร่
4431,36,2563,อำเภอบางแพ,ไร่
45873,37,2563,อำเภอโพธาราม,ไร่
57805,38,2563,อำเภอปากท่อ,ไร่
5891,39,2563,อำเภอวัดเพลง,ไร่
15,40,2563,อำเภอบ้านคา,ไร่
48970,41,2562,อำเภอเมืองราชบุรี,ไร่
30328,42,2562,อำเภอจอมบึง,ไร่
384,43,2562,อำเภอสวนผึ้ง,ไร่
250,44,2562,อำเภอดำเนินสะดวก,ไร่
46102,45,2562,อำเภอบ้านโป่ง,ไร่
4255,46,2562,อำเภอบางแพ,ไร่
45384,47,2562,อำเภอโพธาราม,ไร่
58473,48,2562,อำเภอปากท่อ,ไร่
4915,49,2562,อำเภอวัดเพลง,ไร่
7,50,2562,อำเภอบ้านคา,ไร่
