ค่าข้อมูล,ที่มา,_id,ปี,กลุ่มอุตสาหกรรม,รายการ,จังหวัด,หน่วย
1734,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,ผลิตภัณฑ์จากพืช,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
2057.93,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,อุตสาหกรรมอาหาร,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
1350,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,อุตสาหกรรมเครื่องดื่ม,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
297.5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,สิ่งทอ,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
30.34,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
92.87,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
0.4,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
26.16,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
133,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
205.2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,ผลิตภัณฑ์จากปิโตรเลียม,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
84.35,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,ผลิตภัณฑ์พลาสติก,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
470.33,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,ผลิตภัณฑ์อโลหะ,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
30.7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,ผลิตโลหะขั้นมูลฐาน,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
48.38,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,ผลิตภัณฑ์โลหะ,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
4.3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,ผลิตเครื่องจักรและเครื่องกล,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
30.7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
405.93,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
545.72,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การผลิตอื่นๆ,จำนวนเงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
