พื้นที่โรงงาน,_id,พื้นที่ทั้งอำเภอ,หน่วย,ชื่อชุดข้อมูล,เจ้าของข้อมูล,พื้นที่อาคารโรงงาน,อำเภอ
0.594,1,420.209,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.168,หนองหญ้าไซ
1.217,2,355.917,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.135,สามชุก
3.883,3,252.081,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.158,ดอนเจดีย์
3.453,4,481.298,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.142,บางปลาม้า
7.023,5,552.33,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.116,เดิมบางนางบวช
5.685,6,630.2901,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.735,อู่ทอง
4.835,7,750.381,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,341.148,สองพี่น้อง
2.836,8,180.986,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.54,ศรีประจันต์
0.895,9,1193.599,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.248,ด่านช้าง
2.867,10,540.917,ตร.กม.,พื้นที่ตั้งโรงงานอุตสาหกรรมในจังหวัดสุพรรณบุรี,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,0.704,เมืองสุพรรณบุรี
