ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,อาชีพ
"27,548","25,197",30,2565,"33,216","27,881",หญิง                        ,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
 - ,-,31,2565, - , - ,รวม,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
 - ,-,32,2565, - , - ,ชาย                         ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
 - ,-,33,2565, - , - ,หญิง                        ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
" 419,096 "," 417,998 ",34,2566," 420,184 "," 414,172 ",รวม,  สระบุรี                          ,ยอดรวม
" 234,113 "," 231,325 ",35,2566," 235,874 "," 235,907 ",ชาย                         ,  สระบุรี                          ,ยอดรวม
" 184,983 "," 186,673 ",36,2566," 184,309 "," 178,265 ",หญิง                        ,  สระบุรี                          ,ยอดรวม
" 8,492 "," 17,411 ",37,2566," 9,731 "," 15,443 ",รวม,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 4,570 "," 11,707 ",38,2566," 5,491 "," 11,938 ",ชาย                         ,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 3,922 "," 5,704 ",39,2566," 4,240 "," 3,505 ",หญิง                        ,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 19,637 "," 17,989 ",40,2566," 20,608 "," 17,304 ",รวม,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 7,180 "," 6,068 ",41,2566," 7,794 "," 5,326 ",ชาย                         ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 12,457 "," 11,921 ",42,2566," 12,814 "," 11,978 ",หญิง                        ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 26,729 "," 20,084 ",43,2566," 23,714 "," 22,272 ",รวม,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 11,578 "," 8,997 ",44,2566," 13,634 "," 12,452 ",ชาย                         ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 15,152 "," 11,088 ",45,2566," 10,080 "," 9,820 ",หญิง                        ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 22,148 "," 23,422 ",46,2566," 18,261 "," 23,548 ",รวม,  สระบุรี                          ,เสมียน
" 6,177 "," 5,832 ",47,2566," 4,723 "," 5,496 ",ชาย                         ,  สระบุรี                          ,เสมียน
" 15,972 "," 17,589 ",48,2566," 13,538 "," 18,052 ",หญิง                        ,  สระบุรี                          ,เสมียน
" 85,696 "," 89,045 ",49,2566," 79,235 "," 90,651 ",รวม,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 31,745 "," 38,256 ",50,2566," 26,641 "," 39,344 ",ชาย                         ,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 53,591 "," 50,790 ",51,2566," 52,594 "," 51,307 ",หญิง                        ,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 56,814 "," 49,338 ",52,2566," 56,600 "," 43,238 ",รวม,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
" 35,890 "," 28,136 ",53,2566," 36,025 "," 24,899 ",ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
" 20,923 "," 21,203 ",54,2566," 20,575 "," 18,338 ",หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
" 60,199 "," 62,353 ",55,2566," 69,326 "," 63,658 ",รวม,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
" 45,669 "," 43,972 ",56,2566," 49,145 "," 46,150 ",ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
" 14,531 "," 18,381 ",57,2566," 20,181 "," 17,509 ",หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
" 84,890 "," 77,081 ",58,2566," 90,482 "," 83,978 ",รวม,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
" 61,616 "," 59,391 ",59,2566," 66,137 "," 64,270 ",ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
" 23,275 "," 17,691 ",60,2566," 24,345 "," 19,708 ",หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
" 54,490 "," 61,274 ",61,2566," 52,228 "," 54,080 ",รวม,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
" 29,688 "," 28,967 ",62,2566," 26,285 "," 26,031 ",ชาย                         ,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
" 24,802 "," 32,307 ",63,2566," 25,942 "," 28,049 ",หญิง                        ,  สระบุรี                          ,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ
 - , - ,64,2566, - , - ,รวม,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
 - , - ,65,2566, - , - ,ชาย                         ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
 - , - ,66,2566, - , - ,หญิง                        ,  สระบุรี                          ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
