จำนวนโรงงาน,_id,ปี,ระดับ,จังหวัด
1305,1,2568,1,ระยอง
128,2,2568,2,ระยอง
177,3,2568,3,ระยอง
55,4,2568,4,ระยอง
9,5,2568,5,ระยอง
1302,6,2567,1,ระยอง
104,7,2567,2,ระยอง
175,8,2567,3,ระยอง
35,9,2567,4,ระยอง
9,10,2567,5,ระยอง
1327,11,2566,1,ระยอง
124,12,2566,2,ระยอง
168,13,2566,3,ระยอง
34,14,2566,4,ระยอง
17,15,2566,5,ระยอง
86,16,2565,1,ระยอง
167,17,2565,2,ระยอง
397,18,2565,3,ระยอง
83,19,2565,4,ระยอง
14,20,2565,5,ระยอง
0,21,2564,1,ระยอง
0,22,2564,2,ระยอง
0,23,2564,3,ระยอง
0,24,2564,4,ระยอง
0,25,2564,5,ระยอง
