รถจดทะเบียนใหม่,_id,ปี,รถจดทะเบียนสะสม,ประเภทรถ พรบ. รถยนต์
"4,601",1,2562,"59,647",รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
39,2,2562,"2,251",รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"2,260",3,2562,"60,023",รถยนต์บรรทุกส่วนบุคคล
1,4,2562,5,รถยนต์สามล้อส่วนบุคคล
0,5,2562,0,รถยนต์สี่ล้อเล็กรับจ้าง
0,6,2562,11,รถยนต์รับจ้างสามล้อ
0,7,2562,2,รถยนต์บริการธุรกิจ
0,8,2562,4,รถยนต์บริการทัศนาจร
"18,050",9,2562,"201,665",รถจักรยานยนต์
159,10,2562,"1,544",รถแทรกเตอร์
3,11,2562,99,รถบดถนน
0,12,2562,335,รถใช้งานเกษตรกรรม
1,13,2562,12,รถพ่วง
21,14,2562,659,รถจักรยานยนต์สาธารณะ
"3,603",15,2563,"63,722",รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
127,16,2563,"2,314",รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"2,078",17,2563,"61,446",รถยนต์บรรทุกส่วนบุคคล
0,18,2563,4,รถยนต์สามล้อส่วนบุคคล
0,19,2563,0,รถยนต์สี่ล้อเล็กรับจ้าง
0,20,2563,9,รถยนต์รับจ้างสามล้อ
0,21,2563,2,รถยนต์บริการธุรกิจ
1,22,2563,4,รถยนต์บริการทัศนาจร
"15,017",23,2563,"201,444",รถจักรยานยนต์
89,24,2563,"1,491",รถแทรกเตอร์
9,25,2563,110,รถบดถนน
0,26,2563,335,รถใช้งานเกษตรกรรม
0,27,2563,12,รถพ่วง
16,28,2563,616,รถจักรยานยนต์สาธารณะ
"3,540",29,2564,"67,620",รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
99,30,2564,"2,363",รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"1,974",31,2564,"62,851",รถยนต์บรรทุกส่วนบุคคล
0,32,2564,3,รถยนต์สามล้อส่วนบุคคล
0,33,2564,0,รถยนต์สี่ล้อเล็กรับจ้าง
0,34,2564,8,รถยนต์รับจ้างสามล้อ
0,35,2564,2,รถยนต์บริการธุรกิจ
0,36,2564,4,รถยนต์บริการทัศนาจร
"16,359",37,2564,"202,625",รถจักรยานยนต์
113,38,2564,"1,490",รถแทรกเตอร์
13,39,2564,125,รถบดถนน
1,40,2564,336,รถใช้งานเกษตรกรรม
0,41,2564,13,รถพ่วง
1,42,2564,564,รถจักรยานยนต์สาธารณะ
"4,085",43,2565,"71,653",รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
53,44,2565,"2,338",รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"2,024",45,2565,"63,725",รถยนต์บรรทุกส่วนบุคคล
1,46,2565,4,รถยนต์สามล้อส่วนบุคคล
0,47,2565,2,รถยนต์สี่ล้อเล็กรับจ้าง
0,48,2565,8,รถยนต์รับจ้างสามล้อ
0,49,2565,2,รถยนต์บริการธุรกิจ
0,50,2565,4,รถยนต์บริการทัศนาจร
"20,390",51,2565,"206,812",รถจักรยานยนต์
109,52,2565,"1,437",รถแทรกเตอร์
4,53,2565,127,รถบดถนน
0,54,2565,336,รถใช้งานเกษตรกรรม
0,55,2565,13,รถพ่วง
5,56,2565,523,รถจักรยานยนต์สาธารณะ
"3,800",57,2566,"75,210",รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
44,58,2566,"2,327",รถยนต์นั่งส่วนบุคคลเกิน 7 คน
"1,619",59,2566,"64,018",รถยนต์บรรทุกส่วนบุคคล
0,60,2566,5,รถยนต์สามล้อส่วนบุคคล
0,61,2566,0,รถยนต์สี่ล้อเล็กรับจ้าง
0,62,2566,6,รถยนต์รับจ้างสามล้อ
1,63,2566,5,รถยนต์บริการธุรกิจ
0,64,2566,4,รถยนต์บริการทัศนาจร
"21,235",65,2566,"209,581",รถจักรยานยนต์
88,66,2566,"1,373",รถแทรกเตอร์
4,67,2566,131,รถบดถนน
0,68,2566,336,รถใช้งานเกษตรกรรม
0,69,2566,13,รถพ่วง
8,70,2566,477,รถจักรยานยนต์สาธารณะ
