_id,พ.ศ.,ผลผลิตรวม,หน่วยพื้นที่เพาะปลูก,ชนิด,ราคาเฉลี่ย,หน่วยราคาเฉลี่ย,หน่วยมูลค่าผลผลิตรวม,มูลค่าผลผลิตรวม,หน่วยผลผลิตรวม,พื้นที่เพาะปลูก,หน่วยผลผลิตเฉลี่ย,ผลผลิตเฉลี่ย
41,2564,1694300,ไร่,ชมพู่,39.0,บาท/กก.,บาท/ปี,65527000,กิโลกรัม,839,"กก./ไร่/ปี,รอบ",2073
42,2564,3583464,ไร่,กล้วยน้ำว้า,10.0,บาท/กก.,บาท/ปี,35834639,กิโลกรัม,1651.5,"กก./ไร่/ปี,รอบ",2170
43,2564,479162,ไร่,มะขามเทศ,70.0,บาท/กก.,บาท/ปี,33541312,กิโลกรัม,707,"กก./ไร่/ปี,รอบ",681
44,2564,1098000,ไร่,แก้วมังกร,18.0,บาท/กก.,บาท/ปี,19984000,กิโลกรัม,549,"กก./ไร่/ปี,รอบ",2000
45,2564,544600,ไร่,พุทรา,30.0,บาท/กก.,บาท/ปี,16338000,กิโลกรัม,251.75,"กก./ไร่/ปี,รอบ",2163
46,2564,1461853,ไร่,องุ่น,35.0,บาท/กก.,บาท/ปี,51164848,กิโลกรัม,610,"กก./ไร่/ปี,รอบ",2396
47,2564,12382967,ไร่,กล้วยไม้,40.0,บาท/กก.,บาท/ปี,495318680,กิโลกรัม,4716.5,"กก./ไร่/ปี,รอบ",2625
48,2564,43145100,ไร่,พืชผัก,11.0,บาท/กก.,บาท/ปี,471481200,กิโลกรัม,6768,"กก./ไร่/ปี,รอบ",6375
49,2564,550000,ไร่,สมุนไพร,60.0,บาท/กก.,บาท/ปี,33000000,กิโลกรัม,284.5,"กก./ไร่/ปี,รอบ",2000
50,2564,1794100,ไร่,ไม้ดอกอื่นๆ,76.0,บาท/กก.,บาท/ปี,136598000,กิโลกรัม,1208,"กก./ไร่/ปี,รอบ",1485
51,2564,12597000,ไร่,ไม้ดอกไม้ประดับ,50.0,บาท/กก.,บาท/ปี,629675000,กิโลกรัม,788,"กก./ไร่/ปี,รอบ",15986
52,2564,389488000,ไร่,นาเกลือ,0.8,บาท/กก.,บาท/ปี,311590400,กิโลกรัม,24343,"กก./ไร่/ปี,รอบ",16000
53,2565,1749809,ไร่,ข้าวนาปรัง 64/65,6.83,บาท/กก.,บาท/ปี,11956000,กิโลกรัม,2547,"กก./ไร่/ปี,รอบ",687
54,2565,2709985,ไร่,ข้าวนาปี 65/66,7.11,บาท/กก.,บาท/ปี,19274000,กิโลกรัม,3856,"กก./ไร่/ปี,รอบ",703
55,2565,207298200,ไร่,มะพร้าวน้ำหอม,9.0,บาท/กก.,บาท/ปี,1865683000,กิโลกรัม,44106,"กก./ไร่/ปี,รอบ",4700
56,2565,632036,ไร่,มะพร้าวแก่,10.0,บาท/กก.,บาท/ปี,6472000,กิโลกรัม,992,"กก./ไร่/ปี,รอบ",686
57,2565,14025600,ไร่,มะม่วง,23.0,บาท/กก.,บาท/ปี,326250000,กิโลกรัม,6871,"กก./ไร่/ปี,รอบ",2041
58,2565,20571500,ไร่,มะนาว,29.0,บาท/กก.,บาท/ปี,610775000,กิโลกรัม,6625,"กก./ไร่/ปี,รอบ",3105
59,2565,40034700,ไร่,ฝรั่ง,28.0,บาท/กก.,บาท/ปี,1145051000,กิโลกรัม,7440,"กก./ไร่/ปี,รอบ",5381
60,2565,6218811,ไร่,ลำไย,50.0,บาท/กก.,บาท/ปี,310940000,กิโลกรัม,4457,"กก./ไร่/ปี,รอบ",1395
61,2565,1581300,ไร่,ชมพู่,46.0,บาท/กก.,บาท/ปี,74025000,กิโลกรัม,761,"กก./ไร่/ปี,รอบ",2078
62,2565,3436900,ไร่,กล้วยน้ำว้า,10.0,บาท/กก.,บาท/ปี,34369000,กิโลกรัม,1546,"กก./ไร่/ปี,รอบ",2223
63,2565,423000,ไร่,มะขามเทศ,70.0,บาท/กก.,บาท/ปี,29610000,กิโลกรัม,694,"กก./ไร่/ปี,รอบ",610
64,2565,1038000,ไร่,แก้วมังกร,24.0,บาท/กก.,บาท/ปี,25380000,กิโลกรัม,519,"กก./ไร่/ปี,รอบ",2000
65,2565,469650,ไร่,พุทรา,30.0,บาท/กก.,บาท/ปี,14089000,กิโลกรัม,204,"กก./ไร่/ปี,รอบ",2032
66,2565,1338600,ไร่,องุ่น,60.0,บาท/กก.,บาท/ปี,80316000,กิโลกรัม,582,"กก./ไร่/ปี,รอบ",2300
67,2565,8918000,ไร่,กล้วยไม้,56.0,บาท/กก.,บาท/ปี,502892000,กิโลกรัม,3430,"กก./ไร่/ปี,รอบ",2600
68,2565,11984400,ไร่,พืชผัก,16.0,บาท/กก.,บาท/ปี,189280000,กิโลกรัม,5526,"กก./ไร่/ปี,รอบ",6506
69,2565,1871000,ไร่,สมุนไพร,60.0,บาท/กก.,บาท/ปี,112260000,กิโลกรัม,549,"กก./ไร่/ปี,รอบ",3408
70,2565,1419000,ไร่,ไม้ดอกอื่นๆ,50 - 80,บาท/กก.,บาท/ปี,104358000,กิโลกรัม,941,"กก./ไร่/ปี,รอบ",1508
71,2565,1218000,ไร่,ไม้ดอกไม้ประดับ,30 - 100,บาท/กก.,บาท/ปี,365430000,กิโลกรัม,731,"กก./ไร่/ปี,รอบ",16000
72,2565,268608000,ไร่,นาเกลือ,2.0,บาท/กก.,บาท/ปี,537216000,กิโลกรัม,16788,"กก./ไร่/ปี,รอบ",16000
73,2566,1623095,ไร่,ข้าวนาปรัง 65/66,11.0,บาท/กก.,บาท/ปี,17854045,กิโลกรัม,2366.25,"กก./ไร่/ปี,รอบ",686
74,2566,2545049,ไร่,ข้าวนาปี 66/67,11.6,บาท/กก.,บาท/ปี,29522568.4,กิโลกรัม,3568,"กก./ไร่/ปี,รอบ",713
75,2566,201210716,ไร่,มะพร้าวน้ำหอม,12.98,บาท/กก.,บาท/ปี,2611715093.6800003,กิโลกรัม,46551,"กก./ไร่/ปี,รอบ",4460
76,2566,1526780,ไร่,มะพร้าวแก่,13.0,บาท/กก.,บาท/ปี,19848140,กิโลกรัม,1419.48,"กก./ไร่/ปี,รอบ",1111
77,2566,15398598,ไร่,มะม่วง,29.0,บาท/กก.,บาท/ปี,446559342,กิโลกรัม,7152.47,"กก./ไร่/ปี,รอบ",2158
78,2566,21227551,ไร่,มะนาว,50.57,บาท/กก.,บาท/ปี,1073477254.07,กิโลกรัม,6830.51,"กก./ไร่/ปี,รอบ",3108
79,2566,41403343,ไร่,ฝรั่ง,24.02,บาท/กก.,บาท/ปี,994508298.86,กิโลกรัม,7681.37,"กก./ไร่/ปี,รอบ",5391
80,2566,5487400,ไร่,ลำไย,50.0,บาท/กก.,บาท/ปี,274370000,กิโลกรัม,3812,"กก./ไร่/ปี,รอบ",1440
81,2566,1473200,ไร่,ชมพู่,34.08,บาท/กก.,บาท/ปี,50206656,กิโลกรัม,708,"กก./ไร่/ปี,รอบ",2081
82,2566,3462227,ไร่,กล้วยน้ำว้า,10.66,บาท/กก.,บาท/ปี,36907339.82,กิโลกรัม,1581.49,"กก./ไร่/ปี,รอบ",2189
83,2566,363000,ไร่,มะขามเทศ,73.98,บาท/กก.,บาท/ปี,26854740,กิโลกรัม,605,"กก./ไร่/ปี,รอบ",600
84,2566,783500,ไร่,แก้วมังกร,25.0,บาท/กก.,บาท/ปี,19587500,กิโลกรัม,395.5,"กก./ไร่/ปี,รอบ",1981
85,2566,384725,ไร่,พุทรา,23.03,บาท/กก.,บาท/ปี,8860216.75,กิโลกรัม,168.29,"กก./ไร่/ปี,รอบ",2286
86,2566,1287000,ไร่,องุ่น,60.0,บาท/กก.,บาท/ปี,77220000,กิโลกรัม,585,"กก./ไร่/ปี,รอบ",2200
87,2566,6253582,ไร่,กล้วยไม้ ,46.0,บาท/กก.,บาท/ปี,287664772,กิโลกรัม,3015.25,"กก./ไร่/ปี,รอบ",2074
88,2566,8901250,ไร่,พืชผัก ,12.18,บาท/กก.,บาท/ปี,108417225,กิโลกรัม,4524,"กก./ไร่/ปี,รอบ",5902
89,2566,1753960,ไร่,สมุนไพร,115.72,บาท/กก.,บาท/ปี,202968251.2,กิโลกรัม,537.48,"กก./ไร่/ปี,รอบ",3263
90,2566,728225,ไร่,ไม้ดอกอื่นๆ,68.0,บาท/กก.,บาท/ปี,49519300,กิโลกรัม,843.9,"กก./ไร่/ปี,รอบ",863
91,2566,839000,ไร่,ไม้ประดับ,26.12,บาท/กก.,บาท/ปี,21914680,กิโลกรัม,665,"กก./ไร่/ปี,รอบ",1262
92,2566,301360000,ไร่ ,นาเกลือ,0.8,บาท/กก.,บาท/ปี,241088000,กิโลกรัม,18835,"กก./ไร่/ปี,รอบ",16000
