เดือน,_id,ปี,จำนวนผู้เยี่ยมเยือน,หน่วย
มกราคม,1,2568," 409,682.00 ",คน
กุมภาพันธ์,2,2568," 415,487.00 ",คน
มีนาคม,3,2568," 369,122.00 ",คน
เมษายน,4,2568," 385,466.00 ",คน
พฤษภาคม,5,2568," 385,356.00 ",คน
มิถุนายน,6,2568," 388,979.00 ",คน
กรกฎาคม,7,2568," 395,237.00 ",คน
สิงหาคม,8,2568," 365,887.00 ",คน
กันยายน,9,2568," 367,917.00 ",คน
ตุลาคม,10,2568," 362,037.00 ",คน
พฤศจิกายน,11,2568," 402,651.00 ",คน
ธันวาคม,12,2568," 444,711.00 ",คน
