_id,สัปดาห์,เดือน,หน่วย,ประเภท,จำนวนเงิน
105,3,พฤศจิกายน,บาท,ราคาต่ำสุด ,
106,3,พฤศจิกายน,บาท,ราคาสูงสุด,
107,4,พฤศจิกายน,บาท,ราคาต่ำสุด ,
108,4,พฤศจิกายน,บาท,ราคาสูงสุด,
109,5,พฤศจิกายน,บาท,ราคาต่ำสุด ,
110,5,พฤศจิกายน,บาท,ราคาสูงสุด,
111,1,ธันวาคม,บาท,ราคาต่ำสุด ,
112,1,ธันวาคม,บาท,ราคาสูงสุด,
113,2,ธันวาคม,บาท,ราคาต่ำสุด ,
114,2,ธันวาคม,บาท,ราคาสูงสุด,
115,3,ธันวาคม,บาท,ราคาต่ำสุด ,
116,3,ธันวาคม,บาท,ราคาสูงสุด,
117,4,ธันวาคม,บาท,ราคาต่ำสุด ,
118,4,ธันวาคม,บาท,ราคาสูงสุด,
119,5,ธันวาคม,บาท,ราคาต่ำสุด ,
120,5,ธันวาคม,บาท,ราคาสูงสุด,
