VALUE,AREA,SOURCE,_id,UNIT,REGION,YEAR
281.28,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,1,พันคน,1) กรุงเทพมหานคร,2563
403.44,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,2,พันคน,2) ภาคกลาง,2563
662.69,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,3,พันคน,2) ภาคกลาง,2563
349.1,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,4,พันคน,3) ภาคเหนือ,2563
779.21,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,5,พันคน,3) ภาคเหนือ,2563
407.7,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,6,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
1211.06,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,7,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
172.58,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,8,พันคน,5) ภาคใต้,2563
437.43,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,9,พันคน,5) ภาคใต้,2563
297.92,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,10,พันคน,1) กรุงเทพมหานคร,2564
417.44,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,11,พันคน,2) ภาคกลาง,2564
686.59,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,12,พันคน,2) ภาคกลาง,2564
348.4,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,13,พันคน,3) ภาคเหนือ,2564
779.96,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,14,พันคน,3) ภาคเหนือ,2564
428.44,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,15,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
1289.97,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,16,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
173.7,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,17,พันคน,5) ภาคใต้,2564
459.79,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,18,พันคน,5) ภาคใต้,2564
338.67,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,19,พันคน,1) กรุงเทพมหานคร,2565
448.74,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,20,พันคน,2) ภาคกลาง,2565
634.88,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,21,พันคน,2) ภาคกลาง,2565
342.68,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,22,พันคน,3) ภาคเหนือ,2565
768.19,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,23,พันคน,3) ภาคเหนือ,2565
435.59,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,24,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
1190.57,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,25,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
173.21,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,26,พันคน,5) ภาคใต้,2565
411.51,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,27,พันคน,5) ภาคใต้,2565
701.28,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,28,พันคน,1) กรุงเทพมหานคร,2566
0.0,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,29,พันคน,1) กรุงเทพมหานคร,2566
1036.84,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,30,พันคน,2) ภาคกลาง,2566
1380.29,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,31,พันคน,2) ภาคกลาง,2566
737.21,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,32,พันคน,3) ภาคเหนือ,2566
1612.18,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,33,พันคน,3) ภาคเหนือ,2566
923.34,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,34,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
2567.48,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,35,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
