_id,ปี,รายงานสถิติทางการ,หน่วยนับ,หญิง,ชาย,อาชีพ
1,2566,รวม,คน,"3,013","9,960","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
2,2566,รวม,คน,"18,450","9,302","วิชาชีพ
ด้านต่างๆ"
3,2566,รวม,คน,"9,820","4,462","วิชาชีพ
ด้านเทคนิค"
4,2566,รวม,คน,"10,646",948,เสมียน
5,2566,รวม,คน,"53,698","25,484","พนักงาน
บริการ"
6,2566,รวม,คน,"153,636","198,881","ด้านการเกษตร
และประมง"
7,2566,รวม,คน,"6,922","28,939","ด้านความสามารถ
ทางฝีมือ"
8,2566,รวม,คน,"6,383","16,119","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
9,2566,รวม,คน,"10,409","15,343","อาชีพพื้นฐาน
ต่างๆ"
10,2566,รวม,คน,0,0,"คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น"
11,2566,แรงงานในระบบ,คน,"1,586","5,477","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
12,2566,แรงงานในระบบ,คน,"17,681","9,126","วิชาชีพ
ด้านต่างๆ"
13,2566,แรงงานในระบบ,คน,"9,603","3,822","วิชาชีพ
ด้านเทคนิค"
14,2566,แรงงานในระบบ,คน,"10,646",948,เสมียน
15,2566,แรงงานในระบบ,คน,"18,227","10,467","พนักงาน
บริการ"
16,2566,แรงงานในระบบ,คน,479,"1,050","ด้านการเกษตร
และประมง"
17,2566,แรงงานในระบบ,คน,"1,774","11,466","ด้านความสามารถ
ทางฝีมือ"
18,2566,แรงงานในระบบ,คน,"3,714","7,822","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
19,2566,แรงงานในระบบ,คน,"4,524","5,632","อาชีพพื้นฐาน
ต่างๆ"
20,2566,แรงงานในระบบ,คน,0,0,"คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น"
21,2566,แรงงานนอกระบบ,คน,"1,427","4,482","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
22,2566,แรงงานนอกระบบ,คน,769,176,"วิชาชีพ
ด้านต่างๆ"
23,2566,แรงงานนอกระบบ,คน,216,640,"วิชาชีพ
ด้านเทคนิค"
24,2566,แรงงานนอกระบบ,คน,0,0,เสมียน
25,2566,แรงงานนอกระบบ,คน,"35,471","15,016","พนักงาน
บริการ"
26,2566,แรงงานนอกระบบ,คน,"153,157","197,830","ด้านการเกษตร
และประมง"
27,2566,แรงงานนอกระบบ,คน,"5,148","17,472","ด้านความสามารถ
ทางฝีมือ"
28,2566,แรงงานนอกระบบ,คน,"2,669","8,297","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
29,2566,แรงงานนอกระบบ,คน,"5,885","9,711","อาชีพพื้นฐาน
ต่างๆ"
30,2566,แรงงานนอกระบบ,คน,0,0,"คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น"
