_id,ชนิดพืช,ปี,ราคา
1,ข้าวเปลือก,2567,10.5
2,ลำไย,2567,23.0
3,กล้วยหอม,2567,18-22
4,ข้าวเปลือก,2564,12.83
5,ลำไย,2564,22.63
6,กล้วยหอม,2564,204.959
