เดือน,ที่มา,จำนวนคนงาน,_id,ปี,อำเภอ,จังหวัด,หน่วย
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,158,1,2563,รวม,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,163,2,2564,รวม,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,172,3,2565,รวม,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,174,4,2566,รวม,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,177,5,2567,รวม,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,223,6,2568,รวม,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,53,7,2566,เมือง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,8,2566,ยี่งอ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,9,2566,บาเจาะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,10,2566,สุไหงปาดี,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,27,11,2566,สไหง-โกลก,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,12,2566,เจาะไอร้อง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,13,2566,แว้ง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,14,2566,สุคีริน,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,15,2566,ระแงะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,16,2566,จะแนะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,17,2566,ศรีสาคร,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,18,2566,รือเสาะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,16,19,2566,ตากใบ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,20,2567,เมือง,นราธิวาส,
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,21,2567,ยี่งอ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,22,2567,บาเจาะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,23,2567,สุไหงปาดี,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,27,24,2567,สไหง-โกลก,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,25,2567,เจาะไอร้อง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,26,2567,แว้ง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,27,2567,สุคีริน,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,28,2567,ระแงะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,29,2567,จะแนะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,30,2567,ศรีสาคร,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,31,2567,รือเสาะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,16,32,2567,ตากใบ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,88,33,2568,เมือง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,34,2568,ยี่งอ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,35,2568,บาเจาะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,36,2568,สุไหงปาดี,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,37,2568,สไหง-โกลก,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,38,2568,เจาะไอร้อง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,39,2568,แว้ง,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,40,2568,สุคีริน,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,41,2568,ระแงะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,42,2568,จะแนะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,43,2568,ศรีสาคร,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,44,2568,รือเสาะ,นราธิวาส,คน
รวม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,24,45,2568,ตากใบ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,53,46,2567,เมือง,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,47,2567,ตากใบ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,48,2567,บาเจาะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,49,2567,ยี่งอ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,50,2567,ระแงะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,51,2567,รือเสาะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,52,2567,ศรีสาคร,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,53,2567,สุคีริน,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,54,2567,แว้ง,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,55,2567,สุไหงโก-ลก,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,56,2567,สุไหงปาดี,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,57,2567,จะแนะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,58,2567,เจาะไอร้อง,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,59,2567,ตากใบ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,60,2567,บาเจาะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,61,2567,ยี่งอ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,62,2567,ระแงะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,63,2567,รือเสาะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,64,2567,ศรีสาคร,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,65,2567,สุคีริน,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,66,2567,แว้ง,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,67,2567,สุไหงโก-ลก,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,68,2567,สุไหงปาดี,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,69,2567,จะแนะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,70,2567,เจาะไอร้อง,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,71,2567,เมือง,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,72,2567,ตากใบ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,73,2567,บาเจาะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,74,2567,ยี่งอ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,75,2567,ระแงะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,76,2567,รือเสาะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,77,2567,ศรีสาคร,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,78,2567,สุคีริน,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,79,2567,แว้ง,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,80,2567,สุไหงโก-ลก,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,81,2567,สุไหงปาดี,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,82,2567,จะแนะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,83,2567,เจาะไอร้อง,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,84,2567,เมือง,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,85,2567,ตากใบ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,86,2567,บาเจาะ,นราธิวาส,คน
