ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2562,1,"184,466",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2563,2,"186,648",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2564,3,"192,567",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,"182,453",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,"174,852",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,6,2567,6,"166,224",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,7,2568,7,"146,375",ราย
