﻿year,level_of_edu,quarter,_id,area,region,value,unit,source
2567,รวม,ไตรมาส 1,1,รวม,ทั่วราชอาณาจักร,66.97,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,2,รวม,ทั่วราชอาณาจักร,50.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,3,รวม,ทั่วราชอาณาจักร,44.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,4,รวม,ทั่วราชอาณาจักร,73.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,5,รวม,ทั่วราชอาณาจักร,64.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,6,รวม,ทั่วราชอาณาจักร,71.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,7,รวม,ทั่วราชอาณาจักร,69.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,8,รวม,ทั่วราชอาณาจักร,73.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,9,รวม,ทั่วราชอาณาจักร,82.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,10,รวม,ทั่วราชอาณาจักร,82.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,11,รวม,ทั่วราชอาณาจักร,66.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 1,12,รวม,ทั่วราชอาณาจักร,92.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,13,รวม,ทั่วราชอาณาจักร,84.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,14,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,68.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,15,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,56.62,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,16,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,43.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,17,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,73.93,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,18,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,65.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,19,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,67.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,20,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,69.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,21,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,78.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,22,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,81.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,23,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,81.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,24,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,62.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 1,25,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,93.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,26,1) ในเขตเทศบาล,ทั่วราชอาณาจักร,83.23,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,27,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,65.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,28,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,45.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,29,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,45.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,30,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,73.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,31,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,62.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,32,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,74.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,33,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,70.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,34,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,64.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,35,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,83.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
