ค่าของข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
"3,610",สำนักงานขนส่งจังหวัดชุมพร,1,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
19,สำนักงานขนส่งจังหวัดชุมพร,2,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,3,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,4,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,5,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,6,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,7,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,8,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,9,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,10,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,11,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"10,957",สำนักงานขนส่งจังหวัดชุมพร,12,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
171,สำนักงานขนส่งจังหวัดชุมพร,13,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถแทรกเตอร์,ชุมพร,คัน
8,สำนักงานขนส่งจังหวัดชุมพร,14,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถบดถนน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,15,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถใช้งานเกษตรกรรม,ชุมพร,คัน
