_id,วิธีการกำจัด,รหัส
1,คัดแยกเพื่อจำหน่ายต่อ,11
2,เก็บกักในภาชนะบรรจุ,21
3,นำกลับมาใช้ซ้ำ,31
4,ส่งกลับผู้ขายเพื่อกำจัด,32
5,นำบรรจุภัณฑ์กลับไปบรรจุใหม่หรือใช้ซ้ำ,33
6,นำกลับมาใช้ซ้ำด้วยวิธีอื่น,39
7,ใช้เป็นพลังงานทดแทน,41
8,ทำเชื้อเพลิงผสม,42
9,เผาเพื่อใช้เป็นพลังงาน,43
10,ใช้เป็นวัตถุดิบทดแทน,44
11,ทำวัตถุผสมเพื่อใช้เป็นวัตถุดิบทดแทน,45
12,ทำเชื้อเพลิงทดแทนจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,46
13,ใช้วัสดุที่ไม่เป็นของเสียอันตรายเพื่อใช้เป็นเชื้อเพลิงในเตาเผาเพื่อผลิตกระแสไฟฟ้า,47
14,ใช้วัสดุที่เป็นของเสียอันตรายเพื่อใช้เป็นเชื้อเพลิงในเตาเผาเพื่อผลิตกระแสไฟฟ้า,48
15,นำกลับมาใช้ประโยชน์อีกด้วยวิธีอื่น ๆ,49
16,บำบัดด้วยวิธีชีวภาพหรือวิธีเคมีชีวภาพ,61
17,บำบัดด้วยวิธีทางเคมีหรือบำบัดด้วยวิธีทางกายภาพ,63
18,บำบัดน้ำเสียด้วยวิธีทางเคมีกายภาพ,65
19,เข้าระบบบำบัดน้ำเสียรวม ,66
20,ปรับเสถียรด้วยวิธีทางเคมี,67
21,ปรับเสถียรหรือตรึงทางเคมีให้เป็นวัสดุ,68
22,ฝังกลบตามหลักสุขาภิบาล,71
23,ฝังกลบอย่างปลอดภัย,72
24,เผาทำลายในเตาเผาชุมชนหรือเตาเผาเฉพาะสำหรับของเสียไม่อันตราย,74
25,เผาทำลายในเตาเผาเฉพาะสำหรับของเสียอันตราย,75
26,เผาทำลายร่วมในเตาอุตสาหกรรมซีเมนต์,76
27,รวบรวมและส่งออกนอกประเทศ,81
28,ถมทะเลหรือที่ลุ่มเฉพาะวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,82
29,หมักทำปุ๋ยหรือสารปรับปรุงคุณภาพดิน,83
30,ทำอาหารสัตว์,84
