เดือน,ที่มา,_id,ปี,ผู้ประกันตน,หน่วย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,"209,118",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,2,2565,"209,206",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,3,2565,"209,299",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,"209,360",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,5,2565,"209,440",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,6,2565,"209,560",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,7,2565,"209,625",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,8,2565,"209,720",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,9,2565,"209,786",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,10,2565,"209,799",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,11,2565,"209,838",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,12,2565,"209,854",ราย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,13,2566,"209,875",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,14,2566,"209,922",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,15,2566,"209,937",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,16,2566,"209,932",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,17,2566,"209,927",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,18,2566,"209,942",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,19,2566,"210,001",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,20,2566,"210,013",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,21,2566,"210,025",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,22,2566,"210,031",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,23,2566,"210,012",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,24,2566,"210,010",ราย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,25,2567,"210,018",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,26,2567,"210,019",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,27,2567,"210,024",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,28,2567,"210,017",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,29,2567,"210,026",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,30,2567,"209,946",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,31,2567,"209,946",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,32,2567,"209,956",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,33,2567,"209,915",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,34,2567,"209,925",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,35,2567,"209,920",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,36,2567,"209,878",ราย
มกราคม,สำนักงานประกันสังคมจังหวัดลพบุรี,37,2568,"209,854",ราย
กุมภาพันธ์,สำนักงานประกันสังคมจังหวัดลพบุรี,38,2568,"209,860",ราย
มีนาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,39,2568,"209,800",ราย
เมษายน,สำนักงานประกันสังคมจังหวัดลพบุรี,40,2568,"209,753",ราย
พฤษภาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,41,2568,"209,751",ราย
มิถุนายน,สำนักงานประกันสังคมจังหวัดลพบุรี,42,2568,"209,649",ราย
กรกฎาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,43,2568,"209,597",ราย
สิงหาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,44,2568,"209,561",ราย
กันยายน,สำนักงานประกันสังคมจังหวัดลพบุรี,45,2568,"209,526",ราย
ตุลาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,46,2568,"209,469",ราย
พฤศจิกายน,สำนักงานประกันสังคมจังหวัดลพบุรี,47,2568,"209,443",ราย
ธันวาคม,สำนักงานประกันสังคมจังหวัดลพบุรี,48,2568,"209,418",ราย
