year,_id,value,unit
2558,1,13.3,ร้อยละ
2559,2,14.7,ร้อยละ
2560,3,15.3,ร้อยละ
2561,4,14.6,ร้อยละ
2562,5,14.6,ร้อยละ
2563,6,14.9,ร้อยละ
2564,7,14.5,ร้อยละ
2565,8,13.2,ร้อยละ
2566,9,12.3,ร้อยละ
2567,10,12.2,ร้อยละ
2568,11,12.2,ร้อยละ
