_id,ปี,เนื้อที่เก็บเกี่ยว,เนื้อที่เพาะปลูก
1,2561,71,71
2,2562,1034,1034
3,2563,285,285
4,2564,76,76
5,2565,496,522
6,2566,352,352
7,2567,656,661
