เดือน,จำนวน,_id,ปี,ผู้มาเยี่ยมเยือน,หน่วย
1," 625,686 ",1,2561,ผู้เยี่ยมเยือนชาวไทย,คน
1," 913,769 ",2,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
2," 659,451 ",3,2561,ผู้เยี่ยมเยือนชาวไทย,คน
2," 835,340 ",4,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
3," 707,577 ",5,2561,ผู้เยี่ยมเยือนชาวไทย,คน
3," 794,803 ",6,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
4," 732,309 ",7,2561,ผู้เยี่ยมเยือนชาวไทย,คน
4," 955,599 ",8,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
5," 817,340 ",9,2561,ผู้เยี่ยมเยือนชาวไทย,คน
5," 853,883 ",10,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
6," 771,494 ",11,2561,ผู้เยี่ยมเยือนชาวไทย,คน
6," 728,027 ",12,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
7," 555,715 ",13,2561,ผู้เยี่ยมเยือนชาวไทย,คน
7," 713,896 ",14,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
8," 649,902 ",15,2561,ผู้เยี่ยมเยือนชาวไทย,คน
8," 707,545 ",16,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
9," 625,034 ",17,2561,ผู้เยี่ยมเยือนชาวไทย,คน
9," 588,587 ",18,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
10," 686,286 ",19,2561,ผู้เยี่ยมเยือนชาวไทย,คน
10," 821,557 ",20,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
11," 900,802 ",21,2561,ผู้เยี่ยมเยือนชาวไทย,คน
11," 844,460 ",22,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
12," 837,621 ",23,2561,ผู้เยี่ยมเยือนชาวไทย,คน
12," 884,856 ",24,2561,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
1," 660,655 ",25,2562,ผู้เยี่ยมเยือนชาวไทย,คน
1," 939,183 ",26,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
2," 698,048 ",27,2562,ผู้เยี่ยมเยือนชาวไทย,คน
2," 882,996 ",28,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
3," 761,116 ",29,2562,ผู้เยี่ยมเยือนชาวไทย,คน
3," 772,615 ",30,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
4," 728,951 ",31,2562,ผู้เยี่ยมเยือนชาวไทย,คน
4," 1,000,147 ",32,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
5," 863,264 ",33,2562,ผู้เยี่ยมเยือนชาวไทย,คน
5," 821,107 ",34,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
6," 775,628 ",35,2562,ผู้เยี่ยมเยือนชาวไทย,คน
6," 726,917 ",36,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
7," 558,973 ",37,2562,ผู้เยี่ยมเยือนชาวไทย,คน
7," 728,943 ",38,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
8," 586,294 ",39,2562,ผู้เยี่ยมเยือนชาวไทย,คน
8," 729,128 ",40,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
9," 608,676 ",41,2562,ผู้เยี่ยมเยือนชาวไทย,คน
9," 671,886 ",42,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
10," 679,232 ",43,2562,ผู้เยี่ยมเยือนชาวไทย,คน
10," 946,759 ",44,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
11," 865,929 ",45,2562,ผู้เยี่ยมเยือนชาวไทย,คน
11," 898,915 ",46,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
12," 808,881 ",47,2562,ผู้เยี่ยมเยือนชาวไทย,คน
12," 861,903 ",48,2562,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
1," 615,982 ",49,2563,ผู้เยี่ยมเยือนชาวไทย,คน
1," 969,800 ",50,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
2," 329,571 ",51,2563,ผู้เยี่ยมเยือนชาวไทย,คน
2," 307,034 ",52,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
3," 360,208 ",53,2563,ผู้เยี่ยมเยือนชาวไทย,คน
3," 75,677 ",54,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
4, 0 ,55,2563,ผู้เยี่ยมเยือนชาวไทย,คน
4," 10,275 ",56,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
5," 8,116 ",57,2563,ผู้เยี่ยมเยือนชาวไทย,คน
5," 10,104 ",58,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
6," 194,406 ",59,2563,ผู้เยี่ยมเยือนชาวไทย,คน
6," 17,099 ",60,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
7," 447,880 ",61,2563,ผู้เยี่ยมเยือนชาวไทย,คน
7," 12,590 ",62,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
8," 563,924 ",63,2563,ผู้เยี่ยมเยือนชาวไทย,คน
8," 10,410 ",64,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
9," 565,294 ",65,2563,ผู้เยี่ยมเยือนชาวไทย,คน
9," 10,711 ",66,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
10," 636,378 ",67,2563,ผู้เยี่ยมเยือนชาวไทย,คน
10," 10,579 ",68,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
11," 947,283 ",69,2563,ผู้เยี่ยมเยือนชาวไทย,คน
11," 16,801 ",70,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
12," 837,365 ",71,2563,ผู้เยี่ยมเยือนชาวไทย,คน
12," 7,256 ",72,2563,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
1," 23,674 ",73,2564,ผู้เยี่ยมเยือนชาวไทย,คน
1," 1,361 ",74,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
2," 85,561 ",75,2564,ผู้เยี่ยมเยือนชาวไทย,คน
2," 1,469 ",76,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
3," 158,940 ",77,2564,ผู้เยี่ยมเยือนชาวไทย,คน
3," 1,394 ",78,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
4," 155,350 ",79,2564,ผู้เยี่ยมเยือนชาวไทย,คน
4," 1,042 ",80,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
