_id,เลขทะเบียนเดิม,ปริมาณการใช้น้ำ (ลบ.ม.),ชื่อผู้ประกอบการ
1,3-2(1)-18/54พล,500.0,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง
2,3-2(1)-2/35พล,500.0,บริษัท โรงสีไฟสิงหวัฒน์ จำกัด
3,3-2(1)-29/53พล,500.0,บริษัท ธนารัตน์ธัญญะกิจ จำกัด
4,จ3-2(1)-1/39พล,20.0,บริษัท มอนซานโต้ไทยแลนด์ จำกัด
5,จ3-2(1)-10/64พล,1.0,ห้างหุ้นส่วนจำกัด เกษตรมีแลนด์
6,จ3-2(1)-11/56พล,1.0,นางอินทธิรา ลี้ชัยมงคล
7,จ3-2(1)-11/62พล,1.0,นางอินทธิรา ลี้ชัยมงคล
8,จ3-2(1)-2/43พล,1.0,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด
9,จ3-2(1)-2/45พล,1.0,นางอมรพร มานะกิจศิริสุทธิ์
10,จ3-2(1)-3/41พล,1.0,บริษัท โรงสีเจริญพาณิชย์ จำกัด
11,จ3-2(1)-3/43พล,1.0,สหกรณ์การเกษตรพรหมพิราม จำกัด
12,จ3-2(1)-3/62พล,2.0,สหกรณ์การเกษตรพรหมพิราม จำกัด
13,จ3-2(1)-30/50พล,1.0,นายศุภรัตน์ ศักรนันท์
14,จ3-2(1)-31/61พล,1.0,นางสาวธนิยาภา สุทธิ
15,จ3-2(1)-39/52พล,1.0,นายธรรมนูญ ไกรเกตุ
16,จ3-2(1)-4/46พล,1.0,ห้างหุ้นส่วนจำกัด โรงสีศรีคงเจริญ
17,จ3-2(1)-43/48พล,2.0,ศูนย์เมล็ดพันธุ์ข้าวพิษณุโลก
18,จ3-2(1)-43/60พล,1.0,ห้างหุ้นส่วนจำกัด บี.ที.เอส.อิมปอร์ต
19,จ3-2(1)-62/55พล,2.0,ห้างหุ้นส่วนจำกัด โชคสันติ
20,จ3-2(1)-64/55พล,2.0,บริษัท วิเศษพานิช ไซโล จำกัด
21,จ3-2(1)-7/56พล,1.0,นายเชาว์ ยาประเสริฐ
22,จ3-2(1)-7/57พล,2.0,นายเรวัฒ จินดารัตนวงศ์
23,จ3-2(1)-78/56พล,2.0,นางสาวสำเริง สีปาน
24,จ3-2(5)-1/45พล,1.0,นายธงชัย มนะเกษตรธาร
25,จ3-2(5)-10/51พล,0.5,นางพิมพ์ฉวี พัฒนพงษ์
26,จ3-2(5)-10/52พล,0.5,นางสาวปัญชลี โกเมศมุนีบริรักษ์
27,จ3-2(5)-10/56พล,0.5,นางสาวอำพร แก่นท่าตาล
28,จ3-2(5)-11/50พล,0.5,บริษัท เกษตรไพศาลธัญกิจ จำกัด
29,จ3-2(5)-13/52พล,0.5,นางพิพรพันธ์ ลิ้มตระกูล
30,จ3-2(5)-13/54พล,0.5,นายเกียรติศักดิ์ ลี้ชัยมงคล
31,จ3-2(5)-14/52พล,0.5,นายพิทักษ์พงษ์ เกียรติดำรงค์กุล
32,จ3-2(5)-14/57พล,0.5,นายก้องเกียรติ เหลืองเจษฎากุล
33,จ3-2(5)-15/58พล,0.5,นายคัชเชนร์ ประสาทชัย
34,จ3-2(5)-16/56พล,0.5,ห้างหุ้นส่วนจำกัด โชคอำนวยพร 2
35,จ3-2(5)-16/58พล,0.5,ห้างหุ้นส่วนจำกัด สีทองดี
36,จ3-2(5)-17/56พล,0.5,นายจงรัก เสนานุช
37,จ3-2(5)-17/57พล,0.5,นายกฎเกณฑ์ มูลขำ
38,จ3-2(5)-18/55พล,0.5,นายธีระพัตร์ ทองกร
39,จ3-2(5)-18/57พล,0.5,นายอนุชา น้อยวงศ์
40,จ3-2(5)-19/58พล,0.5,ห้างหุ้นส่วนจำกัด มุ่ย เฮง เฮง เฮง
41,จ3-2(5)-2/52พล,0.5,นายยงยุทธ เส็งพานิช
42,จ3-2(5)-2/58พล,0.5,ห้างหุ้นส่วนจำกัด พงษ์กิจพืชไร่
43,จ3-2(5)-21/55พล,0.5,นายบุญเริ่ม หอมอ่อน
44,จ3-2(5)-21/57พล,0.5,นางสาวตรีรัตน์ สังสีแก้ว
45,จ3-2(5)-3/50พล,0.5,นายอนุสรณ์ เกียรติยศไกรลาศ
46,จ3-2(5)-3/56พล,0.5,ห้างหุ้นส่วนจำกัด บี.ที.เอส.อิมปอร์ต
47,จ3-2(5)-30/55พล,0.5,นางมยุรี หอมอ่อน
48,จ3-2(5)-33/55พล,0.5,นายอิศรา ปานเกิด
49,จ3-2(5)-34/55พล,0.5,นางสาวทิพวรรณ เดชธาดา
50,จ3-2(5)-37/59พล,0.5,ห้างหุ้นส่วนจำกัด จุ้ยเจริญกิจ
51,จ3-2(5)-4/44พล,0.5,นางจุฬาพร หาญวัฒนาศิริ
52,จ3-2(5)-4/46พล,0.5,นางจุฑาทิพย์ ฟักคง
53,จ3-2(5)-4/52พล,0.5,บริษัท เกษตรไพศาลธัญกิจ จำกัด
54,จ3-2(5)-4/56พล,0.5,นางจีราภรณ์ มาดี
55,จ3-2(5)-40/49พล,0.5,นายเขียว ดีอินทร์
56,จ3-2(5)-47/55พล,0.5,บริษัท เกษตรไพศาลธัญกิจ จำกัด
57,จ3-2(5)-5/56พล,0.5,นายประจักร์ คำจำปา
58,จ3-2(5)-55/55พล,0.5,นายชัชวาลย์ วิเศษพานิช
59,จ3-2(5)-6/44พล,0.5,บริษัท ส.ธนวัฒน์พืชผล จำกัด
60,จ3-2(5)-6/46พล,0.5,นายบุญส่ง แตงอ่ำ
61,จ3-2(5)-6/54พล,0.5,นายประยูร ประสาทชัย
62,จ3-2(5)-6/55พล,0.5,นายสาธิต พิทยาเวชวิวัฒน์
63,จ3-2(5)-6/65พล,0.5,นางสาวธันย์ชนก ฟักคง
64,จ3-2(5)-7/52พล,0.5,นายพิทักษ์พงษ์ เกียรติดำรงค์กุล
65,จ3-2(5)-7/54พล,0.5,นางวันชัย ยศปัญญา
66,จ3-2(5)-7/61พล,0.5,นางสาวธันย์ชนก ฟักคง
67,จ3-2(5)-7/63พล,0.5,นางสาวธัญณภัสศ์ มีจันโท
68,จ3-2(9)-1/45พล,2.0,บริษัท สิงหวัฒน์เทรดดิ้ง จำกัด
69,จ3-2(9)-6/57พล,2.0,นายฤชัย แซ่ฉั่ว
70,ธ3-3(1)-1/40พล,2.0,บริษัท เจ.คอนสตรัคชั่น จำกัด
71,จ3-3(2)-1/65พล,0.5,นายแสวง ขอบใจ
72,จ3-3(2)-115/64พล,0.5,บริษัท ทรายชัยประเสริฐ จำกัด
73,จ3-3(2)-129/63พล,0.5,บริษัท เพิ่มพูน บารมี พิษณุโลก จำกัด
74,จ3-3(2)-145/64พล,0.5,นายอนุสรณ์ สีแพร
75,จ3-3(2)-148/64พล,0.5,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด
76,จ3-3(2)-185/61พล,0.5,บริษัท เพิ่มพูน บารมี จำกัด
77,จ3-3(2)-187/62พล,0.5,บริษัท เพิ่มพูน บารมี จำกัด
78,จ3-3(2)-190/63พล,0.5,นางสาวสายไหม มั่งมี
79,จ3-3(2)-191/63พล,0.5,นางสาวอัญชลี ขุนศรี
80,จ3-3(2)-211/58พล,0.5,นางปิ่นเพชร พูลสวัสดิ์
81,จ3-3(2)-211/64พล,0.5,บริษัท ธิติดา ทรานสปอร์ต จำกัด
82,จ3-3(2)-212/64พล,0.5,นางเฉลียว จันทร์เกษร
83,จ3-3(2)-268/59พล,0.5,นายมานัส พลอยครุฑ
84,จ3-3(2)-293/61พล,0.5,บริษัท เพิ่มพูน บารมี จำกัด
85,จ3-3(2)-34/64พล,0.5,นางสาวจิรนุช ขุนศรี
86,จ3-3(2)-70/63พล,0.5,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา
87,จ3-3(2)-81/56พล,0.5,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด
88,จ3-3(2)-82/64พล,0.5,นายเสกสรรค์ เกตุนาค
89,จ3-3(4)-1/40พล,0.5,นายมานัส พลอยครุฑ
