dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,-,1,text,year
2,ภาค,-,2,text,region
3,เพศ,-,3,text,sex
4,ค่าข้อมูล,-,4,numeric,value
5,หน่วยนับ,-,5,text,unit
6,ที่มาระดับกรม,-,6,text,source
