ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
,1,2564,เมืองร้อยเอ็ด,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
760,2,2564,เกษตรวิสัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,3,2564,ปทุมรัตต์,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
39,4,2564,จตุรพักตรพิมาน,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,5,2564,ธวัชบุรี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
74,6,2564,พนมไพร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
6992.5,7,2564,โพนทอง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,8,2564,โพธิ์ชัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
33094,9,2564,หนองพอก,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,10,2564,เสลภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,11,2564,สุวรรณภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,12,2564,เมืองสรวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,13,2564,โพนทราย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,14,2564,อาจสามารถ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
5874,15,2564,เมยวดี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,16,2564,ศรีสมเด็จ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,17,2564,จังหาร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,18,2564,เชียงขวัญ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,19,2564,หนองฮี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,20,2564,ทุ่งเขาหลวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,21,2565,เมืองร้อยเอ็ด,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
250,22,2565,เกษตรวิสัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,23,2565,ปทุมรัตต์,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
3,24,2565,จตุรพักตรพิมาน,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,25,2565,ธวัชบุรี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,26,2565,พนมไพร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
6606,27,2565,โพนทอง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
19289,28,2565,โพธิ์ชัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
30008,29,2565,หนองพอก,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,30,2565,เสลภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,31,2565,สุวรรณภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,32,2565,เมืองสรวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,33,2565,โพนทราย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,34,2565,อาจสามารถ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
2870,35,2565,เมยวดี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,36,2565,ศรีสมเด็จ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,37,2565,จังหาร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,38,2565,เชียงขวัญ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,39,2565,หนองฮี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,40,2565,ทุ่งเขาหลวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,41,2566,เมืองร้อยเอ็ด,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
744,42,2566,เกษตรวิสัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,43,2566,ปทุมรัตต์,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
30,44,2566,จตุรพักตรพิมาน,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
134,45,2566,ธวัชบุรี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,46,2566,พนมไพร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
9764,47,2566,โพนทอง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
12076,48,2566,โพธิ์ชัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
30008,49,2566,หนองพอก,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,50,2566,เสลภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,51,2566,สุวรรณภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,52,2566,เมืองสรวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,53,2566,โพนทราย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,54,2566,อาจสามารถ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
2844,55,2566,เมยวดี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,56,2566,ศรีสมเด็จ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,57,2566,จังหาร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,58,2566,เชียงขวัญ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,59,2566,หนองฮี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,60,2566,ทุ่งเขาหลวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,61,2567,เมืองร้อยเอ็ด,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
684,62,2567,เกษตรวิสัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
192.75,63,2567,ปทุมรัตต์,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
300,64,2567,จตุรพักตรพิมาน,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
149,65,2567,ธวัชบุรี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,66,2567,พนมไพร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
12523,67,2567,โพนทอง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
11682,68,2567,โพธิ์ชัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
30008,69,2567,หนองพอก,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
