_id,ปี,ช่วงเกิดภัย,ชนิดพืช,พื้นที่เสียหาย,จำนวนเกษตรกร,หน่วยราย,ประเภทภัย,วงเงินช่วยเหลือ,หน่วยไร่,อำเภอ,หน่วยบาท
1,2561,1-ก.ค.-61,ข้าว,78,3,ราย,ฝนทิ้งช่วง,"86,814.00",ไร่,ทัพทัน,บาท
2,2561,1-ก.ค.-61,ข้าว,0,0,ราย,ฝนทิ้งช่วง,0,ไร่,ลานสัก,บาท
3,2561,1-ก.ค.-61,ข้าว,"5,210.00",263,ราย,ฝนทิ้งช่วง,"5,798,730.00",ไร่,สว่างอารมณ์,บาท
4,2561,15-ก.ย.-61,ข้าว,"2,692.00",152,ราย,ฝนแล้ง,"2,996,196.00",ไร่,สว่างอารมณ์,บาท
5,2562,15-ก.ค.-62,ข้าว,"48,039.25","3,061",ราย,ฝนแล้ง,"53,467,685.25",ไร่,ทัพทัน,บาท
6,2562,15-ก.ค.-62,ข้าว,16.75,10,ราย,ฝนแล้ง,"18,642.75",ไร่,บ้านไร่,บาท
7,2562,15-ก.ค.-62,ข้าว,954.25,73,ราย,ฝนแล้ง,"1,062,080.25",ไร่,เมือง,บาท
8,2562,15-ก.ค.-62,ข้าว,395,31,ราย,ฝนแล้ง,"439,635.00",ไร่,ลานสัก,บาท
9,2562,15-ก.ค.-62,ข้าว,"28,354.00","1,635",ราย,ฝนแล้ง,"31,558,002.00",ไร่,สว่างอารมณ์,บาท
10,2562,15-ก.ค.-62,ข้าว,"7,579.00",508,ราย,ฝนแล้ง,"8,435,427.00",ไร่,หนองขาหย่าง,บาท
11,2562,15-ก.ค.-62,ข้าว,"35,041.00",2,ราย,ฝนแล้ง,"39,000,633.00",ไร่,หนองฉาง,บาท
12,2562,15-ก.ค.-62,ข้าว,10,2,ราย,ฝนแล้ง,"11,130.00",ไร่,ห้วยคต,บาท
13,2562,25-ต.ค.-62,ข้าว,"13,878.75","1,000",ราย,ภัยแล้ง,"15,447,048.75",ไร่,ทัพทัน,บาท
14,2562,25-ต.ค.-62,ข้าว,74.75,12,ราย,ภัยแล้ง,"83,196.75",ไร่,บ้านไร่,บาท
15,2562,25-ต.ค.-62,ข้าว,"8,233.00",551,ราย,ภัยแล้ง,"9,163,329.00",ไร่,เมือง,บาท
16,2562,25-ต.ค.-62,ข้าว,"3,007.00",288,ราย,ภัยแล้ง,"3,346,791.00",ไร่,ลานสัก,บาท
17,2562,25-ต.ค.-62,ข้าว,"17,580.00","1,062",ราย,ภัยแล้ง,"19,566,540.00",ไร่,สว่างอารมณ์,บาท
18,2562,25-ต.ค.-62,ข้าว,"4,539.50",332,ราย,ภัยแล้ง,"5,052,463.50",ไร่,หนองขาหย่าง,บาท
19,2562,25-ต.ค.-62,ข้าว,"7,193.25",515,ราย,ภัยแล้ง,"8,006,087.25",ไร่,หนองฉาง,บาท
20,2562,25-ต.ค.-62,ข้าว,367,70,ราย,ภัยแล้ง,"408,471.00",ไร่,ห้วยคต,บาท
21,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าว,"54,326.50","4,113",ราย,ฝนแล้ง,"60,465,394.50",ไร่,ทัพทัน,บาท
22,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าว,"53,207.00","3,031",ราย,ฝนแล้ง,"59,219,391.00",ไร่,สว่างอารมณ์,บาท
23,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าว,"15,517.75","1,221",ราย,ฝนแล้ง,"17,271,255.75",ไร่,หนองฉาง,บาท
24,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าว,"3,968.50",341,ราย,ฝนแล้ง,"4,416,940.50",ไร่,หนองขาหย่าง,บาท
25,2566, 22 พ.ค. - 1 ก.ย. 2566,ข้าว,"1,448.50",144,ราย,ฝนแล้ง,"1,940,990.00",ไร่,ทัพทัน,บาท
26,2566, 22 พ.ค. - 1 ก.ย. 2566,ข้าว,"48,002.00","2,376",ราย,ฝนแล้ง,"64,322,680.00",ไร่,สว่างอารมณ์,บาท
27,2566, 22 พ.ค. - 1 ก.ย. 2566,ข้าว,15,1,ราย,ฝนแล้ง,"20,100.00",ไร่,ลานสัก,บาท
28,2567,3 ก.ย.66 - 15 มี.ค.67,ข้าว,"41,836.00","4,098",ราย,ฝนแล้ง,"56,060,240.00",ไร่,ทัพทัน,บาท
29,2561,1-ก.ค.-61,ข้าวโพดเลี้ยงสัตว์,24,3,ราย,ฝนทิ้งช่วง,"27,552.00",ไร่,ทัพทัน,บาท
30,2561,1-ก.ค.-61,ข้าวโพดเลี้ยงสัตว์,71.75,10,ราย,ฝนทิ้งช่วง,"82,369.00",ไร่,ลานสัก,บาท
31,2561,1-ก.ค.-61,ข้าวโพดเลี้ยงสัตว์,144,12,ราย,ฝนทิ้งช่วง,"165,312.00",ไร่,สว่างอารมณ์,บาท
32,2561,15-ก.ย.-61,ข้าวโพดเลี้ยงสัตว์,"1,960.00",139,ราย,ฝนแล้ง,"2,250,080.00",ไร่,สว่างอารมณ์,บาท
33,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,619.5,72,ราย,ฝนแล้ง,"711,186.00",ไร่,ทัพทัน,บาท
34,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,978.5,121,ราย,ฝนแล้ง,"1,123,318.00",ไร่,บ้านไร่,บาท
35,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,0,0,ราย,ฝนแล้ง,0,ไร่,เมือง,บาท
36,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,"3,520.50",390,ราย,ฝนแล้ง,"4,041,534.00",ไร่,ลานสัก,บาท
37,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,"2,063.00",207,ราย,ฝนแล้ง,"2,368,324.00",ไร่,สว่างอารมณ์,บาท
38,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,27,3,ราย,ฝนแล้ง,"30,996.00",ไร่,หนองขาหย่าง,บาท
39,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,888.25,87,ราย,ฝนแล้ง,"1,019,711.00",ไร่,หนองฉาง,บาท
40,2562,15-ก.ค.-62,ข้าวโพดเลี้ยงสัตว์,80.75,10,ราย,ฝนแล้ง,"92,701.00",ไร่,ห้วยคต,บาท
41,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,"3,016.75",227,ราย,ภัยแล้ง,"3,463,229.00",ไร่,ทัพทัน,บาท
42,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,351,28,ราย,ภัยแล้ง,"402,948.00",ไร่,บ้านไร่,บาท
43,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,0,0,ราย,ภัยแล้ง,0,ไร่,เมือง,บาท
44,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,"6,673.50",688,ราย,ภัยแล้ง,"7,661,178.00",ไร่,ลานสัก,บาท
45,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,0,0,ราย,ภัยแล้ง,0,ไร่,สว่างอารมณ์,บาท
46,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,0,0,ราย,ภัยแล้ง,0,ไร่,หนองขาหย่าง,บาท
47,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,0,0,ราย,ภัยแล้ง,0,ไร่,หนองฉาง,บาท
48,2562,25-ต.ค.-62,ข้าวโพดเลี้ยงสัตว์,0,0,ราย,ภัยแล้ง,0,ไร่,ห้วยคต,บาท
49,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าวโพดเลี้ยงสัตว์,"9,309.50",665,ราย,ฝนแล้ง,"10,687,306.00",ไร่,ทัพทัน,บาท
50,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าวโพดเลี้ยงสัตว์,"13,924.00",802,ราย,ฝนแล้ง,"15,984,752.00",ไร่,สว่างอารมณ์,บาท
51,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าวโพดเลี้ยงสัตว์,"1,296.00",123,ราย,ฝนแล้ง,"1,487,808.00",ไร่,หนองฉาง,บาท
