ชนิดพืช,_id,ปี,ค่า,รายการ
ข้าวนาปี,1,2562,237911,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปรัง,2,2562,174177,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มะพร้าวน้ำหอม,3,2562,9850,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
สับปะรด,4,2562,43592,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มันสำปะหลัง,5,2562,82012,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปี,6,2563,239377,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปรัง,7,2563,174540,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มะพร้าวน้ำหอม,8,2563,9918,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
สับปะรด,9,2563,38507,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มันสำปะหลัง,10,2563,84132,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปี,11,2564,240567,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปรัง,12,2564,75740,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มะพร้าวน้ำหอม,13,2564,10092,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
สับปะรด,14,2564,40378,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มันสำปะหลัง,15,2564,87022,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปี,16,2565,232831,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปรัง,17,2565,75740,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มะพร้าวน้ำหอม,18,2565,88510,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
สับปะรด,19,2565,109879,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มันสำปะหลัง,20,2565,87022,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปี,21,2566,223532,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
ข้าวนาปรัง,22,2566,152336,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มะพร้าวน้ำหอม,23,2566,110491,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
สับปะรด,24,2566,10255,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
มันสำปะหลัง,25,2566,90555,เนื้อที่เพาะปลูกผลผลิตทางการเกษตรที่สำคัญ
