VALUE,SOURCE,_id,INDUSTRY,SEX,UNIT,REGION,YEAR
0,สำนักงานสถิติแห่งชาติ,1,01) ภาคเกษตรกรรม,1. ชาย,บาท,1) กรุงเทพมหานคร,2564
20968,สำนักงานสถิติแห่งชาติ,2,02) ภาคการผลิต,1. ชาย,บาท,1) กรุงเทพมหานคร,2564
20814,สำนักงานสถิติแห่งชาติ,3,03) ภาคการบริการและการค้า,1. ชาย,บาท,1) กรุงเทพมหานคร,2564
20864,สำนักงานสถิติแห่งชาติ,4,รวม,1. ชาย,บาท,1) กรุงเทพมหานคร,2564
15000,สำนักงานสถิติแห่งชาติ,5,01) ภาคเกษตรกรรม,2. หญิง,บาท,1) กรุงเทพมหานคร,2564
14235,สำนักงานสถิติแห่งชาติ,6,02) ภาคการผลิต,2. หญิง,บาท,1) กรุงเทพมหานคร,2564
14307,สำนักงานสถิติแห่งชาติ,7,03) ภาคการบริการและการค้า,2. หญิง,บาท,1) กรุงเทพมหานคร,2564
14307,สำนักงานสถิติแห่งชาติ,8,รวม,2. หญิง,บาท,1) กรุงเทพมหานคร,2564
15000,สำนักงานสถิติแห่งชาติ,9,01) ภาคเกษตรกรรม,รวม,บาท,1) กรุงเทพมหานคร,2564
18874,สำนักงานสถิติแห่งชาติ,10,02) ภาคการผลิต,รวม,บาท,1) กรุงเทพมหานคร,2564
17168,สำนักงานสถิติแห่งชาติ,11,03) ภาคการบริการและการค้า,รวม,บาท,1) กรุงเทพมหานคร,2564
17547,สำนักงานสถิติแห่งชาติ,12,รวม,รวม,บาท,1) กรุงเทพมหานคร,2564
6258,สำนักงานสถิติแห่งชาติ,13,01) ภาคเกษตรกรรม,1. ชาย,บาท,2) ภาคกลาง,2564
13744,สำนักงานสถิติแห่งชาติ,14,02) ภาคการผลิต,1. ชาย,บาท,2) ภาคกลาง,2564
14489,สำนักงานสถิติแห่งชาติ,15,03) ภาคการบริการและการค้า,1. ชาย,บาท,2) ภาคกลาง,2564
12830,สำนักงานสถิติแห่งชาติ,16,รวม,1. ชาย,บาท,2) ภาคกลาง,2564
4707,สำนักงานสถิติแห่งชาติ,17,01) ภาคเกษตรกรรม,2. หญิง,บาท,2) ภาคกลาง,2564
8365,สำนักงานสถิติแห่งชาติ,18,02) ภาคการผลิต,2. หญิง,บาท,2) ภาคกลาง,2564
13165,สำนักงานสถิติแห่งชาติ,19,03) ภาคการบริการและการค้า,2. หญิง,บาท,2) ภาคกลาง,2564
10607,สำนักงานสถิติแห่งชาติ,20,รวม,2. หญิง,บาท,2) ภาคกลาง,2564
5621,สำนักงานสถิติแห่งชาติ,21,01) ภาคเกษตรกรรม,รวม,บาท,2) ภาคกลาง,2564
11975,สำนักงานสถิติแห่งชาติ,22,02) ภาคการผลิต,รวม,บาท,2) ภาคกลาง,2564
