ที่มา,สระโบสถ์,เมืองลพบุรี,ท่าหลวง,ชัยบาดาล,_id,ปี,ลำดับ,หน่วย,บ้านหมี่,ลำสนธิ,พัฒนานิคม,โคกเจริญ,โคกสำโรง,หนองม่วง,ท่าวุ้ง
สำนักงานเกษตรจังหวัดลพบุรี,895,200,1023,2596,1,2564,1,ครัวเรือน,508,1229,985,1161,764,1312,
สำนักงานเกษตรจังหวัดลพบุรี,904,257,1056,2655,2,2565,2,ครัวเรือน,517,1229,985,1316,783,1312,
สำนักงานเกษตรจังหวัดลพบุรี,780,285,1155,2707,3,2566,3,ครัวเรือน,513,1229,841,1679,705,1312,
สำนักงานเกษตรจังหวัดลพบุรี,780,379,1398,2345,4,2567,4,ครัวเรือน,425,1533,1386,1281,952,1652,
,,,,,5,,,,,,,,,,
,,,,,6,,,,,,,,,,
,,,,,7,,,,,,,,,,
,,,,,8,,,,,,,,,,
,,,,,9,,,,,,,,,,
,,,,,10,,,,,,,,,,
,,,,,11,,,,,,,,,,
,,,,,12,,,,,,,,,,
,,,,,13,,,,,,,,,,
,,,,,14,,,,,,,,,,
,,,,,15,,,,,,,,,,
,,,,,16,,,,,,,,,,
,,,,,17,,,,,,,,,,
,,,,,18,,,,,,,,,,
,,,,,19,,,,,,,,,,
,,,,,20,,,,,,,,,,
,,,,,21,,,,,,,,,,
,,,,,22,,,,,,,,,,
,,,,,23,,,,,,,,,,
