จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"77,732,100.00",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2562,1,บาท
"80,383,207.00",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2563,2,บาท
"77,439,426.00",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2564,3,บาท
"73,212,128.50",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,บาท
"72,280,556.00",สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,บาท
"61,655,066.00",สำนักงานประกันสังคมจังหวัดลพบุรี,6,2567,6,บาท
"48,377,244.00",สำนักงานประกันสังคมจังหวัดลพบุรี,7,2568,7,บาท
