ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2562,1,"20,201",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2563,2,"33,951",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2564,3,"32,604",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,"22,456",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,"22,149",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,6,2567,6,"17,971",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,7,2568,7,"17,040",ราย
