จำนวน,_id,ปี,เพศ,จังหวัด,อุตสาหกรรม,ประเภทแรงงาน,หน่วย
6142,53,2561,หญิง,สมุทรปราการ,การก่อสร้าง,แรงงานนอกระบบ,คน
60709,54,2561,หญิง,สมุทรปราการ,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
2004,55,2561,หญิง,สมุทรปราการ,การขนส่ง,แรงงานนอกระบบ,คน
30545,56,2561,หญิง,สมุทรปราการ,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
285,57,2561,หญิง,สมุทรปราการ,อสังหาริมทรัพย์,แรงงานนอกระบบ,คน
2391,58,2561,หญิง,สมุทรปราการ,การศึกษา,แรงงานนอกระบบ,คน
2016,59,2561,หญิง,สมุทรปราการ,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานนอกระบบ,คน
3853,60,2561,หญิง,สมุทรปราการ,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
5058,61,2561,หญิง,สมุทรปราการ,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
1750,62,2561,ชาย,นนทบุรี,เกษตรกรรม,แรงงานในระบบ,คน
86929,63,2561,ชาย,นนทบุรี,การผลิต,แรงงานในระบบ,คน
4565,64,2561,ชาย,นนทบุรี,ไฟฟ้าก๊าซและประปา,แรงงานในระบบ,คน
1567,65,2561,ชาย,นนทบุรี,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานในระบบ,คน
34534,66,2561,ชาย,นนทบุรี,การก่อสร้าง,แรงงานในระบบ,คน
60746,67,2561,ชาย,นนทบุรี,การขายส่งการขายปลีก,แรงงานในระบบ,คน
18781,68,2561,ชาย,นนทบุรี,การขนส่ง,แรงงานในระบบ,คน
9701,69,2561,ชาย,นนทบุรี,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
9995,70,2561,ชาย,นนทบุรี,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
23878,71,2561,ชาย,นนทบุรี,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
5594,72,2561,ชาย,นนทบุรี,อสังหาริมทรัพย์,แรงงานในระบบ,คน
6806,73,2561,ชาย,นนทบุรี,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
12382,74,2561,ชาย,นนทบุรี,กิจกรรมการบริหาร,แรงงานในระบบ,คน
39283,75,2561,ชาย,นนทบุรี,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
9122,76,2561,ชาย,นนทบุรี,การศึกษา,แรงงานในระบบ,คน
6889,77,2561,ชาย,นนทบุรี,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
1856,78,2561,ชาย,นนทบุรี,ศิลปะบันเทิง,แรงงานในระบบ,คน
4537,79,2561,ชาย,นนทบุรี,กิจกรรมบริการอื่นๆ,แรงงานในระบบ,คน
2742,80,2561,ชาย,นนทบุรี,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานในระบบ,คน
957,81,2561,ชาย,นนทบุรี,องค์การระหว่างประเทศ,แรงงานในระบบ,คน
4346,82,2561,ชาย,นนทบุรี,ไม่ทราบ,แรงงานในระบบ,คน
1585,83,2561,หญิง,นนทบุรี,เกษตรกรรม,แรงงานในระบบ,คน
367,84,2561,หญิง,นนทบุรี,เหมืองแร่เหมืองหิน,แรงงานในระบบ,คน
64593,85,2561,หญิง,นนทบุรี,การผลิต,แรงงานในระบบ,คน
2104,86,2561,หญิง,นนทบุรี,ไฟฟ้าก๊าซและประปา,แรงงานในระบบ,คน
8033,87,2561,หญิง,นนทบุรี,การก่อสร้าง,แรงงานในระบบ,คน
55850,88,2561,หญิง,นนทบุรี,การขายส่งการขายปลีก,แรงงานในระบบ,คน
8621,89,2561,หญิง,นนทบุรี,การขนส่ง,แรงงานในระบบ,คน
22212,90,2561,หญิง,นนทบุรี,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
6460,91,2561,หญิง,นนทบุรี,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
25006,92,2561,หญิง,นนทบุรี,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
6097,93,2561,หญิง,นนทบุรี,อสังหาริมทรัพย์,แรงงานในระบบ,คน
12087,94,2561,หญิง,นนทบุรี,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
11274,95,2561,หญิง,นนทบุรี,กิจกรรมการบริหาร,แรงงานในระบบ,คน
28271,96,2561,หญิง,นนทบุรี,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
26539,97,2561,หญิง,นนทบุรี,การศึกษา,แรงงานในระบบ,คน
16903,98,2561,หญิง,นนทบุรี,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
1325,99,2561,หญิง,นนทบุรี,ศิลปะบันเทิง,แรงงานในระบบ,คน
9531,100,2561,หญิง,นนทบุรี,กิจกรรมบริการอื่นๆ,แรงงานในระบบ,คน
5153,101,2561,หญิง,นนทบุรี,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานในระบบ,คน
3630,102,2561,หญิง,นนทบุรี,ไม่ทราบ,แรงงานในระบบ,คน
8114,103,2561,ชาย,นนทบุรี,เกษตรกรรม,แรงงานนอกระบบ,คน
5992,104,2561,ชาย,นนทบุรี,การผลิต,แรงงานนอกระบบ,คน
18432,105,2561,ชาย,นนทบุรี,การก่อสร้าง,แรงงานนอกระบบ,คน
45565,106,2561,ชาย,นนทบุรี,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
41008,107,2561,ชาย,นนทบุรี,การขนส่ง,แรงงานนอกระบบ,คน
19619,108,2561,ชาย,นนทบุรี,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
719,109,2561,ชาย,นนทบุรี,อสังหาริมทรัพย์,แรงงานนอกระบบ,คน
4127,110,2561,ชาย,นนทบุรี,กิจกรรมทางวิชาชีพ,แรงงานนอกระบบ,คน
2797,111,2561,ชาย,นนทบุรี,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
10974,112,2561,ชาย,นนทบุรี,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
4605,113,2561,หญิง,นนทบุรี,เกษตรกรรม,แรงงานนอกระบบ,คน
11174,114,2561,หญิง,นนทบุรี,การผลิต,แรงงานนอกระบบ,คน
1868,115,2561,หญิง,นนทบุรี,การก่อสร้าง,แรงงานนอกระบบ,คน
43478,116,2561,หญิง,นนทบุรี,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
830,117,2561,หญิง,นนทบุรี,การขนส่ง,แรงงานนอกระบบ,คน
35059,118,2561,หญิง,นนทบุรี,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
397,119,2561,หญิง,นนทบุรี,กิจกรรมด้านการเงิน,แรงงานนอกระบบ,คน
1147,120,2561,หญิง,นนทบุรี,อสังหาริมทรัพย์,แรงงานนอกระบบ,คน
2101,121,2561,หญิง,นนทบุรี,กิจกรรมทางวิชาชีพ,แรงงานนอกระบบ,คน
1535,122,2561,หญิง,นนทบุรี,การศึกษา,แรงงานนอกระบบ,คน
1326,123,2561,หญิง,นนทบุรี,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
12509,124,2561,หญิง,นนทบุรี,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
961,125,2561,ชาย,ปทุมธานี,เหมืองแร่เหมืองหิน,แรงงานในระบบ,คน
132693,126,2561,ชาย,ปทุมธานี,การผลิต,แรงงานในระบบ,คน
1209,127,2561,ชาย,ปทุมธานี,ไฟฟ้าก๊าซและประปา,แรงงานในระบบ,คน
2022,128,2561,ชาย,ปทุมธานี,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานในระบบ,คน
26072,129,2561,ชาย,ปทุมธานี,การก่อสร้าง,แรงงานในระบบ,คน
54420,130,2561,ชาย,ปทุมธานี,การขายส่งการขายปลีก,แรงงานในระบบ,คน
27555,131,2561,ชาย,ปทุมธานี,การขนส่ง,แรงงานในระบบ,คน
9250,132,2561,ชาย,ปทุมธานี,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
1989,133,2561,ชาย,ปทุมธานี,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
3787,134,2561,ชาย,ปทุมธานี,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
390,135,2561,ชาย,ปทุมธานี,อสังหาริมทรัพย์,แรงงานในระบบ,คน
8153,136,2561,ชาย,ปทุมธานี,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
9874,137,2561,ชาย,ปทุมธานี,กิจกรรมการบริหาร,แรงงานในระบบ,คน
17260,138,2561,ชาย,ปทุมธานี,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
5628,139,2561,ชาย,ปทุมธานี,การศึกษา,แรงงานในระบบ,คน
978,140,2561,ชาย,ปทุมธานี,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
1632,141,2561,ชาย,ปทุมธานี,ศิลปะบันเทิง,แรงงานในระบบ,คน
5179,142,2561,ชาย,ปทุมธานี,กิจกรรมบริการอื่นๆ,แรงงานในระบบ,คน
1412,143,2561,ชาย,ปทุมธานี,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานในระบบ,คน
