ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2562,1,"32,913",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2563,2,"45,028",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2564,3,"61,881",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,"77,921",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,"92,837",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,6,2567,6,"123,814",ราย
