จำนวน(ครั้ง),สาเหตุอุบัติเหตุ,_id,ปี
0,จากลักษณะการชน,1,2562
5,จากอุปกรณ์ที่ชำรุด,2,2562
0,จากสภาพแวดล้อม,3,2562
167,จากสัญญาณไฟจราจร/ป้ายบอกทาง,4,2562
460,ขับรถเร็วเกินกว่ากฎหมายกำหนด,5,2562
295,ขับรถตัดหน้าระยะกระชั้นชิด,6,2562
38,ขับรถหลับใน,7,2562
34,เมาสุรา,8,2562
196,อื่น ๆ,9,2562
0,จากลักษณะการชน,10,2563
5,จากอุปกรณ์ที่ชำรุด,11,2563
0,จากสภาพแวดล้อม,12,2563
142,จากสัญญาณไฟจราจร/ป้ายบอกทาง,13,2563
368,ขับรถเร็วเกินกว่ากฎหมายกำหนด,14,2563
291,ขับรถตัดหน้าระยะกระชั้นชิด,15,2563
37,ขับรถหลับใน,16,2563
139,เมาสุรา,17,2563
309,อื่น ๆ,18,2563
837,จากลักษณะการชน,19,2564
22,จากอุปกรณ์ที่ชำรุด,20,2564
55,จากสภาพแวดล้อม,21,2564
130,จากสัญญาณไฟจราจร/ป้ายบอกทาง,22,2564
32,ขับรถเร็วเกินกว่ากฎหมายกำหนด,23,2564
348,ขับรถตัดหน้าระยะกระชั้นชิด,24,2564
17,ขับรถหลับใน,25,2564
5,เมาสุรา,26,2564
120,อื่น ๆ,27,2564
467,จากลักษณะการชน,28,2565
12,จากอุปกรณ์ที่ชำรุด,29,2565
24,จากสภาพแวดล้อม,30,2565
39,จากสัญญาณไฟจราจร/ป้ายบอกทาง,31,2565
36,ขับรถเร็วเกินกว่ากฎหมายกำหนด,32,2565
176,ขับรถตัดหน้าระยะกระชั้นชิด,33,2565
12,ขับรถหลับใน,34,2565
7,เมาสุรา,35,2565
98,อื่น ๆ,36,2565
510,จากลักษณะการชน,37,2566
18,จากอุปกรณ์ที่ชำรุด,38,2566
21,จากสภาพแวดล้อม,39,2566
25,จากสัญญาณไฟจราจร/ป้ายบอกทาง,40,2566
39,ขับรถเร็วเกินกว่ากฎหมายกำหนด,41,2566
358,ขับรถตัดหน้าระยะกระชั้นชิด,42,2566
15,ขับรถหลับใน,43,2566
12,เมาสุรา,44,2566
145,อื่น ๆ,45,2566
