เดือน,จำนวน,ที่มา,_id,ปี,หน่วย,รายการ,จังหวัด,ประเภทกิจการ
มกราคม,"186,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,1,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายปลีก ขายส่ง
มกราคม,"1,132,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,2,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายส่งไม้แปรรูป
มกราคม,"1,192,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,3,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายวัสดุก่อสร้าง
มกราคม,"672,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,4,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถยนต์และอุปกรณ์
มกราคม,"435,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,5,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถจักรยานยนต์
มกราคม,"75,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,6,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายเครื่องมือ เครื่องใช้
มกราคม,"86,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,7,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายทอง
มกราคม,"4,731,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,8,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,รับเหมาก่อสร้าง
มกราคม,"114,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,9,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงแรมท่องเที่ยว
มกราคม,"16,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,10,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,กิจการร้านถ่ายรูป
มกราคม,"438,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,11,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,สถานบริการน้ำมัน
มกราคม,"118,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,12,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ซ่อมรถจักรยานยนต์
มกราคม,"178,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,13,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,เหมืองหิน
มกราคม,"109,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,14,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงเลื่อย
มกราคม,"12,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,15,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงงานผลิตขนมปัง
มกราคม,"200,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,16,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงผลิตน้ำแข็ง
มกราคม,"298,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,17,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ผลิตคอนกรีต
กุมภาพันธ์,"230,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,18,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายปลีก ขายส่ง
กุมภาพันธ์,"1,012,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,19,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายส่งไม้แปรรูป
กุมภาพันธ์,"1,283,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,20,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายวัสดุก่อสร้าง
กุมภาพันธ์,"238,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,21,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถยนต์และอุปกรณ์
กุมภาพันธ์,"1,068,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,22,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถจักรยานยนต์
กุมภาพันธ์,"103,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,23,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายเครื่องมือ เครื่องใช้
กุมภาพันธ์,"112,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,24,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายทอง
กุมภาพันธ์,"4,258,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,25,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,รับเหมาก่อสร้าง
กุมภาพันธ์,"227,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,26,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงแรมท่องเที่ยว
กุมภาพันธ์,"16,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,27,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,กิจการร้านถ่ายรูป
กุมภาพันธ์,"450,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,28,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,สถานบริการน้ำมัน
กุมภาพันธ์,"139,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,29,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ซ่อมรถจักรยานยนต์
กุมภาพันธ์,"305,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,30,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,เหมืองหิน
กุมภาพันธ์,"148,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,31,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงเลื่อย
กุมภาพันธ์,"6,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,32,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงงานผลิตขนมปัง
กุมภาพันธ์,"164,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,33,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงผลิตน้ำแข็ง
กุมภาพันธ์,"230,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,34,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ผลิตคอนกรีต
มีนาคม,"212,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,35,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายปลีก ขายส่ง
มีนาคม,"1,713,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,36,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายส่งไม้แปรรูป
มีนาคม,"1,478,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,37,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายวัสดุก่อสร้าง
มีนาคม,"90,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,38,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถยนต์และอุปกรณ์
มีนาคม,"1,178,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,39,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถจักรยานยนต์
มีนาคม,"49,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,40,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายเครื่องมือ เครื่องใช้
มีนาคม,"104,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,41,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายทอง
มีนาคม,"4,748,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,42,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,รับเหมาก่อสร้าง
มีนาคม,"202,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,43,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงแรมท่องเที่ยว
มีนาคม,"17,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,44,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,กิจการร้านถ่ายรูป
มีนาคม,"419,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,45,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,สถานบริการน้ำมัน
มีนาคม,"154,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,46,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ซ่อมรถจักรยานยนต์
มีนาคม,"425,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,47,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,เหมืองหิน
มีนาคม,"144,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,48,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงเลื่อย
มีนาคม,"17,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,49,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงงานผลิตขนมปัง
มีนาคม,"195,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,50,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงผลิตน้ำแข็ง
มีนาคม,"218,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,51,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ผลิตคอนกรีต
เมษายน,"186,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,52,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายปลีก ขายส่ง
เมษายน,"477,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,53,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายส่งไม้แปรรูป
เมษายน,"1,350,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,54,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายวัสดุก่อสร้าง
เมษายน,"405,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,55,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถยนต์และอุปกรณ์
เมษายน,"345,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,56,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายรถจักรยานยนต์
เมษายน,"68,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,57,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายเครื่องมือ เครื่องใช้
เมษายน,"138,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,58,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ขายทอง
เมษายน,"5,612,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,59,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,รับเหมาก่อสร้าง
เมษายน,"179,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,60,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงแรมท่องเที่ยว
เมษายน,"19,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,61,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,กิจการร้านถ่ายรูป
เมษายน,"482,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,62,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,สถานบริการน้ำมัน
เมษายน,"149,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,63,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,ซ่อมรถจักรยานยนต์
เมษายน,"797,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,64,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,เหมืองหิน
เมษายน,"145,000.00",สำนักงานสรรพากรพื้นที่จังหวัดนราธิวาส,65,2567,บาท,ภาษีมูลค่าเพิ่ม,นราธิวาส,โรงเลื่อย
