ที่มา,_id,ปี,ข้อมูล,อำเภอ,รายการข้อมูล,หน่วย
สำนักงานเกษตรจังหวัดอุบลราชธานี,37,2563,"360,514",พิบูลมังสาหาร,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,38,2563,"295,868",ม่วงสามสิบ,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,39,2563,"174,162",วารินชำราบ,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,40,2563,"132,330",กุดข้าวปุ้น,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,41,2563,"134,770",นาจะหลวย,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,42,2563,"110,683",ตาลสุม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,43,2563,"97,555",โพธิ์ไทร,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,44,2563,"195,355",สำโรง,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,45,2563,"62,286",ดอนมดแดง,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,46,2563,"55,465",สิรินธร,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,47,2563,"81,639",ทุ่งศรีอุดม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,48,2563,"79,093",นาเยีย,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,49,2563,"73,481",เหล่าเสือโก้ก,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,50,2563,"84,107",นาตาล,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,51,2563,"44,985",สว่างวีระวงศ์,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,52,2563,"55,245",น้ำขุ่น,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,53,2563,"1,428,830",รวม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,54,2563,"40,712",เมืองอุบลราชธานี,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,55,2563,"60,970",เขมราฐ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,56,2563,"95,411",เขื่องใน,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,57,2563,"67,869",ศรีเมืองใหม่,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,58,2563,"173,574",เดชอุดม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,59,2563,"126,900",ตระการพืชผล,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,60,2563,"35,269",น้ำยืน,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,61,2563,"23,397",โขงเจียม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,62,2563,"86,742",บุณฑริก,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,63,2563,"133,390",พิบูลมังสาหาร,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,64,2563,"107,992",ม่วงสามสิบ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,65,2563,"59,912",วารินชำราบ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,66,2563,"46,051",กุดข้าวปุ้น,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,67,2563,"49,461",นาจะหลวย,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,68,2563,"37,854",ตาลสุม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,69,2563,"32,681",โพธิ์ไทร,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,70,2563,"69,156",สำโรง,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,71,2563,"23,233",ดอนมดแดง,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,72,2563,"17,693",สิรินธร,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,73,2563,"26,778",ทุ่งศรีอุดม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,74,2563,"26,575",นาเยีย,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,75,2563,"23,881",เหล่าเสือโก้ก,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,76,2563,"28,512",นาตาล,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,77,2563,"15,205",สว่างวีระวงศ์,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,78,2563,"19,612",น้ำขุ่น,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,79,2564,"4,086,172",รวม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,80,2564,"118,948",เมืองอุบลราชธานี,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,81,2564,"183,373",เขมราฐ,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,82,2564,"265,844",เขื่องใน,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,83,2564,"213,499",ศรีเมืองใหม่,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,84,2564,"480,713",เดชอุดม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,85,2564,"341,730",ตระการพืชผล,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,86,2564,"93,136",น้ำยืน,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,87,2564,"66,606",โขงเจียม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,88,2564,"249,153",บุณฑริก,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,89,2564,"364,788",พิบูลมังสาหาร,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,90,2564,"301,742",ม่วงสามสิบ,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,91,2564,"177,469",วารินชำราบ,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,92,2564,"135,427",กุดข้าวปุ้น,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,93,2564,"135,847",นาจะหลวย,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,94,2564,"114,694",ตาลสุม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,95,2564,"98,611",โพธิ์ไทร,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,96,2564,"197,989",สำโรง,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,97,2564,"62,543",ดอนมดแดง,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,98,2564,"56,513",สิรินธร,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,99,2564,"83,347",ทุ่งศรีอุดม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,100,2564,"81,049",นาเยีย,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,101,2564,"74,247",เหล่าเสือโก้ก,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,102,2564,"86,718",นาตาล,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,103,2564,"45,341",สว่างวีระวงศ์,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,104,2564,"56,845",น้ำขุ่น,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,105,2564,"4,026,767",รวม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,106,2564,"109,364",เมืองอุบลราชธานี,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,107,2564,"183,373",เขมราฐ,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,108,2564,"234,104",เขื่องใน,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,109,2564,"213,499",ศรีเมืองใหม่,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,110,2564,"480,713",เดชอุดม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,111,2564,"340,191",ตระการพืชผล,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,112,2564,"93,136",น้ำยืน,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,113,2564,"66,606",โขงเจียม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,114,2564,"249,153",บุณฑริก,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,115,2564,"364,788",พิบูลมังสาหาร,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,116,2564,"299,219",ม่วงสามสิบ,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,117,2564,"174,392",วารินชำราบ,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,118,2564,"135,427",กุดข้าวปุ้น,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,119,2564,"135,847",นาจะหลวย,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,120,2564,"111,680",ตาลสุม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,121,2564,"96,971",โพธิ์ไทร,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,122,2564,"197,989",สำโรง,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,123,2564,"57,513",ดอนมดแดง,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,124,2564,"56,513",สิรินธร,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,125,2564,"83,227",ทุ่งศรีอุดม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,126,2564,"81,049",นาเยีย,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,127,2564,"73,200",เหล่าเสือโก้ก,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,128,2564,"86,718",นาตาล,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,129,2564,"45,250",สว่างวีระวงศ์,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,130,2564,"56,845",น้ำขุ่น,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,131,2564,"1,436,095",รวม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,132,2564,"37,621",เมืองอุบลราชธานี,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,133,2564,"62,714",เขมราฐ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,134,2564,"85,448",เขื่องใน,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,135,2564,"69,387",ศรีเมืองใหม่,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,136,2564,"176,902",เดชอุดม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,137,2564,"128,592",ตระการพืชผล,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,138,2564,"35,392",น้ำยืน,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,139,2564,"23,379",โขงเจียม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,140,2564,"87,204",บุณฑริก,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,141,2564,"135,336",พิบูลมังสาหาร,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,142,2564,"110,412",ม่วงสามสิบ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,143,2564,"60,165",วารินชำราบ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,144,2564,"47,806",กุดข้าวปุ้น,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,145,2564,"49,448",นาจะหลวย,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,146,2564,"38,530",ตาลสุม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,147,2564,"32,776",โพธิ์ไทร,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,148,2564,"70,484",สำโรง,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,149,2564,"21,567",ดอนมดแดง,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,150,2564,"18,197",สิรินธร,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,151,2564,"27,548",ทุ่งศรีอุดม,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,152,2564,"27,557",นาเยีย,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,153,2564,"24,010",เหล่าเสือโก้ก,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,154,2564,"29,658",นาตาล,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,155,2564,"15,611",สว่างวีระวงศ์,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,156,2564,"20,351",น้ำขุ่น,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,157,2565,"4,125,528",รวม,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,158,2565,"118,645",เมืองอุบลราชธานี,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,159,2565,"182,688",เขมราฐ,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,160,2565,"268,044",เขื่องใน,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,161,2565,"217,688",ศรีเมืองใหม่,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,162,2565,"482,735",เดชอุดม,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,163,2565,"344,862",ตระการพืชผล,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,164,2565,"95,797",น้ำยืน,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,165,2565,"68,276",โขงเจียม,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,166,2565,"249,856",บุณฑริก,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,167,2565,"365,842",พิบูลมังสาหาร,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,168,2565,"304,365",ม่วงสามสิบ,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,169,2565,"179,622",วารินชำราบ,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,170,2565,"137,286",กุดข้าวปุ้น,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,171,2565,"138,268",นาจะหลวย,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,172,2565,"116,000",ตาลสุม,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,173,2565,"99,918",โพธิ์ไทร,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,174,2565,"200,250",สำโรง,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,175,2565,"62,047",ดอนมดแดง,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,176,2565,"53,835",สิรินธร,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,177,2565,"85,914",ทุ่งศรีอุดม,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,178,2565,"83,311",นาเยีย,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,179,2565,"73,905",เหล่าเสือโก้ก,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,180,2565,"88,295",นาตาล,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,181,2565,"46,728",สว่างวีระวงศ์,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,182,2565,"59,150",น้ำขุ่น,เนื้อที่ปลูกข้าวนาปี,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,183,2565,"3,899,384",รวม,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,184,2565,"84,188",เมืองอุบลราชธานี,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,185,2565,"181,312",เขมราฐ,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,186,2565,"209,880",เขื่องใน,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,187,2565,"215,532",ศรีเมืองใหม่,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,188,2565,"470,474",เดชอุดม,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,189,2565,"335,613",ตระการพืชผล,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,190,2565,"94,937",น้ำยืน,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,191,2565,"69,014",โขงเจียม,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,192,2565,"248,324",บุณฑริก,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,193,2565,"355,323",พิบูลมังสาหาร,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,194,2565,"299,066",ม่วงสามสิบ,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,195,2565,"161,450",วารินชำราบ,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,196,2565,"136,418",กุดข้าวปุ้น,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,197,2565,"135,966",นาจะหลวย,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,198,2565,"99,840",ตาลสุม,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,199,2565,"99,238",โพธิ์ไทร,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,200,2565,"197,137",สำโรง,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,201,2565,"38,876",ดอนมดแดง,เนื้อที่เก็บเกี่ยว,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,202,2565,"53,428",สิรินธร,เนื้อที่เก็บเกี่ยว,ตัน
