เดือน,_id,ปี,รายจ่ายประจำ,หน่วย
มกราคม,1,2568,362.8,ล้านบาท
กุมภาพันธ์,2,2568,325.3,ล้านบาท
มีนาคม,3,2568,715.4,ล้านบาท
เมษายน,4,2568,403.8,ล้านบาท
พฤษภาคม,5,2568,390.5,ล้านบาท
มิถุนายน,6,2568,395.2,ล้านบาท
กรกฎาคม,7,2568,484.0,ล้านบาท
สิงหาคม,8,2568,394.7,ล้านบาท
กันยายน,9,2568,650.8,ล้านบาท
ตุลาคม,10,2568,625.4,ล้านบาท
พฤศจิกายน,11,2568,351.7,ล้านบาท
ธันวาคม,12,2568,387.8,ล้านบาท
