Province,Dataset_name,Item,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,กล้วยหอม,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,1,9780,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กล้วยหอม,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,2,9762,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กล้วยหอม,ผลผลิต,ตัน,เกษตรและประมง,3,38181,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,4,3946,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กล้วยน้ำว้า,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,5,8113,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,6,7532,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กล้วยน้ำว้า,ผลผลิต,ตัน,เกษตรและประมง,7,28536,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,8,3875,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะม่วง,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,9,4749,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะม่วง,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,10,4446,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะม่วง,ผลผลิต,ตัน,เกษตรและประมง,11,8758,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะม่วง,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,12,1970,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,13,9375,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,14,8319,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
