คนงานชาย,คนงานรวม,_id,ปี,อำเภอ,คนงานหญิง,สปก.อุตสาหกรรม,เงินทุน (บาท)
" 1,149 "," 3,749 ",1,2564,เมืองเพชรบุรี," 2,600 ",59," 3,262.3 "
" 10,966 "," 18,543 ",2,2564,เขาย้อย," 7,577 ",233," 38,563.5 "
 201 , 337 ,3,2564,หนองหญ้าปล้อง, 136 ,21," 1,585.1 "
" 1,253 "," 1,756 ",4,2564,ชะอำ, 503 ,97," 16,753.4 "
 753 , 937 ,5,2564,ท่ายาง, 184 ,71," 2,275.4 "
 345 , 395 ,6,2564,บ้านลาด, 50 ,22," 3,884.1 "
 358 , 913 ,7,2564,บ้านแหลม, 555 ,15," 1,961.7 "
 50 , 54 ,8,2564,แก่งกระจาน, 4 ,6, 226.7 
 894 ," 1,555 ",9,2565,เมืองเพชรบุรี, 661 ,59," 2,478.3 "
" 11,149 "," 18,845 ",10,2565,เขาย้อย," 7,696 ",236," 39,608.8 "
 205 , 346 ,11,2565,หนองหญ้าปล้อง, 141 ,24," 1,605.6 "
" 1,276 "," 1,844 ",12,2565,ชะอำ, 568 ,99," 16,817.7 "
 845 ," 1,068 ",13,2565,ท่ายาง, 223 ,71," 2,676.7 "
 360 , 416 ,14,2565,บ้านลาด, 56 ,25," 3,904.8 "
 430 ," 1,051 ",15,2565,บ้านแหลม, 621 ,16," 1,960.9 "
 48 , 52 ,16,2565,แก่งกระจาน, 4 ,5, 225.2 
 903 ," 1,595 ",17,2566,เมืองเพชรบุรี, 692 ,60," 2,533.8 "
" 11,182 "," 18,874 ",18,2566,เขาย้อย," 7,692 ",234," 40,058.7 "
 205 , 346 ,19,2566,หนองหญ้าปล้อง, 141 ,24," 1,605.6 "
" 1,306 "," 1,883 ",20,2566,ชะอำ, 577 ,100," 2,853.5 "
 849 ," 1,075 ",21,2566,ท่ายาง, 226 ,71," 2,691.9 "
 360 , 416 ,22,2566,บ้านลาด, 56 ,25," 3,904.8 "
 430 ," 1,051 ",23,2566,บ้านแหลม, 621 ,16," 1,960.9 "
 48 , 52 ,24,2566,แก่งกระจาน, 4 ,5, 225.2 
