PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
แพร่,173.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,ภาคเหนือ,2563
แพร่,189.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,ภาคเหนือ,2563
แม่ฮ่องสอน,76.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,ชาย,พันคน,ภาคเหนือ,2563
แม่ฮ่องสอน,75.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,ภาคเหนือ,2563
กาฬสินธุ์,313.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
กาฬสินธุ์,339.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ขอนแก่น,694.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ขอนแก่น,764.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ชัยภูมิ,373.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ชัยภูมิ,405.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครพนม,211.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครพนม,230.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,12,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครราชสีมา,991.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครราชสีมา,1062.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บึงกาฬ,131.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
