VALUE,SOURCE,_id,UNIT,REGION,YEAR,EDUCATIONAL
28.37,สำนักงานสถิติแห่งชาติ,37,พันคน,5) ภาคใต้,2563,05) มัธยมศึกษาตอนปลาย
31.02,สำนักงานสถิติแห่งชาติ,38,พันคน,5) ภาคใต้,2563,06) อุดมศึกษา
2.41,สำนักงานสถิติแห่งชาติ,39,พันคน,5) ภาคใต้,2563,07) การศึกษาอื่นๆ
1.24,สำนักงานสถิติแห่งชาติ,40,พันคน,5) ภาคใต้,2563,08) ไม่ทราบ
14.28,สำนักงานสถิติแห่งชาติ,41,พันคน,1) กรุงเทพมหานคร,2564,01) ไม่มีการศึกษา
115.48,สำนักงานสถิติแห่งชาติ,42,พันคน,1) กรุงเทพมหานคร,2564,02) ต่ำกว่าประถมศึกษา
49.14,สำนักงานสถิติแห่งชาติ,43,พันคน,1) กรุงเทพมหานคร,2564,03) ประถมศึกษา
34.5,สำนักงานสถิติแห่งชาติ,44,พันคน,1) กรุงเทพมหานคร,2564,04) มัธยมศึกษาตอนต้น
32.47,สำนักงานสถิติแห่งชาติ,45,พันคน,1) กรุงเทพมหานคร,2564,05) มัธยมศึกษาตอนปลาย
51.62,สำนักงานสถิติแห่งชาติ,46,พันคน,1) กรุงเทพมหานคร,2564,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,47,พันคน,1) กรุงเทพมหานคร,2564,07) การศึกษาอื่นๆ
0.44,สำนักงานสถิติแห่งชาติ,48,พันคน,1) กรุงเทพมหานคร,2564,08) ไม่ทราบ
40.94,สำนักงานสถิติแห่งชาติ,49,พันคน,2) ภาคกลาง,2564,01) ไม่มีการศึกษา
741.89,สำนักงานสถิติแห่งชาติ,50,พันคน,2) ภาคกลาง,2564,02) ต่ำกว่าประถมศึกษา
146.19,สำนักงานสถิติแห่งชาติ,51,พันคน,2) ภาคกลาง,2564,03) ประถมศึกษา
58.3,สำนักงานสถิติแห่งชาติ,52,พันคน,2) ภาคกลาง,2564,04) มัธยมศึกษาตอนต้น
58.28,สำนักงานสถิติแห่งชาติ,53,พันคน,2) ภาคกลาง,2564,05) มัธยมศึกษาตอนปลาย
57.95,สำนักงานสถิติแห่งชาติ,54,พันคน,2) ภาคกลาง,2564,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,55,พันคน,2) ภาคกลาง,2564,07) การศึกษาอื่นๆ
0.48,สำนักงานสถิติแห่งชาติ,56,พันคน,2) ภาคกลาง,2564,08) ไม่ทราบ
97.16,สำนักงานสถิติแห่งชาติ,57,พันคน,3) ภาคเหนือ,2564,01) ไม่มีการศึกษา
847.37,สำนักงานสถิติแห่งชาติ,58,พันคน,3) ภาคเหนือ,2564,02) ต่ำกว่าประถมศึกษา
71.09,สำนักงานสถิติแห่งชาติ,59,พันคน,3) ภาคเหนือ,2564,03) ประถมศึกษา
44.35,สำนักงานสถิติแห่งชาติ,60,พันคน,3) ภาคเหนือ,2564,04) มัธยมศึกษาตอนต้น
34.03,สำนักงานสถิติแห่งชาติ,61,พันคน,3) ภาคเหนือ,2564,05) มัธยมศึกษาตอนปลาย
34.25,สำนักงานสถิติแห่งชาติ,62,พันคน,3) ภาคเหนือ,2564,06) อุดมศึกษา
0.12,สำนักงานสถิติแห่งชาติ,63,พันคน,3) ภาคเหนือ,2564,07) การศึกษาอื่นๆ
0.0,สำนักงานสถิติแห่งชาติ,64,พันคน,3) ภาคเหนือ,2564,08) ไม่ทราบ
26.68,สำนักงานสถิติแห่งชาติ,65,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,01) ไม่มีการศึกษา
1404.53,สำนักงานสถิติแห่งชาติ,66,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,02) ต่ำกว่าประถมศึกษา
138.94,สำนักงานสถิติแห่งชาติ,67,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,03) ประถมศึกษา
55.11,สำนักงานสถิติแห่งชาติ,68,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,04) มัธยมศึกษาตอนต้น
56.63,สำนักงานสถิติแห่งชาติ,69,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,05) มัธยมศึกษาตอนปลาย
36.53,สำนักงานสถิติแห่งชาติ,70,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,71,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,07) การศึกษาอื่นๆ
0.0,สำนักงานสถิติแห่งชาติ,72,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564,08) ไม่ทราบ
33.24,สำนักงานสถิติแห่งชาติ,73,พันคน,5) ภาคใต้,2564,01) ไม่มีการศึกษา
402.91,สำนักงานสถิติแห่งชาติ,74,พันคน,5) ภาคใต้,2564,02) ต่ำกว่าประถมศึกษา
79.12,สำนักงานสถิติแห่งชาติ,75,พันคน,5) ภาคใต้,2564,03) ประถมศึกษา
45.63,สำนักงานสถิติแห่งชาติ,76,พันคน,5) ภาคใต้,2564,04) มัธยมศึกษาตอนต้น
34.14,สำนักงานสถิติแห่งชาติ,77,พันคน,5) ภาคใต้,2564,05) มัธยมศึกษาตอนปลาย
36.81,สำนักงานสถิติแห่งชาติ,78,พันคน,5) ภาคใต้,2564,06) อุดมศึกษา
0.97,สำนักงานสถิติแห่งชาติ,79,พันคน,5) ภาคใต้,2564,07) การศึกษาอื่นๆ
0.67,สำนักงานสถิติแห่งชาติ,80,พันคน,5) ภาคใต้,2564,08) ไม่ทราบ
10.92,สำนักงานสถิติแห่งชาติ,81,พันคน,1) กรุงเทพมหานคร,2565,01) ไม่มีการศึกษา
116.61,สำนักงานสถิติแห่งชาติ,82,พันคน,1) กรุงเทพมหานคร,2565,02) ต่ำกว่าประถมศึกษา
71.39,สำนักงานสถิติแห่งชาติ,83,พันคน,1) กรุงเทพมหานคร,2565,03) ประถมศึกษา
35.23,สำนักงานสถิติแห่งชาติ,84,พันคน,1) กรุงเทพมหานคร,2565,04) มัธยมศึกษาตอนต้น
50.66,สำนักงานสถิติแห่งชาติ,85,พันคน,1) กรุงเทพมหานคร,2565,05) มัธยมศึกษาตอนปลาย
53.86,สำนักงานสถิติแห่งชาติ,86,พันคน,1) กรุงเทพมหานคร,2565,06) อุดมศึกษา
