ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำน้ำแข็งก้อนเล็ก ได้วันละ 36 ตัน,ประเวศ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,ทุ่งเศรษฐี แยก 17,100000000000,11.3,11,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,19,469,2538,ดอกไม้,ศ3-14-9/38,บริษัท วารีเทพ มหานคร จำกัด,11,บริษัท วารีเทพ มหานคร จำกัด,3,10250
ผลิตบะหมี่และใบห่อเกี๊ยว,ทวีวัฒนา,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,ปิ่นเกล้า-นครชัยศรี,,100000000000,32,44,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,8,46075,188.5,2534,ศาลาธรรมสพน์,ศ3-10(3)-1/34,นางดารา ศรีพัฒนกฤติ,12,นางดารา ศรีพัฒนกฤติ,3,10170
อบและกะเทาะเปลือเมล็ดพืช,ยานนาวา,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,สาธุประดิษฐ์,,100000000000,2.7,9,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,608,345.89,2535,บางโพงพาง,ศ3-2(1)-1/35,บริษัท ตั้งซุ่นหยู จำกัด,13,บริษัท ตั้งซุ่นหยู จำกัด,3,10120
ทำน้ำแข็งก้อนเล็ก ได้วันละ 31.96 ตัน,คลองเตย,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,เคหะคลองเตย 4,100000000000,3,14,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,100/789-793,232.5,2535,คลองเตย,ศ3-14-5/35,บริษัท ท่าเรือน้ำแข็งหลอด จำกัด,14,บริษัท ท่าเรือน้ำแข็งหลอด จำกัด,3,10110
ทำบาร์บีคิวหมู เนื้อ ไก่ อาหารทะเล และเครื่องปรุงรสบาร์บีคิว,จตุจักร,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,ลาดพร้าว,ลาดพร้าว 23,100000000000,36.5,60,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,32/124,99.6,2539,ลาดยาว,ศ3-4(3)-1/39,บริษัท ฟู้ดแพชชั่น จำกัด,15,บริษัท ฟู้ดแพชชั่น จำกัด,3,10900
ทำน้ำแข็งก้อนเล็ก ได้วันละ 10 ตัน,บางขุนเทียน,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,สะแกงาม 5 แยก 2,100000000000,3.106,6,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,21,305,2538,แสมดำ,ศ3-14-3/38,นายเสกสันต์ ลอรัตนเรืองกิต,16,ทวีคูณยูนิค,3,10150
ทำขนมปัง ขนมเค้กและคุกกี้,พระโขนง,1001,การทำขนมปังหรือขนมเค้ก,,สุขุมวิท 62 แยก 3,100000000000,85,350,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,2,827.12,2533,บางจาก,ศ3-10(1)-4/33,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),17,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด(มหาชน),3,10260
ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 98 ตัน/วัน,จอมทอง,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สุขสวัสดิ์,-,100000000000,12,11,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,-,132,2552.12,2538,จอมทอง,ศ3-14-4/38,บริษัท ดาวคะนองค้าน้ำแข็ง จำกัด,18,บริษัท ดาวคะนองค้าน้ำแข็ง จำกัด,3,10150
ผลิตน้ำแข็งก้อนเล็ก โดยผลิตน้ำแข็งก้อนเล็กเพิ่มขึ้นวันละ 50 ตัน รวมผลิตได้วันละ 200 ตัน,มีนบุรี,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,รามคำแหง (สุขาภิบาล 3),-,100000000000,33,41,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,11,46095,2092,2535,มีนบุรี,ศ3-14-2/35,บริษัท น้ำแข็งมีนบุรี จำกัด,19,บริษัท น้ำแข็งมีนบุรี จำกัด,3,10510
ทำน้ำแข็งก้อนเล็กได้วันละ 60 ตัน/วัน,ทุ่งครุ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,พุทธบูชา,วัดโอภาศรี,100000000000,8,0,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,2,84/1,988.1,2539,บางมด,ศ3-14-2/39,นายเสรี สุจริตศรีชัยกุล,20,,3,10140
ทำน้ำแข็งก้อนเล็ก ,ตลิ่งชัน,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สวนผัก,,100000000000,10.5,7,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,4,70/1,490,2539,ตลิ่งชัน,ศ3-14-1/39,นายมงคล กิตติรุจิระพันธ์,21,สยามน้ำแข็ง,3,10170
ทำเครื่องสำอาง เช่น แป้ง ลิปสติก,คลองสาน,4703,การทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,เจริญนคร,เจริญนคร 40,100000000000,0.6,32,10,อุตสาหกรรมท่องเที่ยวสุขภาพ,กรุงเทพมหานคร,,275,84.02,2537,บางลำภูล่าง,ศ3-47(3)-1/37,นายประสาน ลิมปานุกร,22,หงษ์ทองคอสเมติคส์,3,10600
ผลิตน้ำดื่มและน้ำแร่บรรจุขวด,ราษฎร์บูรณะ,2001,การทำน้ำดื่ม,,สุขสวัสดิ์ 1 แยก 4,101000000000,11,7,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,3,82.89,2538,บางปะกอก,ศ3-20(1)-1/38,บริษัท บิ๊ก เบล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,23,บริษัท บิ๊ก เบล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,3,10140
อบหอยลาย,บางบ่อ,602,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,สุขุมวิท,-,110000000000,2.8,6,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,8,62,2870.2,2535,คลองด่าน,ศ3-6(2)-2/35สป,นายสุรพงษ์ มีมา,24,โรงงานศิริพร,3,10550
"ทำน้ำแข็ง ได้วันละ 2,080 ซอง",บางเสาธง,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,เทพารักษ์ กม.21,,110000000000,31,81,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,1,128/778,2103,2537,บางเสาธง,ศ3-14-2/37สป,บริษัท สุวรรณธารา จำกัด,25,บริษัท สุวรรณธารา จำกัด,3,10570
ผลิตเม็ดอม,ยานนาวา,1210,การทำลูกกวาดหรือทอฟฟี่,ศรีบำเพ็ญ,แจ๊กเจีย,100000000000,18.95714,16,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,144/1,146.14,2533,ช่องนนทรี,ศ3-12(10)-1/33,บริษัท แจ๊กเจียอุตสาหกรรม (ไทย) จำกัด (มหาชน),26,บริษัท แจ๊กเจียอุตสาหกรรม (ไทย) จำกัด (มหาชน),3,10120
ผลิตอาหารและเครื่องดื่มบรรจุภาชนะ,ประเวศ,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,,เฉิมพระเกียรติ ร.9 ซอย 48 แยก 14,100000000000,9.05,20,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,9,443.52,2535,ดอกไม้,ศ3-8(1)-1/35,บริษัท ที.วี.ฟู้ด จำกัด,27,บริษัท ที.วี.ฟู้ด จำกัด,3,10250
ทำขนมปัง เค้ก สาลี่ และขนมอบ,คลองเตย,1001,การทำขนมปังหรือขนมเค้ก,สุขุมวิท 71,,100000000000,19,35,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,"200,200/1-2",108,2538,พระโขนง,ศ3-10(1)-1/38,บริษัท เซเว่น ไฟว์ จำกัด,28,บริษัท เซเว่น ไฟว์ จำกัด,3,10110
ทำผลิตภัณฑ์อาหารจากแป้ง เช่น คุกกี้ และอาหารขบเคี้ยวทั่วไป,มีนบุรี,1002,การทำขนมปังกรอบ หรือขนมอบแห้ง,นิมิตรใหม่,,100000000000,61.56,103,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,46031,1698.54,2536,มีนบุรี,ศ3-10(2)-1/36,บริษัท อาหารยอดคุณ จำกัด ,29,บริษัท อาหารยอดคุณ จำกัด,3,10510
ทำน้ำพริกเผา ซอสพริก และน้ำจิ้มอาหาร ,บางขุนเทียน,1302,การทำเครื่องปรุงกลิ่น รส หรือสีของอาหาร,,บางกระดี่ 9,101000000000,4,50,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,46031,3598.69,2536,แสมดำ,ศ3-13(2)-1/36,บริษัท หอมหวลอุตสาหกรรมอาหาร จำกัด,30,บริษัท หอมหวลอุตสาหกรรมอาหาร จำกัด,3,10150
"ผลิตน้ำแข็งซอง เพิ่มขึ้น 600 ซอง/วัน รวมเป็น 5,400 ซอง/วัน",ภาษีเจริญ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ราชมนตรี,,100000000000,4,0,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,19,3059.64,2538,บางด้วน,ศ3-14-6/38,บริษัท โรงน้ำแข็งเพชรเกษม (2007) จำกัด,31,บริษัท โรงน้ำแข็งเพชรเกษม (2007) จำกัด,3,10160
