ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 40 เกวียน/วัน),เลิงนกทา,901,การสี ฝัด หรือขัดข้าว,ชยางกูร,,10400000000000,0,14,5,อุตสาหกรรมแปรรูปอาหาร,ยโสธร,13,138,280,2515,สามแยก,3-9(1)-153/15ยส,บริษัท พี.เค.เค ไรช์มิลล์ 2001 จำกัด,2734,บริษัท พี.เค.เค ไรช์มิลล์ 2001 จำกัด,3,35120
ผลิตน้ำแข็งก้อนเล็ก,ทรายมูล,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10400000000000,20,10,5,อุตสาหกรรมแปรรูปอาหาร,ยโสธร,3,444,813.5,2563,ทรายมูล,3-14-54/63ยส,บริษัท ไลอ้อน ไอซ์ ทรายมูล จำกัด,2735,บริษัท ไลอ้อน ไอซ์ ทรายมูล จำกัด,3,35170
ผลิตแป้งมันสำปะหลัง กำลังการผลิต 200 ตันแป้งต่อวัน (กำลังการผลิตเดิม 200 ตันแป้งต่อวัน รวมเป็น 400 ตันแป้งต่อวัน),หนองบัวระเหว,902,การทำแป้ง,ชัยภูมิ-นครสวรรค์,-,10400000000000,113.5,156,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,5,84,19290.8,2537,หนองบัวระเหว,3-9(2)-1/37ชย,บริษัท แป้งมันแสงเพชร จำกัด,2736,บริษัท แป้งมันแสงเพชร จำกัด,3,36250
ผลิตโคมไฟฟ้าและอุปกรณ์(1) ผลิตชิ้นส่วนอลูมิเนียมเกียวกับอุปกรณ์ของโคมไฟฟ้า(2),บ้านสร้าง,7401,โรงงานประกอบกิจการเกี่ยวกับอุปกรณ์ไฟฟ้า การทำหลอดไฟฟ้า หรือดวงโคมไฟฟ้า,,,10300000000000,140,115,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปราจีนบุรี,11,25,2084.71,2558,บ้านสร้าง,3-74(1)-1/58ปจ,บริษัท ยูนิแลมป์ จำกัด,2737,บริษัท ยูนิแลมป์ จำกัด,3,25150
ผลิตชิ้นส่วนหรืออุปกรณ์สำหรับยานพาหนะ เช่น โคมไฟ,ศรีมหาโพธิ,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,-,-,10300000000000,1956.3723,515,3,อุตสาหกรรมยานยนต์,ปราจีนบุรี,7,555,17764.64,2555,ท่าตูม,3-77(2)-5/55ปจ,บริษัท ไทย โคะอิโท จำกัด,2738,บริษัท ไทย โคะอิโท จำกัด,3,25140
ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสุกร เช่น กุนเชียง หมูยอ แหนม หมูสวรรค์ ไส้กรอก เป็นต้น,เมืองนครราชสีมา,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,,,10300000000000,205,195,5,อุตสาหกรรมแปรรูปอาหาร,นครราชสีมา,8,"โฉนดที่ดินเลขที่ 26623, 26889 ฯลฯ",8292,2561,โคกกรวด,3-4(3)-22/61นม,บริษัท ปึงหงี่เชียง ฟู้ด โปรดักส์ จำกัด,2739,บริษัท ปึงหงี่เชียง ฟู้ด โปรดักส์ จำกัด,3,30280
ผลิตน้ำแข็งหลอดเล็ก และน้ำแข็งหลอดใหญ่,พิมาย,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10300000000000,17,18,5,อุตสาหกรรมแปรรูปอาหาร,นครราชสีมา,10,"โฉนดที่ดินเลขที่ 33276, 33283",913,2563,โบสถ์,3-14-28/63นม,บริษัท ธัชกร พิมาย จำกัด,2740,บริษัท ธัชกร พิมาย จำกัด,3,30110
ซ่อม-สร้างเครื่องจักรอุตสาหกรรม ปูนซิเมนต์ และหินอ่อน,ปากช่อง,6800,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องจักร สำหรับอุตสาหกรรมกระดาษ เคมี อาห,มิตรภาพ,,10300000000000,55,70,1,อุตสาหกรรมหุ่นยนต์และแขนกล,นครราชสีมา,1,301,517.57,2536,กลางดง,3-68-2/36นม,บริษัท อโศกสเปเชียลแมชชีน จำกัด,2741,บริษัท อโศกสเปเชียลแมชชีน จำกัด,3,30320
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิตวันละ 50 ตัน,วารินชำราบ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10300000000000,6.5,15,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,4,โฉนดที่ดินเลขที่ 30321,669,2558,คำน้ำแซบ,3-14-71/58อบ,บริษัท วารีเทพวารินชำราบ จำกัด,2742,บริษัท วารีเทพวารินชำราบ จำกัด,3,34190
โรงงานน้ำแข็ง,เมืองอุบลราชธานี,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10300000000000,75,35,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,1,333,2120,2558,กระโสบ,3-14-72/58อบ,บริษัท อุบลน้ำทิพย์ จำกัด,2743,บริษัท น้ำทิพย์ธารา จำกัด,3,34000
"อบแห้งพืชผลทางการเกษตร เช่น มะม่วง, สับปะรด, มะละกอ, มะนาว, ลำไย ฯลฯ",แม่สรวย,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,,,10600000000000,180,285,5,อุตสาหกรรมแปรรูปอาหาร,เชียงราย,10,888,9828.72,2557,ท่าก๊อ,3-2(1)-25/57ชร,บริษัท ไทยร่มโพธิ์ทอง 888 ฟรุ๊ต โปรดักส์ จำกัด,2744,บริษัท ไทยร่มโพธิ์ทอง 888 ฟรุ๊ต โปรดักส์ จำกัด,3,57180
อบพืชหรือเมล็ดพืชและข้าวโพดอบสุกและอัดมันเม็ด,เวียงป่าเป้า,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,แม่ขะจาน-วังเหนือ,-,10600000000000,17,3,5,อุตสาหกรรมแปรรูปอาหาร,เชียงราย,3,99/1,3552.37,2548,แม่เจดีย์,3-2(1)-68/48ชร,บริษัท จิรชัย โปรดิวซ์ จำกัด,2745,บริษัท จิรชัย โปรดิวซ์ จำกัด,3,57260
"ทำน้ำแข็งซอง ได้วันละ 1,000 ซอง/วัน",เมืองนนทบุรี,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,บางศรีเมือง-วัดโบสถ์,เพิ่มแฉล้มอุทิศ,10100000000000,105,13,5,อุตสาหกรรมแปรรูปอาหาร,นนทบุรี,9,54/9,1102,2556,บางกร่าง,3-14-24/56นบ,นางสาวสุรีพร วณิชย์ศักดิพงศ์,2746,วารีน้ำแข็ง 2,3,11000
"ผลิตชิ้นส่วนรถยนต์,รถจักรยานยนต์ ได้แก่ชุดเบรครถยนต์และรถจักรยานยนต์",เมืองนครราชสีมา,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,ราชสีมา-โชคชัย,-,10300000000000,1890.802078,373,3,อุตสาหกรรมยานยนต์,นครราชสีมา,6,399,16055.109,2543,หนองระเวียง,3-77(2)-1/43นม,บริษัท แอสเตโม โคราช เบรก ซิสเตมส์ จำกัด,2747,บริษัท แอสเตโม โคราช เบรก ซิสเตมส์ จำกัด,3,30000
ผลิตแป้งมันสำปะหลัง กำลังการผลิต 330 ตัน/วัน,ขามสะแกแสง,902,การทำแป้ง,,,10300000000000,248.992,155,5,อุตสาหกรรมแปรรูปอาหาร,นครราชสีมา,10,"โฉนดที่ดินเลขที่ 6777, 6782, 6783, 6788",18233,2564,พะงาด,3-9(2)-4/64นม,บริษัท เจเอส สตาร์ซ จำกัด,2748,บริษัท เจเอส สตาร์ซ จำกัด,3,30290
ผลิตน้ำแข็งหลอดเล็กและน้ำแข็งหลอดใหญ่,ขามทะเลสอ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10300000000000,25.2832,19,5,อุตสาหกรรมแปรรูปอาหาร,นครราชสีมา,6,209,1030,2564,โป่งแดง,3-14-52/64นม,บริษัท ธัชกร ขามทะเลสอ จำกัด,2749,บริษัท ธัชกร ขามทะเลสอ จำกัด,3,30280
ผลิตน้ำแข็งหลอดเล็กและน้ำแข็งหลอดใหญ่,สีคิ้ว,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10300000000000,24.5976,17,5,อุตสาหกรรมแปรรูปอาหาร,นครราชสีมา,10,"โฉนดที่ดินเลขที่ 12423, 16430",1018,2564,สีคิ้ว,3-14-53/64นม,บริษัท ธัชกรไอซ์ จำกัด,2750,บริษัท ธัชกรไอซ์ จำกัด,3,30140
ป่นหรือบดเมล็ดข้าวโพด และโม่ข้าวโพด สำหรับผสมอาหารสัตว์,ปากช่อง,903,การป่นหรือบดเมล็ดพืชหรือหัวพืช,,,10300000000000,22.5,11,5,อุตสาหกรรมแปรรูปอาหาร,นครราชสีมา,17,17,571.38,2564,ปากช่อง,3-9(3)-3/64นม,บริษัท เสียงเจริญอุตสาหกรรม จำกัด,2751,บริษัท เสียงเจริญอุตสาหกรรม จำกัด,3,30130
ทำเฉาก๊วย,เมืองนนทบุรี,904,การผลิตอาหารสำเร็จรูปจากเมล็ดพืชหรือหัวพืช,,เรวดี 7,10100000000000,1,8,5,อุตสาหกรรมแปรรูปอาหาร,นนทบุรี,,70,2663.5,2540,ตลาดขวัญ,3-9(4)-1/40นบ,ห้างหุ้นส่วนจำกัด บางกอกเกาลูน,2752,ห้างหุ้นส่วนจำกัด บางกอกเกาลูน,3,11000
ผลิตน้ำแข็งซอง,บางกรวย,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ปลายบาง,วัดบางไกรใน,10100000000000,25,10,5,อุตสาหกรรมแปรรูปอาหาร,นนทบุรี,2,75/17,1757,2542,มหาสวัสดิ์,3-14-1/42นบ,บริษัท โรงน้ำแข็งนวลวรรณ จำกัด,2753,บริษัท โรงน้ำแข็งนวลวรรณ จำกัด,3,11130
ทำแป้งมันสำปะหลังและแป้งมันสำปะหลังแปรรูป (Modified Starch),บำเหน็จณรงค์,902,การทำแป้ง,สุรนารายณ์,-,10400000000000,54,4,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,10,222,62445.48,2537,โคกเริงรมย์,3-9(2)-2/37ชย,บริษัท สยาม ควอลิตี้ สตาร์ช จำกัด,2754,บริษัท สยาม ควอลิตี้ สตาร์ช จำกัด,3,36160
ทำมันเส้น,ซับใหญ่,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,,,10400000000000,0.75,2,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,5,75,170,2530,ตะโกทอง,3-9(6)-5/30ชย,นายไพโรจน์ ตั้งไพโรจน์วงศ์,2755,ตะโกทองพืชผล,3,36130
ผลิตแป้งมันสำปะหลัง ขนาดกำลังการผลิต 400 ตันต่อวัน,บำเหน็จณรงค์,902,การทำแป้ง,สุระนารายณ์,,10400000000000,590,240,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,2,189,37610.8,2557,โคกเริงรมย์,3-9(2)-2/57ชย,บริษัท ตงจิต สตาร์ช จำกัด,2756,บริษัท ตงจิต สตาร์ช จำกัด,3,36160
ทำมันเส้น มันอัดเม็ดแข็ง,บ้านเขว้า,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,บ้านเขว้า-ชีบน, -,10400000000000,1.6,7,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,5,433,6206.66,2522,บ้านเขว้า,3-9(6)-11/22ชย,นายกมล ตั้งสุริยานนท์,2757,ห้างหุ้นส่วนจำกัด ตั้งกมล โปรดักท์,3,36170
ทำมันเส้น ได้เดือนละ 129 ตัน,เทพสถิต,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,สายวะตะแบก-บ้านนา,บ้านวะตะแบก,10400000000000,0.81,4,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,1,472,110,2531,วะตะแบก,3-9(6)-12/31ชย,นางราตรี ทองชำนาญ,2758,ชนะพืชผล,3,36230
ทำมันเส้น,หนองบัวระเหว,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,หนองบัวระเหว-ซับใหญ่,-,10400000000000,1.5,4,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,12,580,120,2531,หนองบัวระเหว,3-9(6)-59/31ชย,นายศิวะ สุนทรีรัตน์,2759,กิจรุ่งเรือง,3,36250
ทำเส้นก๋วยเตี๋ยว,บำเหน็จณรงค์,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,คำปิง-ด่านขุนทด,-,10400000000000,1.33,8,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,10,148/1-2,664.23,2529,บ้านเพชร,3-10(3)-1/29ชย,นายชวลิต เอื้อไพโรจน์ถาวร,2760,ศิริชวลิต,3,36160
"ผลิตน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 23,000 ต้นอ้อย/วัน ขยายกำลังการผลิตพลังงานไฟฟ้า 4 เมกะวัตต์ เพื่อใช้ในกิจการของตนเอง (กำลังการผลิตรวมเป็น 16.5 เมกะวัตต์)",คูเมือง,1103,การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,,,10300000000000,161.5,750,5,อุตสาหกรรมแปรรูปอาหาร,บุรีรัมย์,2,237,218888.89,2515,หินเหล็กไฟ,3-11(3)-1/15บร,บริษัท โรงงานน้ำตาลบุรีรัมย์ จำกัด,2761,บริษัท โรงงานน้ำตาลบุรีรัมย์ จำกัด,3,31190
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 100 เกวียน/วัน,เมืองบุรีรัมย์,901,การสี ฝัด หรือขัดข้าว,-,,10300000000000,2.8,14,5,อุตสาหกรรมแปรรูปอาหาร,บุรีรัมย์,10,159,368.75,2540,บ้านยาง,3-9(1)-1/40บร,ชุมนุมสหกรณ์การเกษตรบุรีรัมย์ จำกัด,2762,ชุมนุมสหกรณ์การเกษตรบุรีรัมย์ จำกัด,3,31000
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 70 เกวียน/วัน,กระสัง,901,การสี ฝัด หรือขัดข้าว,กระสังข์-บุรีรัมย์,,10300000000000,24.4,5,5,อุตสาหกรรมแปรรูปอาหาร,บุรีรัมย์,9,464,593,2518,กระสัง,3-9(1)-9/18บร,บริษัท โรงสีข้าวสหะชัย จำกัด,2763,บริษัท โรงสีข้าวสหะชัย จำกัด,3,31160
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 70 เกวียน/วัน,แม่จัน,901,การสี ฝัด หรือขัดข้าว,สายแม่จัน-เชียงแสน,,10600000000000,0.2,13,5,อุตสาหกรรมแปรรูปอาหาร,เชียงราย,7,32,109,2515,แม่จัน,3-9(1)-264/15ชร,ห้างหุ้นส่วนจำกัด โรงสีซุ่ยฮั้วเชี้ยง,2764,ห้างหุ้นส่วนจำกัด โรงสีซุ่ยฮั้วเชี้ยง,3,57110
"ผลิตน้ำแข็งหลอดเล็ก, ใหญ่",เวียงชัย,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10600000000000,28.5,12,5,อุตสาหกรรมแปรรูปอาหาร,เชียงราย,12,60,985,2563,เวียงเหนือ,3-14-30/63ชร,บริษัท สากลไอซ์เบิร์ก จำกัด,2765,บริษัท สากลไอซ์เบิร์ก จำกัด,3,57210
น้ำปลาร้าปรุงรส ผ่านกระบวนการพาสเจอร์ไรซ์,แม่จัน,602,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,,,10600000000000,38.4,24,5,อุตสาหกรรมแปรรูปอาหาร,เชียงราย,8,225,807.46,2562,ท่าข้าวเปลือก,3-6(2)-3/62ชร,นางอลิสา อิสแมน,2766,นางอลิสา อิสแมน,3,57110
ผลิตชาใบแห้งและใบชาผง,เวียงป่าเป้า,1201,การทำใบชาแห้ง หรือใบชาผง,-,-,10600000000000,238.76,58,5,อุตสาหกรรมแปรรูปอาหาร,เชียงราย,8,170/1,1296.32,2568,เวียงกาหลง,3-12(1)-8/68ชร,บริษัท ชาไทย อินเตอร์เนชั่นแนล จำกัด,2767,บริษัท ชาไทย อินเตอร์เนชั่นแนล จำกัด (สาขา 00004),3,57260
ทำใบชาแห้ง และใบชาผง น้ำผักและผลไม้ ผลไม้แช่อิ่ม,เมืองเชียงราย,1201,การทำใบชาแห้ง หรือใบชาผง,,,10600000000000,25.3,40,5,อุตสาหกรรมแปรรูปอาหาร,เชียงราย,1,99,743.9,2562,แม่กรณ์,3-12(1)-2/62ชร,บริษัท สิงห์ปาร์ค เชียงราย จำกัด,2768,บริษัท สิงห์ปาร์ค เชียงราย จำกัด,3,57000
ผลิต ต่อเติม ซ่อมแซม ตัวถังรถยนต์หรือรถพ่วง,เทิง,7701,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,เชียงราย-เทิง,,10600000000000,11.733,15,3,อุตสาหกรรมยานยนต์,เชียงราย,2,-,726.07,2540,เวียง,3-77(1)-1/40ชร,ห้างหุ้นส่วนจำกัด เมืองเทิงเซอร์วิส,2769,ห้างหุ้นส่วนจำกัด เมืองเทิงเซอร์วิส,3,57160
ทำมันเส้น,ปทุมราชวงศา,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,อรุณประเสริฐ,บ้านโนนสำราญ,10400000000000,0,7,5,อุตสาหกรรมแปรรูปอาหาร,อำนาจเจริญ,8,89,120,2535,นาหว้า,3-9(6)-5/35อจ,นายจารุพงษ์ ตาแสง,2770,โชคทวี,3,37110
ผลิตชิ้นส่วนอุปกรณ์รถจักรยานยนต์ รถยนต์,ไทรน้อย,7802,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับจักรยานยนต์ จักรยานสามล้อ หรือจักรยานสองล้อ,ฤชุพันธ์,,10100000000000,17,24,3,อุตสาหกรรมยานยนต์,นนทบุรี,3,64/9,579.13,2540,ไทรใหญ่,3-78(2)-1/40นบ,บริษัท เฮอร์เซงเอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,2771,บริษัท เฮอร์เซงเอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,3,11150
ทำเครื่องสูบน้ำ และอุปกรณ์เครื่องจักรที่ใชในการกสิกรรม,บางใหญ่,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,ปิ่นเกล้า-บางบัวทอง,,10100000000000,4,11,4,อุตสาหกรรมอิเล็กทรอนิกส์,นนทบุรี,13,76/17,481.26,2535,บางม่วง,3-70-1/35นบ,ห้างหุ้นส่วนจำกัด สหพัฒนา (1992),2772,ห้างหุ้นส่วนจำกัด สหพัฒนา (1992),3,11140
ทำมันเส้น ได้เดือนละ 100 ตัน,โนนดินแดง,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,ละหานทราย-ตาพระยา,-,10300000000000,0.7,3,5,อุตสาหกรรมแปรรูปอาหาร,บุรีรัมย์,7,82,140,2531,โนนดินแดง,3-9(6)-13/31บร,นายถนอมศักดิ์ ทรัพย์ทรายทอง,2773,ทรายทองพืชผล,3,31260
สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 25 เกว,ลำปลายมาศ,901,การสี ฝัด หรือขัดข้าว,,บ้านพัฒนา,10300000000000,12.03,10,5,อุตสาหกรรมแปรรูปอาหาร,บุรีรัมย์,7,67,299,2522,ลำปลายมาศ,3-9(1)-18/22บร,ห้างหุ้นส่วนจำกัด โรงสีไฟศิริเอี่ยมแสง,2774,ห้างหุ้นส่วนจำกัด โรงสีไฟศิริเอี่ยมแสง,3,31130
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,ประโคนชัย,901,การสี ฝัด หรือขัดข้าว,โชคชัย-เดชอุดม,-,10300000000000,1.45,10,5,อุตสาหกรรมแปรรูปอาหาร,บุรีรัมย์,2,196,274,2517,ประโคนชัย,3-9(1)-19/17บร,ห้างหุ้นส่วนจำกัด โรงสีไฟศรีประโคนชัย,2775,ห้างหุ้นส่วนจำกัด โรงสีไฟศรีประโคนชัย,3,31140
ทำมันเส้น ได้เดือนละ 100 ตัน,หนองกี่,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,,,10300000000000,0.37,6,5,อุตสาหกรรมแปรรูปอาหาร,บุรีรัมย์,7,4,160,2531,ทุ่งกระตาดพัฒนา,3-9(6)-121/31บร,นายโปย แก้วปรากาญจน์,2776,ทวีผล,3,31210
ทำน้ำนมสดให้ไร้เชื้อหรือฆ่าเชื้อ เช่น การพาสเจอร์ไรด์ หรือสเตอริไรด์,ปราสาท,501,การทำนมสดให้ไร้เชื้อ หรือฆ่าเชื้อ โดยวิธีการใดวิธีการหนึ่ง เช่น การพาสเจอร์ไรส์,-,-,10300000000000,73,10,5,อุตสาหกรรมแปรรูปอาหาร,สุรินทร์,9,218,1264,2555,เชื้อเพลิง,3-5(1)-2/55สร,บริษัท อีสานใต้แดรี่ จำกัด,2777,บริษัท อีสานใต้แดรี่ จำกัด,3,32140
สีข้าว,เมืองสุรินทร์,901,การสี ฝัด หรือขัดข้าว,ปัทมานนท์,-,10300000000000,63,10,5,อุตสาหกรรมแปรรูปอาหาร,สุรินทร์,4,144,1129.27,2547,แกใหญ่,3-9(1)-59/47สร,บริษัท เต็กเส็งไรซ์มิลล์ จำกัด,2778,บริษัท เต็กเส็งไรซ์มิลล์ จำกัด,3,32000
ต้ม นึ่งหรืออบพืชและเมล็ดพืช การผสมแป้งและทำน้ำส้มสายชู,ขุนหาญ,602,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,-,-,10300000000000,29.0185,150,5,อุตสาหกรรมแปรรูปอาหาร,ศรีสะเกษ,13,64,17.5,2530,สิ,3-6(2)-1/30ศก,ห้างหุ้นส่วนจำกัด สหสยามฟาร์ม,2779,ห้างหุ้นส่วนจำกัด สหสยามฟาร์ม,3,33150
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 350 เกวียน/วัน,อุทุมพรพิสัย,901,การสี ฝัด หรือขัดข้าว,อุทุมพรพิสัย - ศรีสะเกษ,-,10300000000000,6.34,13,5,อุตสาหกรรมแปรรูปอาหาร,ศรีสะเกษ,12,83,437,2532,สำโรง,3-9(1)-1/32ศก,บริษัท สินทวีการเกษตร จำกัด,2780,โรงสีสินทวีการเกษตร,3,33120
สีข้าวชนิดแยกแกลบแยกรำ กำลังการสีสูงสุด 500 เกวียน/วัน,ราษีไศล,901,การสี ฝัด หรือขัดข้าว,-,-,10300000000000,211,15,5,อุตสาหกรรมแปรรูปอาหาร,ศรีสะเกษ,6,99,2402,2566,จิกสังข์ทอง,3-9(1)-14/66ศก,บริษัท ยิ่งดี 99 จำกัด,2781,บริษัท ยิ่งดี 99 จำกัด,3,33160
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 800 เกวียน/วัน,เดชอุดม,901,การสี ฝัด หรือขัดข้าว,วาริน-เดชอุม,-,10300000000000,287.95,17,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,11,124,3317.6,2540,นาส่วง,3-9(1)-1/40อบ,ห้างหุ้นส่วนจำกัด โรงสีประสิทธ์ชัยอุบล,2782,ห้างหุ้นส่วนจำกัด โรงสีประสิทธ์ชัยอุบล,3,34160
ผลิตและผสมอาหารสัตว์,สำโรง,1501,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,วารินชำราบ-กันทรลักษ์,-,10300000000000,8.49078,50,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,4,99,3511.26,2542,บอน,3-15(1)-1/42อบ,บริษัท ก้าวหน้าอุตสาหกรรมอาหารสัตว์ จำกัด,2783,บริษัท ก้าวหน้าอุตสาหกรรมอาหารสัตว์ จำกัด,3,34360
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 600 เกวียน/วัน และอบข้าวเปลือก และนึ่ง,เก้าเลี้ยว,901,การสี ฝัด หรือขัดข้าว,-,-,10600000000000,191.2,12,5,อุตสาหกรรมแปรรูปอาหาร,นครสวรรค์,3,164,6923.84,2547,หัวดง,3-9(1)-10/47นว,ห้างหุ้นส่วนจำกัด โรงสีเก้าเลี้ยว พืชผล,2784,ห้างหุ้นส่วนจำกัด โรงสีเก้าเลี้ยว พืชผล,3,60230
สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 60 เกวียน/วัน),ลาดหลุมแก้ว,901,การสี ฝัด หรือขัดข้าว,-,-,10100000000000,6.29,17,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,8,49/2,633.5,2517,หน้าไม้,3-9(1)-1/17ปท,นางสาวสุรางคณา หิรัญวัฒนสิน,2785,ไทยวัฒนสิน ไรซ์ มิลล์,3,12140
"ทำน้ำแข็งซอง ได้วันละ 1,239 ซอง เพิ่มการทำน้ำแข็งก้อนเล็กวันละ 85 ตัน รวมกับของเดิมเป็น 292 ตัน/วัน",สามโคก,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ปทุมธานี-สามโคก,-,10100000000000,2.04,5,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,2,52/2,3218.87,2525,บางโพธิ์เหนือ,3-14-1/25ปท,บริษัท โรงน้ำแข็งปทุม จำกัด ,2786,บริษัท โรงน้ำแข็งปทุม จำกัด ,3,12160
ทำเต้าหู้,ธัญบุรี,904,การผลิตอาหารสำเร็จรูปจากเมล็ดพืชหรือหัวพืช,,ทางเข้าวัดแสงสรรค์,10100000000000,5,14,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,6,43466,742.95,2526,ประชาธิปัตย์,3-9(4)-1/26ปท,บริษัท บุญเจริญโภคภัณฑ์ จำกัด,2787,บุญเจริญโภคภัณฑ์,3,12130
ผลิตเบียร์,เมืองปทุมธานี,1902,การทำเบียร์,กรุงเทพ-ปทุมธานี,ใจเอื้อ,10100000000000,90,545,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,9,2,19116.21,2535,บางคูวัด,3-19(2)-1/35ปท,บริษัท ปทุมธานี บริวเวอรี่ จำกัด,2788,บริษัท ปทุมธานี บริวเวอรี่ จำกัด,3,12000
