tambon,province,2560,2561,_id,2564,area_code,2563,amphor,2562,unit,source
,จ.สมุทรสงคราม,2,3,1,2,75,26,,ยกเลิกโครงการ,โรง,สำนักงานอุตสาหกรรมจังหวัด
,จ.สมุทรสงคราม,,,2,,7501,,อ.เมืองสมุทรสงคราม,,,
ต.แม่กลอง,จ.สมุทรสงคราม,,,3,,750101,,อ.เมืองสมุทรสงคราม,,,
ต.บางขันแตก,จ.สมุทรสงคราม,,,4,,750102,,อ.เมืองสมุทรสงคราม,,,
ต.ลาดใหญ่,จ.สมุทรสงคราม,,,5,,750103,,อ.เมืองสมุทรสงคราม,,,
ต.บ้านปรก,จ.สมุทรสงคราม,,,6,,750104,,อ.เมืองสมุทรสงคราม,,,
ต.บางแก้ว,จ.สมุทรสงคราม,,,7,,750105,,อ.เมืองสมุทรสงคราม,,,
ต.ท้ายหาด,จ.สมุทรสงคราม,,,8,,750106,,อ.เมืองสมุทรสงคราม,,,
ต.แหลมใหญ่,จ.สมุทรสงคราม,,,9,,750107,,อ.เมืองสมุทรสงคราม,,,
ต.คลองเขิน,จ.สมุทรสงคราม,,,10,,750108,,อ.เมืองสมุทรสงคราม,,,
ต.คลองโคน,จ.สมุทรสงคราม,,,11,,750109,,อ.เมืองสมุทรสงคราม,,,
ต.นางตะเคียน,จ.สมุทรสงคราม,,,12,,750110,,อ.เมืองสมุทรสงคราม,,,
ต.บางจะเกร็ง,จ.สมุทรสงคราม,,,13,,750111,,อ.เมืองสมุทรสงคราม,,,
,จ.สมุทรสงคราม,,,14,,7502,,อ.บางคนที,,,
ต.กระดังงา,จ.สมุทรสงคราม,,,15,,750201,,อ.บางคนที,,,
ต.บางสะแก,จ.สมุทรสงคราม,,,16,,750202,,อ.บางคนที,,,
ต.บางยี่รงค์,จ.สมุทรสงคราม,,,17,,750203,,อ.บางคนที,,,
ต.โรงหีบ,จ.สมุทรสงคราม,,,18,,750204,,อ.บางคนที,,,
ต.บางคนที,จ.สมุทรสงคราม,,,19,,750205,,อ.บางคนที,,,
ต.ดอนมะโนรา,จ.สมุทรสงคราม,,,20,,750206,,อ.บางคนที,,,
ต.บางพรม,จ.สมุทรสงคราม,,,21,,750207,,อ.บางคนที,,,
ต.บางกุ้ง,จ.สมุทรสงคราม,,,22,,750208,,อ.บางคนที,,,
ต.จอมปลวก,จ.สมุทรสงคราม,,,23,,750209,,อ.บางคนที,,,
ต.บางนกแขวก,จ.สมุทรสงคราม,,,24,,750210,,อ.บางคนที,,,
ต.ยายแพง,จ.สมุทรสงคราม,,,25,,750211,,อ.บางคนที,,,
ต.บางกระบือ,จ.สมุทรสงคราม,,,26,,750212,,อ.บางคนที,,,
ต.บ้านปราโมทย์,จ.สมุทรสงคราม,,,27,,750213,,อ.บางคนที,,,
,จ.สมุทรสงคราม,,,28,,7503,,อ.อัมพวา,,,
ต.อัมพวา,จ.สมุทรสงคราม,,,29,,750301,,อ.อัมพวา,,,
ต.สวนหลวง,จ.สมุทรสงคราม,,,30,,750302,,อ.อัมพวา,,,
ต.ท่าคา,จ.สมุทรสงคราม,,,31,,750303,,อ.อัมพวา,,,
ต.วัดประดู่,จ.สมุทรสงคราม,,,32,,750304,,อ.อัมพวา,,,
ต.เหมืองใหม่,จ.สมุทรสงคราม,,,33,,750305,,อ.อัมพวา,,,
ต.บางช้าง,จ.สมุทรสงคราม,,,34,,750306,,อ.อัมพวา,,,
ต.แควอ้อม,จ.สมุทรสงคราม,,,35,,750307,,อ.อัมพวา,,,
ต.ปลายโพงพาง,จ.สมุทรสงคราม,,,36,,750308,,อ.อัมพวา,,,
ต.บางแค,จ.สมุทรสงคราม,,,37,,750309,,อ.อัมพวา,,,
ต.แพรกหนามแดง,จ.สมุทรสงคราม,,,38,,750310,,อ.อัมพวา,,,
ต.ยี่สาร,จ.สมุทรสงคราม,,,39,,750311,,อ.อัมพวา,,,
ต.บางนางลี่,จ.สมุทรสงคราม,,,40,,750312,,อ.อัมพวา,,,
