_id,ค่าของข้อมูล,ปี,ที่มา,อำเภอ,หน่วย,จังหวัด,รายการ
1,"23,806",2559,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
2,"49,321",2559,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
3,"4,600",2559,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
4,"24,405",2559,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
5,"48,792",2559,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
6,"25,347",2559,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
7,"5,408",2559,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
8,"21,144",2559,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
9,"24,672",2560,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
10,"49,590",2560,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
11,"4,356",2560,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
12,"25,326",2560,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
13,"51,952",2560,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
14,"22,928",2560,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
15,"5,632",2560,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
16,"24,392",2560,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
17,"25,354",2561,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
18,"50,223",2561,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
19,"4,797",2561,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
20,"26,845",2561,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
21,"55,329",2561,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
22,"23,341",2561,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
23,"6,495",2561,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
