จำนวน,_id,ปี,ปัญหาจากการทำงาน,ประเภทแรงงาน
697,1,2568,ค่าตอบแทน,แรงงานในระบบ
6774,2,2568,งานหนัก,แรงงานในระบบ
0,3,2568,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
1996,4,2568,งานไม่ต่อเนื่อง,แรงงานในระบบ
0,5,2568,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
0,6,2568,ไม่มีวันหยุด,แรงงานในระบบ
2326,7,2568,ลาพักผ่อนไม่ได้,แรงงานในระบบ
989,8,2568,ไม่มีสวัสดิการ,แรงงานในระบบ
1291,9,2568,ไม่ทราบ,แรงงานในระบบ
4697,10,2568,ค่าตอบแทน,แรงงานนอกระบบ
3657,11,2568,งานหนัก,แรงงานนอกระบบ
0,12,2568,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
10718,13,2568,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,14,2568,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
0,15,2568,ไม่มีวันหยุด,แรงงานนอกระบบ
0,16,2568,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
0,17,2568,ไม่มีสวัสดิการ,แรงงานนอกระบบ
0,18,2568,ไม่ทราบ,แรงงานนอกระบบ
15136,19,2567,ค่าตอบแทน,แรงงานในระบบ
20129,20,2567,งานหนัก,แรงงานในระบบ
3413,21,2567,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
10739,22,2567,งานไม่ต่อเนื่อง,แรงงานในระบบ
0,23,2567,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
0,24,2567,ไม่มีวันหยุด,แรงงานในระบบ
0,25,2567,ลาพักผ่อนไม่ได้,แรงงานในระบบ
19078,26,2567,ไม่มีสวัสดิการ,แรงงานในระบบ
1908,27,2567,ไม่ทราบ,แรงงานในระบบ
7917,28,2567,ค่าตอบแทน,แรงงานนอกระบบ
0,29,2567,งานหนัก,แรงงานนอกระบบ
0,30,2567,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
6129,31,2567,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,32,2567,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
1963,33,2567,ไม่มีวันหยุด,แรงงานนอกระบบ
1242,34,2567,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
11761,35,2567,ไม่มีสวัสดิการ,แรงงานนอกระบบ
0,36,2567,ไม่ทราบ,แรงงานนอกระบบ
6200,37,2566,ค่าตอบแทน,แรงงานในระบบ
10410,38,2566,งานหนัก,แรงงานในระบบ
3703,39,2566,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
2379,40,2566,งานไม่ต่อเนื่อง,แรงงานในระบบ
876,41,2566,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
0,42,2566,ไม่มีวันหยุด,แรงงานในระบบ
0,43,2566,ลาพักผ่อนไม่ได้,แรงงานในระบบ
443,44,2566,ไม่มีสวัสดิการ,แรงงานในระบบ
7868,45,2566,ไม่ทราบ,แรงงานในระบบ
1869,46,2566,ค่าตอบแทน,แรงงานนอกระบบ
308,47,2566,งานหนัก,แรงงานนอกระบบ
0,48,2566,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
7493,49,2566,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,50,2566,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
3394,51,2566,ไม่มีวันหยุด,แรงงานนอกระบบ
0,52,2566,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
17642,53,2566,ไม่มีสวัสดิการ,แรงงานนอกระบบ
0,54,2566,ไม่ทราบ,แรงงานนอกระบบ
20421,55,2565,ค่าตอบแทน,แรงงานในระบบ
9341,56,2565,งานหนัก,แรงงานในระบบ
3682,57,2565,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
13236,58,2565,งานไม่ต่อเนื่อง,แรงงานในระบบ
2752,59,2565,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
0,60,2565,ไม่มีวันหยุด,แรงงานในระบบ
1456,61,2565,ลาพักผ่อนไม่ได้,แรงงานในระบบ
9803,62,2565,ไม่มีสวัสดิการ,แรงงานในระบบ
0,63,2565,ไม่ทราบ,แรงงานในระบบ
2289,64,2565,ค่าตอบแทน,แรงงานนอกระบบ
10248,65,2565,งานหนัก,แรงงานนอกระบบ
1594,66,2565,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
9011,67,2565,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,68,2565,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
529,69,2565,ไม่มีวันหยุด,แรงงานนอกระบบ
0,70,2565,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
2743,71,2565,ไม่มีสวัสดิการ,แรงงานนอกระบบ
0,72,2565,ไม่ทราบ,แรงงานนอกระบบ
27131,73,2564,ค่าตอบแทน,แรงงานในระบบ
21678,74,2564,งานหนัก,แรงงานในระบบ
3191,75,2564,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
33190,76,2564,งานไม่ต่อเนื่อง,แรงงานในระบบ
5474,77,2564,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
680,78,2564,ไม่มีวันหยุด,แรงงานในระบบ
0,79,2564,ลาพักผ่อนไม่ได้,แรงงานในระบบ
17681,80,2564,ไม่มีสวัสดิการ,แรงงานในระบบ
12376,81,2564,ไม่ทราบ,แรงงานในระบบ
40596,82,2564,ค่าตอบแทน,แรงงานนอกระบบ
0,83,2564,งานหนัก,แรงงานนอกระบบ
0,84,2564,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
14346,85,2564,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,86,2564,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
1325,87,2564,ไม่มีวันหยุด,แรงงานนอกระบบ
0,88,2564,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
6134,89,2564,ไม่มีสวัสดิการ,แรงงานนอกระบบ
671,90,2564,ไม่ทราบ,แรงงานนอกระบบ
115675,91,2563,ค่าตอบแทน,แรงงานในระบบ
30869,92,2563,งานหนัก,แรงงานในระบบ
2763,93,2563,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
37480,94,2563,งานไม่ต่อเนื่อง,แรงงานในระบบ
7512,95,2563,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
1741,96,2563,ไม่มีวันหยุด,แรงงานในระบบ
0,97,2563,ลาพักผ่อนไม่ได้,แรงงานในระบบ
20297,98,2563,ไม่มีสวัสดิการ,แรงงานในระบบ
15461,99,2563,ไม่ทราบ,แรงงานในระบบ
9397,100,2563,ค่าตอบแทน,แรงงานนอกระบบ
13227,101,2563,งานหนัก,แรงงานนอกระบบ
2327,102,2563,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
18303,103,2563,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,104,2563,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
0,105,2563,ไม่มีวันหยุด,แรงงานนอกระบบ
0,106,2563,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
4659,107,2563,ไม่มีสวัสดิการ,แรงงานนอกระบบ
807,108,2563,ไม่ทราบ,แรงงานนอกระบบ
43205,109,2562,ค่าตอบแทน,แรงงานในระบบ
40762,110,2562,งานหนัก,แรงงานในระบบ
3096,111,2562,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
19395,112,2562,งานไม่ต่อเนื่อง,แรงงานในระบบ
3600,113,2562,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
1071,114,2562,ไม่มีวันหยุด,แรงงานในระบบ
0,115,2562,ลาพักผ่อนไม่ได้,แรงงานในระบบ
2972,116,2562,ไม่มีสวัสดิการ,แรงงานในระบบ
14159,117,2562,ไม่ทราบ,แรงงานในระบบ
7334,118,2562,ค่าตอบแทน,แรงงานนอกระบบ
0,119,2562,งานหนัก,แรงงานนอกระบบ
2351,120,2562,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
6346,121,2562,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,122,2562,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
2035,123,2562,ไม่มีวันหยุด,แรงงานนอกระบบ
0,124,2562,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
1964,125,2562,ไม่มีสวัสดิการ,แรงงานนอกระบบ
3468,126,2562,ไม่ทราบ,แรงงานนอกระบบ
