จำนวน,_id,ปี,ปัญหาจากการทำงาน,ประเภทแรงงาน
76033,127,2561,ค่าตอบแทน,แรงงานในระบบ
13344,128,2561,งานหนัก,แรงงานในระบบ
3467,129,2561,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
17612,130,2561,งานไม่ต่อเนื่อง,แรงงานในระบบ
2545,131,2561,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
0,132,2561,ไม่มีวันหยุด,แรงงานในระบบ
0,133,2561,ลาพักผ่อนไม่ได้,แรงงานในระบบ
19028,134,2561,ไม่มีสวัสดิการ,แรงงานในระบบ
10547,135,2561,ไม่ทราบ,แรงงานในระบบ
6080,136,2561,ค่าตอบแทน,แรงงานนอกระบบ
2304,137,2561,งานหนัก,แรงงานนอกระบบ
0,138,2561,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
4640,139,2561,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,140,2561,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
920,141,2561,ไม่มีวันหยุด,แรงงานนอกระบบ
0,142,2561,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
1537,143,2561,ไม่มีสวัสดิการ,แรงงานนอกระบบ
756,144,2561,ไม่ทราบ,แรงงานนอกระบบ
77695,145,2560,ค่าตอบแทน,แรงงานในระบบ
10552,146,2560,งานหนัก,แรงงานในระบบ
655,147,2560,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
13545,148,2560,งานไม่ต่อเนื่อง,แรงงานในระบบ
5335,149,2560,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
0,150,2560,ไม่มีวันหยุด,แรงงานในระบบ
0,151,2560,ลาพักผ่อนไม่ได้,แรงงานในระบบ
4384,152,2560,ไม่มีสวัสดิการ,แรงงานในระบบ
6631,153,2560,ไม่ทราบ,แรงงานในระบบ
0,154,2560,ค่าตอบแทน,แรงงานนอกระบบ
0,155,2560,งานหนัก,แรงงานนอกระบบ
0,156,2560,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
5542,157,2560,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
0,158,2560,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
0,159,2560,ไม่มีวันหยุด,แรงงานนอกระบบ
0,160,2560,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
5409,161,2560,ไม่มีสวัสดิการ,แรงงานนอกระบบ
8627,162,2560,ไม่ทราบ,แรงงานนอกระบบ
72536,163,2559,ค่าตอบแทน,แรงงานในระบบ
17506,164,2559,งานหนัก,แรงงานในระบบ
500,165,2559,ทำงานไม่ตรงเวลาปกติ,แรงงานในระบบ
4776,166,2559,งานไม่ต่อเนื่อง,แรงงานในระบบ
7185,167,2559,ชั่วโมงทำงานมากเกินไป,แรงงานในระบบ
928,168,2559,ไม่มีวันหยุด,แรงงานในระบบ
0,169,2559,ลาพักผ่อนไม่ได้,แรงงานในระบบ
13992,170,2559,ไม่มีสวัสดิการ,แรงงานในระบบ
5135,171,2559,ไม่ทราบ,แรงงานในระบบ
3589,172,2559,ค่าตอบแทน,แรงงานนอกระบบ
2516,173,2559,งานหนัก,แรงงานนอกระบบ
0,174,2559,ทำงานไม่ตรงเวลาปกติ,แรงงานนอกระบบ
8770,175,2559,งานไม่ต่อเนื่อง,แรงงานนอกระบบ
1181,176,2559,ชั่วโมงทำงานมากเกินไป,แรงงานนอกระบบ
924,177,2559,ไม่มีวันหยุด,แรงงานนอกระบบ
0,178,2559,ลาพักผ่อนไม่ได้,แรงงานนอกระบบ
4003,179,2559,ไม่มีสวัสดิการ,แรงงานนอกระบบ
0,180,2559,ไม่ทราบ,แรงงานนอกระบบ
