จำนวน,_id,ปี,ผู้เยี่ยมเยือน,จังหวัด,หน่วย
"16,479,832",1,2567,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ชลบุรี,คน
"11,676,470",2,2567,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ชลบุรี,คน
"4,409,398",3,2567,จำนวนผู้เยี่ยมเยือนคนไทย (คน),จันทบุรี,คน
"29,740",4,2567,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),จันทบุรี,คน
"1,834,363",5,2567,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ตราด,คน
"415,963",6,2567,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ตราด,คน
"2,648,927",7,2567,จำนวนผู้เยี่ยมเยือนคนไทย (คน),นครนายก,คน
"17,218",8,2567,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),นครนายก,คน
"1,446,826",9,2567,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ปราจีนบุรี,คน
"34,324",10,2567,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ปราจีนบุรี,คน
"4,733,696",11,2567,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ระยอง,คน
"1,151,486",12,2567,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ระยอง,คน
"1,454,264",13,2567,จำนวนผู้เยี่ยมเยือนคนไทย (คน),สระแก้ว,คน
"53,583",14,2567,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),สระแก้ว,คน
"14,388,867",15,2566,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ชลบุรี,คน
"10,136,348",16,2566,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ชลบุรี,คน
"3,895,349",17,2566,จำนวนผู้เยี่ยมเยือนคนไทย (คน),จันทบุรี,คน
"24,941",18,2566,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),จันทบุรี,คน
"1,665,527",19,2566,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ตราด,คน
"279,348",20,2566,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ตราด,คน
"1,985,617",21,2566,จำนวนผู้เยี่ยมเยือนคนไทย (คน),นครนายก,คน
"12,486",22,2566,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),นครนายก,คน
"1,299,247",23,2566,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ปราจีนบุรี,คน
"6,629",24,2566,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ปราจีนบุรี,คน
"4,637,596",25,2566,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ระยอง,คน
"660,830",26,2566,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ระยอง,คน
"1,321,048",27,2566,จำนวนผู้เยี่ยมเยือนคนไทย (คน),สระแก้ว,คน
"170,585",28,2566,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),สระแก้ว,คน
"12,827,913",29,2565,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ชลบุรี,คน
"1,857,056",30,2565,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ชลบุรี,คน
"1,342,449",31,2565,จำนวนผู้เยี่ยมเยือนคนไทย (คน),จันทบุรี,คน
"9,536",32,2565,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),จันทบุรี,คน
"1,290,112",33,2565,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ตราด,คน
"45,385",34,2565,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ตราด,คน
"1,540,733",35,2565,จำนวนผู้เยี่ยมเยือนคนไทย (คน),นครนายก,คน
