AGE_GROUP,VALUE,QUARTER,SOURCE,_id,UNIT,YEAR
ยอดรวม,0.76,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,ร้อยละ,2563
15-19 ปี,1.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,ร้อยละ,2563
20-24 ปี,0.95,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,ร้อยละ,2563
25-29 ปี,0.54,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,ร้อยละ,2563
30-34 ปี,0.58,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ร้อยละ,2563
35-39 ปี,0.49,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,ร้อยละ,2563
40-49 ปี,0.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,ร้อยละ,2563
50-59 ปี,0.93,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,ร้อยละ,2563
60 ปีขึ้นไป,0.79,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,ร้อยละ,2563
ยอดรวม,1.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,10,ร้อยละ,2563
15-19 ปี,3.28,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,11,ร้อยละ,2563
20-24 ปี,2.61,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,12,ร้อยละ,2563
25-29 ปี,1.81,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,13,ร้อยละ,2563
30-34 ปี,1.68,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,14,ร้อยละ,2563
35-39 ปี,1.86,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,15,ร้อยละ,2563
40-49 ปี,1.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,16,ร้อยละ,2563
50-59 ปี,1.94,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,17,ร้อยละ,2563
60 ปีขึ้นไป,1.51,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,18,ร้อยละ,2563
ยอดรวม,1.17,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,19,ร้อยละ,2563
15-19 ปี,3.87,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,20,ร้อยละ,2563
20-24 ปี,1.46,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,21,ร้อยละ,2563
25-29 ปี,1.09,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,22,ร้อยละ,2563
30-34 ปี,1.26,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,23,ร้อยละ,2563
35-39 ปี,1.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,24,ร้อยละ,2563
40-49 ปี,1.11,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,25,ร้อยละ,2563
50-59 ปี,1.19,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,26,ร้อยละ,2563
60 ปีขึ้นไป,0.66,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,27,ร้อยละ,2563
ยอดรวม,1.33,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,28,ร้อยละ,2563
15-19 ปี,2.9,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,29,ร้อยละ,2563
20-24 ปี,1.66,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,30,ร้อยละ,2563
25-29 ปี,1.19,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,31,ร้อยละ,2563
30-34 ปี,1.33,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,32,ร้อยละ,2563
35-39 ปี,1.23,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,33,ร้อยละ,2563
40-49 ปี,1.35,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,34,ร้อยละ,2563
50-59 ปี,1.33,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,35,ร้อยละ,2563
60 ปีขึ้นไป,1.09,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,36,ร้อยละ,2563
ยอดรวม,1.73,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,37,ร้อยละ,2564
15-19 ปี,2.93,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,38,ร้อยละ,2564
20-24 ปี,2.13,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,39,ร้อยละ,2564
25-29 ปี,1.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,40,ร้อยละ,2564
30-34 ปี,1.25,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,41,ร้อยละ,2564
35-39 ปี,1.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,42,ร้อยละ,2564
40-49 ปี,2.05,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,43,ร้อยละ,2564
50-59 ปี,2.01,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,44,ร้อยละ,2564
60 ปีขึ้นไป,1.54,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,45,ร้อยละ,2564
ยอดรวม,1.24,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,46,ร้อยละ,2564
15-19 ปี,1.73,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,47,ร้อยละ,2564
20-24 ปี,1.57,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,48,ร้อยละ,2564
25-29 ปี,1.12,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,49,ร้อยละ,2564
30-34 ปี,1.06,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,50,ร้อยละ,2564
35-39 ปี,1.23,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,51,ร้อยละ,2564
40-49 ปี,1.31,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,52,ร้อยละ,2564
50-59 ปี,1.35,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,53,ร้อยละ,2564
60 ปีขึ้นไป,0.93,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,54,ร้อยละ,2564
ยอดรวม,2.06,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,55,ร้อยละ,2564
15-19 ปี,3.87,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,56,ร้อยละ,2564
20-24 ปี,2.11,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,57,ร้อยละ,2564
25-29 ปี,2.16,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,58,ร้อยละ,2564
30-34 ปี,2.08,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,59,ร้อยละ,2564
35-39 ปี,2.31,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,60,ร้อยละ,2564
40-49 ปี,2.12,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,61,ร้อยละ,2564
50-59 ปี,1.99,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,62,ร้อยละ,2564
60 ปีขึ้นไป,1.56,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,63,ร้อยละ,2564
ยอดรวม,1.16,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,64,ร้อยละ,2564
15-19 ปี,2.78,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,65,ร้อยละ,2564
20-24 ปี,1.8,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,66,ร้อยละ,2564
25-29 ปี,1.14,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,67,ร้อยละ,2564
30-34 ปี,0.95,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,68,ร้อยละ,2564
35-39 ปี,0.95,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,69,ร้อยละ,2564
40-49 ปี,1.19,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,70,ร้อยละ,2564
50-59 ปี,1.19,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,71,ร้อยละ,2564
60 ปีขึ้นไป,0.84,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,72,ร้อยละ,2564
ยอดรวม,0.82,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,73,ร้อยละ,2565
15-19 ปี,1.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,74,ร้อยละ,2565
20-24 ปี,0.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,75,ร้อยละ,2565
25-29 ปี,0.78,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,76,ร้อยละ,2565
30-34 ปี,0.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,77,ร้อยละ,2565
35-39 ปี,0.73,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,78,ร้อยละ,2565
40-49 ปี,0.82,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,79,ร้อยละ,2565
50-59 ปี,0.88,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,80,ร้อยละ,2565
60 ปีขึ้นไป,0.89,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,81,ร้อยละ,2565
ยอดรวม,0.68,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,82,ร้อยละ,2565
15-19 ปี,1.66,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,83,ร้อยละ,2565
20-24 ปี,1.03,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,84,ร้อยละ,2565
25-29 ปี,0.63,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,85,ร้อยละ,2565
30-34 ปี,0.54,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,86,ร้อยละ,2565
35-39 ปี,0.56,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,87,ร้อยละ,2565
40-49 ปี,0.65,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,88,ร้อยละ,2565
50-59 ปี,0.78,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,89,ร้อยละ,2565
60 ปีขึ้นไป,0.49,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,90,ร้อยละ,2565
ยอดรวม,0.59,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,91,ร้อยละ,2565
15-19 ปี,1.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,92,ร้อยละ,2565
20-24 ปี,0.7,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,93,ร้อยละ,2565
25-29 ปี,0.66,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,94,ร้อยละ,2565
30-34 ปี,0.48,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,95,ร้อยละ,2565
35-39 ปี,0.44,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,96,ร้อยละ,2565
40-49 ปี,0.62,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,97,ร้อยละ,2565
50-59 ปี,0.65,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,98,ร้อยละ,2565
60 ปีขึ้นไป,0.44,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,99,ร้อยละ,2565
ยอดรวม,0.7,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,100,ร้อยละ,2565
15-19 ปี,0.88,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,101,ร้อยละ,2565
20-24 ปี,0.9,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,102,ร้อยละ,2565
25-29 ปี,0.6,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,103,ร้อยละ,2565
30-34 ปี,0.52,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,104,ร้อยละ,2565
35-39 ปี,0.75,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,105,ร้อยละ,2565
40-49 ปี,0.69,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,106,ร้อยละ,2565
50-59 ปี,0.76,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,107,ร้อยละ,2565
60 ปีขึ้นไป,0.67,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,108,ร้อยละ,2565
ยอดรวม,0.58,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,109,ร้อยละ,2566
15-19 ปี,1.82,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,110,ร้อยละ,2566
20-24 ปี,0.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,111,ร้อยละ,2566
25-29 ปี,0.62,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,112,ร้อยละ,2566
30-34 ปี,0.47,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,113,ร้อยละ,2566
35-39 ปี,0.34,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,114,ร้อยละ,2566
40-49 ปี,0.53,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,115,ร้อยละ,2566
50-59 ปี,0.55,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,116,ร้อยละ,2566
60 ปีขึ้นไป,0.58,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,117,ร้อยละ,2566
ยอดรวม,0.51,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,118,ร้อยละ,2566
15-19 ปี,1.25,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,119,ร้อยละ,2566
20-24 ปี,0.88,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,120,ร้อยละ,2566
25-29 ปี,0.48,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,121,ร้อยละ,2566
30-34 ปี,0.41,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,122,ร้อยละ,2566
35-39 ปี,0.36,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,123,ร้อยละ,2566
40-49 ปี,0.42,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,124,ร้อยละ,2566
50-59 ปี,0.46,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,125,ร้อยละ,2566
60 ปีขึ้นไป,0.71,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,126,ร้อยละ,2566
ยอดรวม,0.42,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,127,ร้อยละ,2566
15-19 ปี,0.61,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,128,ร้อยละ,2566
20-24 ปี,0.77,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,129,ร้อยละ,2566
25-29 ปี,0.53,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,130,ร้อยละ,2566
30-34 ปี,0.34,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,131,ร้อยละ,2566
35-39 ปี,0.31,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,132,ร้อยละ,2566
40-49 ปี,0.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,133,ร้อยละ,2566
50-59 ปี,0.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,134,ร้อยละ,2566
60 ปีขึ้นไป,0.31,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,135,ร้อยละ,2566
ยอดรวม,0.52,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,136,ร้อยละ,2566
15-19 ปี,1.04,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,137,ร้อยละ,2566
20-24 ปี,0.75,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,138,ร้อยละ,2566
25-29 ปี,0.6,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,139,ร้อยละ,2566
30-34 ปี,0.35,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,140,ร้อยละ,2566
35-39 ปี,0.5,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,141,ร้อยละ,2566
40-49 ปี,0.55,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,142,ร้อยละ,2566
50-59 ปี,0.5,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,143,ร้อยละ,2566
60 ปีขึ้นไป,0.45,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,144,ร้อยละ,2566
ยอดรวม,0.48,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,145,ร้อยละ,2567
1. 15-19 ปี,1.33,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,146,ร้อยละ,2567
2. 20-24 ปี,0.76,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,147,ร้อยละ,2567
3. 25-29 ปี,0.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,148,ร้อยละ,2567
4. 30-34 ปี,0.48,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,149,ร้อยละ,2567
5. 35-39 ปี,0.36,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,150,ร้อยละ,2567
6. 40-49 ปี,0.48,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,151,ร้อยละ,2567
7. 50-59 ปี,0.43,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,152,ร้อยละ,2567
8. 60 ปีขึ้นไป,0.43,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,153,ร้อยละ,2567
ยอดรวม,0.41,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,154,ร้อยละ,2567
1. 15-19 ปี,0.74,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,155,ร้อยละ,2567
2. 20-24 ปี,0.48,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,156,ร้อยละ,2567
3. 25-29 ปี,0.48,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,157,ร้อยละ,2567
4. 30-34 ปี,0.38,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,158,ร้อยละ,2567
5. 35-39 ปี,0.24,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,159,ร้อยละ,2567
6. 40-49 ปี,0.42,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,160,ร้อยละ,2567
7. 50-59 ปี,0.49,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,161,ร้อยละ,2567
8. 60 ปีขึ้นไป,0.29,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,162,ร้อยละ,2567
ยอดรวม,0.48,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,163,ร้อยละ,2567
1. 15-19 ปี,1.12,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,164,ร้อยละ,2567
2. 20-24 ปี,1.19,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,165,ร้อยละ,2567
3. 25-29 ปี,0.48,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,166,ร้อยละ,2567
4. 30-34 ปี,0.34,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,167,ร้อยละ,2567
5. 35-39 ปี,0.48,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,168,ร้อยละ,2567
6. 40-49 ปี,0.36,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,169,ร้อยละ,2567
7. 50-59 ปี,0.48,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,170,ร้อยละ,2567
8. 60 ปีขึ้นไป,0.35,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,171,ร้อยละ,2567
ยอดรวม,0.56,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,172,ร้อยละ,2567
1. 15-19 ปี,1.74,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,173,ร้อยละ,2567
2. 20-24 ปี,0.9,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,174,ร้อยละ,2567
3. 25-29 ปี,0.76,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,175,ร้อยละ,2567
4. 30-34 ปี,0.36,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,176,ร้อยละ,2567
5. 35-39 ปี,0.43,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,177,ร้อยละ,2567
6. 40-49 ปี,0.5,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,178,ร้อยละ,2567
7. 50-59 ปี,0.56,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,179,ร้อยละ,2567
8. 60 ปีขึ้นไป,0.46,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,180,ร้อยละ,2567
15-19 ปี,1.16,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,181,ร้อยละ,2568
20-24 ปี,0.42,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,182,ร้อยละ,2568
25-29 ปี,0.24,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,183,ร้อยละ,2568
30-34 ปี,0.38,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,184,ร้อยละ,2568
35-39 ปี,0.25,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,185,ร้อยละ,2568
40-49 ปี,0.44,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,186,ร้อยละ,2568
50-59 ปี,0.62,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,187,ร้อยละ,2568
60 ปีขึ้นไป,0.52,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,188,ร้อยละ,2568
รวม,0.45,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,189,ร้อยละ,2568
15-19 ปี,0.69,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,190,ร้อยละ,2568
20-24 ปี,0.65,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,191,ร้อยละ,2568
25-29 ปี,0.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,192,ร้อยละ,2568
30-34 ปี,0.32,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,193,ร้อยละ,2568
35-39 ปี,0.44,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,194,ร้อยละ,2568
40-49 ปี,0.34,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,195,ร้อยละ,2568
50-59 ปี,0.42,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,196,ร้อยละ,2568
60 ปีขึ้นไป,0.38,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,197,ร้อยละ,2568
รวม,0.39,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,198,ร้อยละ,2568
15-19 ปี,1.86,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,199,ร้อยละ,2568
20-24 ปี,0.71,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,200,ร้อยละ,2568
25-29 ปี,0.53,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,201,ร้อยละ,2568
30-34 ปี,0.43,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,202,ร้อยละ,2568
35-39 ปี,0.52,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,203,ร้อยละ,2568
40-49 ปี,0.36,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,204,ร้อยละ,2568
