จำนวน,รายการสถิติทางการ,_id,ปี,หน่วยนับ
57,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,1,2559,แห่ง
51,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,2,2560,แห่ง
64,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,3,2561,แห่ง
50,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,4,2562,แห่ง
55,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,5,2563,แห่ง
55,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,6,2564,แห่ง
132,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,7,2565,แห่ง
138,แหล่งผลิตเมล็ดพันธุ์ข้าวหอมมะลิ,8,2566,แห่ง
