ค่าข้อมูล,_id,ปี,อำเภอ,รายการข้อมูล,จังหวัด,หน่วย
32,1,2563,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
15,2,2563,นากลาง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
2,3,2563,โนนสัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
25,4,2563,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
7,5,2563,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
14,6,2563,นาวัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
41,7,2564,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
20,8,2564,นากลาง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
5,9,2564,โนนสัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
34,10,2564,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
13,11,2564,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
24,12,2564,นาวัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
44,13,2565,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
21,14,2565,นากลาง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
5,15,2565,โนนสัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
41,16,2565,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
17,17,2565,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
26,18,2565,นาวัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
53,19,2566,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
30,20,2566,นากลาง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
7,21,2566,โนนสัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
43,22,2566,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
18,23,2566,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
27,24,2566,นาวัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
64,25,2567,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
30,26,2567,นากลาง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
11,27,2567,โนนสัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
50,28,2567,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
20,29,2567,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
29,30,2567,นาวัง,จำนวนบ่อบาดาล ประเภทอุปโภคบริโภค,หนองบัวลำภู,แห่ง
