จังหวัด,_id,ปี,ประกอบกิจการ,ตำบล,อำเภอ,รายชื่อสถานประกอบการ
ปทุมธานี,1,2566,คัดแยกเศษวัสดุเหลือใช้ เศษกระดาษ เศษเหล็ก พลาสติก ทองแดง,บางพูน,เมืองปทุมธานี,บริษัท ไทย รีไซเคิล แอนด์ เซอร์วิส จำกัด
ปทุมธานี,2,2566,คัดแยกเศษวัสดุ โดยไม่ฝังกลบ,บางพูน,เมืองปทุมธานี,ห้างหุ้นส่วนจำกัด เอกสมพร
ปทุมธานี,3,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำไทร,ลำลูกกา,บริษัท พรกอบโชค จำกัด
ปทุมธานี,4,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น กระดาษ พลาสติก ไม้ โลหะทุกชนิด,คลองสอง,คลองหลวง,บริษัท รวีโรจน์ แพคกิ้งแอนด์เซอรืวิส จำกัด
ปทุมธานี,5,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตัดและอัดเศษโลหะ และบดย่อยเศษพลาสติก,ลำลูกกา,ลำลูกกา,บริษัท เจริญวัฒน์ รีไซเคิล แอนด์ เวสต์ แมเนจเม้นท์ จำกัด
ปทุมธานี,6,2566,คัดแยกวัสดุที่ไม่ได้ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,สามโคก,สามโคก,บริษัท สแครปไทย จำกัด
ปทุมธานี,7,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองพระอุดม,ลาดหลุมแก้ว,บริษัท ธนานุกูลชัย จำกัด
ปทุมธานี,8,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองห้า,คลองหลวง,บริษัท บลู เมทัล รีไซเคิล จำกัด
ปทุมธานี,9,2566,คัดแยกวัสดุที่ไม่ได้ใช้แล้ว ที่ไม่เป็นอันตรายจาการผลิตรวมทั้งซื้อและจำหน่ายหลังการคัดแยก,คลองสี่,คลองหลวง,ห้างหุ้นส่วนจำกัด วรินทรรีไซเคิล
ปทุมธานี,10,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หน้าไม้,ลาดหลุมแก้ว,บริษัท เอ็มดี เมทัล เทรดดิ้ง จำกัด
ปทุมธานี,11,2566,คัดแยกของเสียหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตัดและอัดเศษโลหะ บดย่อยเศษพลาสติก ทำเม็ดพลาสติกจากเศษพลาสติกเก่า และอัดเศษกระดาษ,คลองหนึ่ง,คลองหลวง,ห้างหุ้นส่วนจำกัด เจ.พี.เอ็น.รีไซเคิล
ปทุมธานี,12,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เชียงรากใหญ่,สามโคก,บริษัท ต.นิยมไทย รีไซเคิล จำกัด
ปทุมธานี,13,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสอง,คลองหลวง,บริษัท ทองพูล รีไซเคิล จำกัด
ปทุมธานี,14,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดพลาสติก ทำเม็ดพลาสติกเกรดบี,ลาดหลุมแก้ว,ลาดหลุมแก้ว,บริษัท โสภณพลาสติก จำกัด
ปทุมธานี,15,2566,"คัดแยกกระดาษและอัดกระดาษเป็นแท่ง, ก้อน",คลองสาม,คลองหลวง,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด
ปทุมธานี,16,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองเจ็ด,คลองหลวง,บริษัท วงศ์ทอง สตีลไวร์ จำกัด
ปทุมธานี,17,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสอง,คลองหลวง,ห้างหุ้นส่วนจำกัด จักร์ณรงค์ ซัพพลาย
ปทุมธานี,18,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บึงทองหลาง,ลำลูกกา,บริษัท วาย ดี โกลบอลไลส์ จำกัด
