เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
กันยายน,43271,1,2568,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กันยายน,1619,2,2568,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
กันยายน,8116,3,2568,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
กันยายน,3,4,2568,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
กันยายน,509,5,2568,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
กันยายน,1,6,2568,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),รถยนต์
กันยายน,7,7,2568,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
กันยายน,30,8,2568,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
กันยายน,38,9,2568,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
กันยายน,2,10,2568,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
กันยายน,152657,11,2568,รย. 12 รถจักรยานยนต์,รถยนต์
กันยายน,3299,12,2568,รย. 13 รถแทร็กเตอร์,รถยนต์
กันยายน,74,13,2568,รย. 14 รถบดถนน,รถยนต์
กันยายน,17,14,2568,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
กันยายน,82,15,2568,รย. 16 รถพ่วง,รถยนต์
กันยายน,95,16,2568,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
กันยายน,100,17,2568,รถโดยสารประจำทาง,รถขนส่ง
กันยายน,366,18,2568,รถโดยสารไม่ประจำทาง,รถขนส่ง
กันยายน,66,19,2568,รถโดยสารส่วนบุคคล,รถขนส่ง
กันยายน,2473,20,2568,รถบรรทุกไม่ประจำทาง,รถขนส่ง
กันยายน,2746,21,2568,รถบรรทุกส่วนบุคคล,รถขนส่ง
