จำนวนคน,_id,ปี,ระดับการศึกษา
40745.5,1,2565,ไม่มีการศึกษา
190802.5,2,2565,ต่ำกว่าประถมศึกษา
141782,3,2565,ประถมศึกษา
113249,4,2565,มัธยมศึกษาตอนต้น
92035,5,2565,มัธยมศึกษาตอนปลาย
81994,6,2565,มหาวิทยาลัย
0,7,2565,อื่นๆ
1692.75,8,2565,ไม่ทราบ
32100.012500000004,9,2566,ไม่มีการศึกษา
186440.52999999997,10,2566,ต่ำกว่าประถมศึกษา
143391.2925,11,2566,ประถมศึกษา
119509.92499999999,12,2566,มัธยมศึกษาตอนต้น
94275.36,13,2566,มัธยมศึกษาตอนปลาย
86279.8375,14,2566,มหาวิทยาลัย
166.295,15,2566,อื่นๆ
1805.6399999999999,16,2566,ไม่ทราบ
